Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,PR,10.45,10.91,10.41,10.81,7067107.0
2022-11-14,PR,10.64,11.095,10.64,10.79,6409484.0
2022-11-15,PR,10.87,11.43,10.66,11.41,6827477.0
2022-11-16,PR,11.1,11.23,10.77,10.99,6121575.0
2022-11-17,PR,10.86,10.98,10.615,10.91,5047733.0
2022-11-18,PR,10.57,10.82,10.17,10.78,5395088.0
2022-11-21,PR,10.43,10.48,9.67,10.2,7450913.0
2022-11-22,PR,10.41,10.7,10.25,10.7,4906041.0
2022-11-23,PR,10.46,10.52,10.19,10.49,3427230.0
2022-11-25,PR,10.6,10.68,10.44,10.51,1641221.0
2022-11-28,PR,10.05,10.12,9.85,9.9,5227084.0
2022-11-29,PR,10.16,10.23,9.93,10.09,10639565.0
2022-11-30,PR,10.37,10.4,10.0,10.16,5670933.0
2022-12-01,PR,10.24,10.39,9.76,9.79,5387169.0
2022-12-02,PR,9.79,10.115,9.78,9.95,4208830.0
2022-12-05,PR,10.17,10.235,9.31,9.42,5203080.0
2022-12-06,PR,9.38,9.53,8.91,8.99,6236753.0
2022-12-07,PR,9.06,9.3,8.9,8.92,4806286.0
2022-12-08,PR,9.31,9.37,8.66,8.74,4634736.0
2022-12-09,PR,8.79,8.8874,8.5425,8.6,5906987.0
2022-12-12,PR,8.65,9.155,8.62,9.04,5184056.0
2022-12-13,PR,9.29,9.36,9.03,9.21,6704396.0
2022-12-14,PR,9.25,9.3583,9.02,9.1,5554776.0
2022-12-15,PR,8.97,9.055,8.805,8.95,4565988.0
2022-12-16,PR,8.67,8.88,8.475,8.84,14979707.0
2022-12-19,PR,8.96,9.07,8.63,8.7,5367736.0
2022-12-20,PR,8.64,8.85,8.61,8.8,4330259.0
2022-12-21,PR,9.05,9.19,8.745,9.17,5328877.0
2022-12-22,PR,9.14,9.14,8.57,8.85,5960343.0
2022-12-23,PR,9.06,9.39,8.97,9.38,4220339.0
2022-12-27,PR,9.47,9.605,9.41,9.52,3596160.0
2022-12-28,PR,9.43,9.46,8.905,8.93,3706425.0
2022-12-29,PR,8.9,9.31,8.84,9.26,4399621.0
2022-12-30,PR,9.12,9.48,9.1008,9.4,4974327.0
2023-01-03,PR,9.25,9.28,8.465,8.71,8878706.0
2023-01-04,PR,8.48,8.825,8.43,8.65,5691859.0
2023-01-05,PR,8.57,8.705,8.46,8.54,4415579.0
2023-01-06,PR,8.78,8.85,8.58,8.84,4946821.0
2023-01-09,PR,9.0,9.15,8.91,8.97,11806242.0
2023-01-10,PR,8.98,9.08,8.62,9.04,5133708.0
2023-01-11,PR,9.2,9.385,9.06,9.23,5694878.0
2023-01-12,PR,9.36,9.8,9.35,9.71,6192072.0
2023-01-13,PR,9.71,10.07,9.54,10.02,7172371.0
2023-01-17,PR,10.12,10.19,9.91,10.1,4525043.0
2023-01-18,PR,10.21,10.55,10.08,10.12,7361791.0
2023-01-19,PR,10.04,10.58,9.92,10.48,6065303.0
2023-01-20,PR,10.6,10.63,10.355,10.54,3998046.0
2023-01-23,PR,10.69,10.94,10.59,10.71,7020849.0
2023-01-24,PR,10.77,10.8,10.43,10.47,7955752.0
2023-01-25,PR,10.35,10.71,10.21,10.58,6933965.0
2023-01-26,PR,10.72,11.025,10.4241,11.0,9187165.0
2023-01-27,PR,11.04,11.16,10.77,10.81,7947224.0
2023-01-30,PR,10.74,10.74,10.19,10.21,7089959.0
2023-01-31,PR,10.18,10.89,10.12,10.87,8107267.0
2023-02-01,PR,10.75,10.835,10.37,10.64,9258966.0
2023-02-02,PR,10.7,10.7,10.0525,10.23,6715017.0
2023-02-03,PR,10.21,10.735,10.18,10.19,6350413.0
2023-02-06,PR,10.16,10.26,9.655,9.81,6508014.0
2023-02-07,PR,9.89,10.33,9.695,10.3,6487202.0
2023-02-08,PR,10.35,10.58,10.23,10.39,8747982.0
