Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,PRPH,11.79,12.2,11.3,12.05,90669.0
2022-11-14,PRPH,12.1,12.17,11.35,11.96,111157.0
2022-11-15,PRPH,12.13,12.34,11.51,11.81,96319.0
2022-11-16,PRPH,11.81,11.9482,11.5,11.76,47223.0
2022-11-17,PRPH,11.75,12.27,11.65,12.27,43495.0
2022-11-18,PRPH,12.3,12.3,11.81,12.08,36385.0
2022-11-21,PRPH,11.94,11.96,10.88,10.92,136997.0
2022-11-22,PRPH,10.54,10.81,10.02,10.24,187595.0
2022-11-23,PRPH,10.16,10.63,10.135,10.28,56011.0
2022-11-25,PRPH,10.02,10.364,10.02,10.2,43429.0
2022-11-28,PRPH,10.2,10.86,10.2,10.44,61029.0
2022-11-29,PRPH,10.41,10.569,10.02,10.06,47644.0
2022-11-30,PRPH,10.04,10.49,9.89,10.37,88451.0
2022-12-01,PRPH,10.37,10.62,10.04,10.43,50770.0
2022-12-02,PRPH,10.31,10.6375,10.225,10.27,28762.0
2022-12-05,PRPH,10.27,10.31,10.02,10.12,45765.0
2022-12-06,PRPH,10.11,10.16,9.965,10.09,44522.0
2022-12-07,PRPH,10.07,10.2887,10.0321,10.23,30234.0
2022-12-08,PRPH,10.35,10.69,10.21,10.38,41177.0
2022-12-09,PRPH,10.37,10.37,9.93,9.97,44427.0
2022-12-12,PRPH,9.88,10.35,9.88,10.25,42628.0
2022-12-13,PRPH,10.41,10.68,10.2,10.67,83718.0
2022-12-14,PRPH,10.63,10.86,10.47,10.56,56842.0
2022-12-15,PRPH,10.49,10.735,10.1,10.18,53277.0
2022-12-16,PRPH,10.16,10.28,9.93,10.04,44314.0
2022-12-19,PRPH,10.04,10.4,10.0,10.16,57947.0
2022-12-20,PRPH,10.15,10.5499,10.0,10.13,55045.0
2022-12-21,PRPH,10.05,10.43,9.8924,10.05,52015.0
2022-12-22,PRPH,9.98,10.19,9.9,9.9,39574.0
2022-12-23,PRPH,10.0,10.0,9.43,9.59,86609.0
2022-12-27,PRPH,9.61,9.86,9.21,9.5,71829.0
2022-12-28,PRPH,9.46,9.54,8.5001,8.78,135792.0
2022-12-29,PRPH,9.0,9.765,9.0,9.53,65435.0
2022-12-30,PRPH,9.51,9.87,9.22,9.63,211068.0
2023-01-03,PRPH,9.53,9.88,9.5,9.57,66704.0
2023-01-04,PRPH,9.66,9.66,9.3304,9.43,14041.0
2023-01-05,PRPH,9.42,9.84,8.84,8.89,51344.0
2023-01-06,PRPH,9.0,9.38,9.0,9.25,45530.0
2023-01-09,PRPH,9.34,9.65,8.88,9.07,65389.0
2023-01-10,PRPH,9.09,9.41,9.0315,9.23,52851.0
2023-01-11,PRPH,9.24,9.6886,9.19,9.3,38747.0
2023-01-12,PRPH,9.35,9.52,9.035,9.39,59842.0
2023-01-13,PRPH,9.24,9.4926,9.2346,9.36,18177.0
