Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,PTEST,25.0,25.0,25.0,25.0,0
2022-11-14,PTEST,25.0,25.0,25.0,25.0,0
2022-11-15,PTEST,25.0,25.0,25.0,25.0,0
2022-11-16,PTEST,25.0,25.0,25.0,25.0,0
2022-11-17,PTEST,25.0,25.0,25.0,25.0,0
2022-11-18,PTEST,25.0,25.0,25.0,25.0,0
2022-11-21,PTEST,25.0,25.0,25.0,25.0,0
2022-11-22,PTEST,25.0,25.0,25.0,25.0,0
2022-11-23,PTEST,25.0,25.0,25.0,25.0,0
2022-11-25,PTEST,25.0,25.0,25.0,25.0,0
2022-11-28,PTEST,25.0,25.0,25.0,25.0,0
2022-11-29,PTEST,25.0,25.0,25.0,25.0,0
2022-11-30,PTEST,25.0,25.0,25.0,25.0,0
2022-12-01,PTEST,25.0,25.0,25.0,25.0,0
2022-12-02,PTEST,25.0,25.0,25.0,25.0,0
2022-12-05,PTEST,25.0,25.0,25.0,25.0,0
2022-12-06,PTEST,25.0,25.0,25.0,25.0,0
2022-12-07,PTEST,25.0,25.0,25.0,25.0,0
2022-12-08,PTEST,25.0,25.0,25.0,25.0,0
2022-12-09,PTEST,25.0,25.0,25.0,25.0,0
2022-12-12,PTEST,25.0,25.0,25.0,25.0,0
2022-12-13,PTEST,25.0,25.0,25.0,25.0,0
2022-12-14,PTEST,25.0,25.0,25.0,25.0,0
2022-12-15,PTEST,25.0,25.0,25.0,25.0,0
2022-12-16,PTEST,25.0,25.0,25.0,25.0,0
2022-12-19,PTEST,25.0,25.0,25.0,25.0,0
2022-12-20,PTEST,25.0,25.0,25.0,25.0,0
2022-12-21,PTEST,25.0,25.0,25.0,25.0,0
2022-12-23,PTEST,25.0,25.0,25.0,25.0,0
2022-12-27,PTEST,25.0,25.0,25.0,25.0,0
2022-12-28,PTEST,25.0,25.0,25.0,25.0,0
2022-12-29,PTEST,25.0,25.0,25.0,25.0,0
2022-12-30,PTEST,25.0,25.0,25.0,25.0,0
2023-01-03,PTEST,25.0,25.0,25.0,25.0,0
2023-01-04,PTEST,25.0,25.0,25.0,25.0,0
2023-01-05,PTEST,25.0,25.0,25.0,25.0,0
2023-01-06,PTEST,25.0,25.0,25.0,25.0,0
2023-01-09,PTEST,25.0,25.0,25.0,25.0,0
2023-01-10,PTEST,25.0,25.0,25.0,25.0,0
2023-01-11,PTEST,25.0,25.0,25.0,25.0,0
2023-01-12,PTEST,25.0,25.0,25.0,25.0,0
2023-01-13,PTEST,25.0,25.0,25.0,25.0,0
2023-01-17,PTEST,25.0,25.0,25.0,25.0,0
2023-01-18,PTEST,25.0,25.0,25.0,25.0,0
2023-01-19,PTEST,25.0,25.0,25.0,25.0,0
2023-01-20,PTEST,25.0,25.0,25.0,25.0,0
2023-01-23,PTEST,25.0,25.0,25.0,25.0,0
2023-01-24,PTEST,25.0,25.0,25.0,25.0,0
2023-01-25,PTEST,25.0,25.0,25.0,25.0,0
2023-01-26,PTEST,25.0,25.0,25.0,25.0,0
2023-01-27,PTEST,25.0,25.0,25.0,25.0,0
2023-01-30,PTEST,25.0,25.0,25.0,25.0,0
2023-01-31,PTEST,25.0,25.0,25.0,25.0,0
2023-02-01,PTEST,25.0,25.0,25.0,25.0,0
2023-02-02,PTEST,25.0,25.0,25.0,25.0,0
2023-02-03,PTEST,25.0,25.0,25.0,25.0,0
2023-02-06,PTEST,25.0,25.0,25.0,25.0,0
2023-02-07,PTEST,25.0,25.0,25.0,25.0,0
2023-02-08,PTEST,25.0,25.0,25.0,25.0,0
2023-02-09,PTEST,25.0,25.0,25.0,25.0,0
2023-02-10,PTEST,25.0,25.0,25.0,25.0,0
2023-02-13,PTEST,25.0,25.0,25.0,25.0,0
2023-02-14,PTEST,25.0,25.0,25.0,25.0,0
2023-02-15,PTEST,25.0,25.0,25.0,25.0,0
2023-02-16,PTEST,25.0,25.0,25.0,25.0,0
2023-02-17,PTEST,25.0,25.0,25.0,25.0,0
2023-02-21,PTEST,25.0,25.0,25.0,25.0,0
2023-02-22,PTEST,25.0,25.0,25.0,25.0,0
2023-02-23,PTEST,25.0,25.0,25.0,25.0,0
2023-02-24,PTEST,25.0,25.0,25.0,25.0,0
2023-02-27,PTEST,25.0,25.0,25.0,25.0,0
