Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,PTLO,23.97,25.875,23.6,25.41,1278363.0
2022-11-14,PTLO,25.22,25.429,24.4801,24.87,502330.0
2022-11-15,PTLO,22.56,22.96,22.38,22.54,4449556.0
2022-11-16,PTLO,22.36,22.67,21.19,21.28,1063607.0
2022-11-17,PTLO,21.25,21.31,20.2195,20.48,834303.0
2022-11-18,PTLO,20.86,20.86,20.07,20.7,927805.0
2022-11-21,PTLO,20.6,21.02,20.3,20.46,634227.0
2022-11-22,PTLO,20.56,20.56,19.71,19.74,895653.0
2022-11-23,PTLO,19.72,20.39,19.56,20.09,790044.0
2022-11-25,PTLO,20.0,20.7,20.0,20.61,385122.0
2022-11-28,PTLO,20.64,20.77,19.71,19.83,649778.0
2022-11-29,PTLO,19.82,20.02,19.18,19.33,931511.0
2022-11-30,PTLO,19.36,20.3,19.18,20.19,1072541.0
2022-12-01,PTLO,20.18,20.44,19.59,19.61,543863.0
2022-12-02,PTLO,19.38,20.31,19.16,20.25,914683.0
2022-12-05,PTLO,20.43,20.57,19.08,19.14,917603.0
2022-12-06,PTLO,19.15,19.25,17.83,17.87,1127506.0
2022-12-07,PTLO,17.79,18.03,17.57,17.72,636852.0
2022-12-08,PTLO,17.96,18.17,17.69,18.09,774439.0
2022-12-09,PTLO,17.91,18.45,17.8237,18.21,314197.0
2022-12-12,PTLO,18.14,18.6,18.08,18.59,410742.0
2022-12-13,PTLO,19.22,19.49,18.44,18.69,632474.0
2022-12-14,PTLO,18.71,19.27,18.71,18.82,613958.0
2022-12-15,PTLO,18.49,18.625,17.96,18.15,637080.0
2022-12-16,PTLO,18.06,18.37,17.93,18.2,1102875.0
2022-12-19,PTLO,18.23,18.23,17.555,17.86,770058.0
2022-12-20,PTLO,17.67,18.29,17.595,17.83,512277.0
2022-12-21,PTLO,17.9,18.22,17.56,17.8,610922.0
2022-12-22,PTLO,17.65,17.6899,17.01,17.56,497972.0
2022-12-23,PTLO,17.51,17.51,17.04,17.19,277043.0
2022-12-27,PTLO,17.08,17.1,16.31,16.35,739950.0
2022-12-28,PTLO,16.35,16.4704,16.0691,16.09,480254.0
2022-12-29,PTLO,16.35,16.64,16.13,16.62,574850.0
2022-12-30,PTLO,16.37,16.865,16.17,16.32,762882.0
2023-01-03,PTLO,16.6,16.75,16.34,16.53,387654.0
2023-01-04,PTLO,16.77,17.22,16.65,17.19,440566.0
2023-01-05,PTLO,16.97,16.97,16.04,16.06,604349.0
2023-01-06,PTLO,16.18,16.41,15.84,16.25,1015425.0
2023-01-09,PTLO,16.52,17.81,16.5,17.71,842778.0
2023-01-10,PTLO,17.62,18.04,17.27,18.03,622095.0
2023-01-11,PTLO,18.25,19.02,18.09,18.98,635820.0
2023-01-12,PTLO,19.05,19.63,18.72,19.61,834891.0
2023-01-13,PTLO,19.58,20.59,19.56,19.93,1140702.0
2023-01-17,PTLO,20.26,20.42,19.89,20.26,811987.0
2023-01-18,PTLO,20.38,21.08,20.08,20.1,677727.0
2023-01-19,PTLO,19.93,20.965,19.61,20.45,830316.0
2023-01-20,PTLO,20.67,21.285,20.3,21.23,683860.0
2023-01-23,PTLO,21.2,21.86,20.977,21.28,928198.0
2023-01-24,PTLO,21.24,21.71,21.13,21.52,486108.0
2023-01-25,PTLO,21.26,21.62,20.59,21.53,387142.0
2023-01-26,PTLO,21.84,22.13,21.574,21.73,343838.0
2023-01-27,PTLO,21.7,22.35,21.6442,22.09,582025.0
2023-01-30,PTLO,21.88,22.68,21.71,22.25,763490.0
2023-01-31,PTLO,22.35,22.73,22.25,22.56,708524.0
2023-02-01,PTLO,22.51,22.71,21.73,22.6,555027.0
2023-02-02,PTLO,22.8,23.23,22.21,22.46,561277.0
2023-02-03,PTLO,22.04,22.27,21.67,21.91,803363.0
2023-02-06,PTLO,21.92,22.71,21.47,22.55,918373.0
2023-02-07,PTLO,22.62,23.67,22.4867,23.27,886807.0
2023-02-08,PTLO,23.1,23.275,22.8,23.02,452751.0
2023-02-09,PTLO,23.15,23.35,21.87,21.98,396853.0
2023-02-10,PTLO,21.76,21.76,20.88,21.35,580137.0
2023-02-13,PTLO,21.5,21.84,21.42,21.5,540481.0
2023-02-14,PTLO,21.4,23.0,21.2,22.91,559815.0
2023-02-15,PTLO,22.905,23.7,22.776,23.66,559984.0
2023-02-16,PTLO,23.47,24.4078,22.91,23.96,585393.0
2023-02-17,PTLO,23.92,24.05,23.06,23.4,327334.0
2023-02-21,PTLO,23.02,23.37,22.45,22.46,387502.0
2023-02-22,PTLO,22.46,23.21,22.36,22.98,411841.0
2023-02-23,PTLO,23.16,23.19,22.31,22.66,344408.0
2023-02-24,PTLO,22.073,22.55,21.92,22.3,412861.0
2023-02-27,PTLO,22.56,22.735,22.08,22.4,435372.0
2023-02-28,PTLO,22.43,23.02,22.3,22.72,466622.0
2023-03-01,PTLO,22.76,22.92,22.23,22.36,946471.0
2023-03-02,PTLO,22.81,23.11,19.73,21.77,1906372.0
2023-03-03,PTLO,22.09,23.19,21.81,22.24,1038070.0
2023-03-06,PTLO,22.43,22.8835,21.2,21.5,696931.0
2023-03-07,PTLO,21.51,22.5798,21.38,21.9,726949.0
2023-03-08,PTLO,20.28,20.62,19.85,20.51,4144464.0
2023-03-09,PTLO,20.81,20.85,19.27,19.37,1491143.0
2023-03-10,PTLO,19.62,19.715,18.785,19.12,1445245.0
2023-03-13,PTLO,18.77,19.29,18.41,18.89,1368921.0
2023-03-14,PTLO,19.39,19.86,18.5275,18.83,893378.0
2023-03-15,PTLO,18.27,19.4272,18.27,19.21,1628019.0
2023-03-16,PTLO,19.1,20.11,19.045,20.08,1247510.0
2023-03-17,PTLO,20.01,20.44,19.88,20.23,1404524.0
2023-03-20,PTLO,20.89,21.77,20.76,21.15,1467270.0
2023-03-21,PTLO,21.49,21.75,21.14,21.18,619494.0
2023-03-22,PTLO,21.19,21.53,20.66,20.7,721305.0
2023-03-23,PTLO,20.93,21.365,20.81,21.03,536743.0
2023-03-24,PTLO,20.93,21.31,20.76,21.29,974145.0
2023-03-27,PTLO,21.35,21.38,20.715,20.95,480909.0
2023-03-28,PTLO,20.88,21.19,20.77,21.1,404692.0
2023-03-29,PTLO,21.27,21.27,20.7,21.13,576510.0
2023-03-30,PTLO,21.31,21.4589,20.88,21.03,465935.0
2023-03-31,PTLO,21.25,21.58,21.21,21.37,716977.0
2023-04-03,PTLO,21.37,21.39,20.95,21.2,548711.0
2023-04-04,PTLO,21.2,21.2,20.58,20.8,384402.0
2023-04-05,PTLO,20.8,20.8,20.1,20.22,286432.0
2023-04-06,PTLO,20.25,20.54,20.02,20.5,354199.0
2023-04-10,PTLO,20.3,20.74,20.05,20.49,497727.0
2023-04-11,PTLO,20.55,20.95,20.43,20.56,740034.0
2023-04-12,PTLO,20.87,20.94,20.06,20.09,487109.0
2023-04-13,PTLO,20.19,20.48,19.8901,20.11,622862.0
