Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,PTSI,29.45,30.61,28.72,28.84,30007
2022-11-14,PTSI,28.62,28.62,26.8,27.7,46512
2022-11-15,PTSI,28.23,28.57,27.26,28.13,41770
2022-11-16,PTSI,28.01,28.3,27.4949,27.81,15927
2022-11-17,PTSI,27.42,28.1,27.07,28.08,15313
2022-11-18,PTSI,28.6,28.98,27.9281,28.54,34989
2022-11-21,PTSI,28.5,29.51,28.5,28.76,24376
2022-11-22,PTSI,28.85,29.04,28.12,28.55,13384
2022-11-23,PTSI,28.72,29.07,28.2301,28.89,15337
2022-11-25,PTSI,29.76,30.0,28.71,29.12,4927
2022-11-28,PTSI,28.8,28.83,27.84,27.95,22255
2022-11-29,PTSI,27.65,28.27,27.39,27.68,25628
2022-11-30,PTSI,27.82,28.49,26.76,28.03,179073
2022-12-01,PTSI,28.13,29.055,27.6,28.57,32038
2022-12-02,PTSI,28.16,28.68,28.015,28.32,16008
2022-12-05,PTSI,28.02,28.02,27.0,27.32,14577
2022-12-06,PTSI,27.2,27.3,26.65,27.18,30937
2022-12-07,PTSI,26.8,27.27,26.5669,27.1,14442
2022-12-08,PTSI,27.33,28.44,26.77,27.24,10443
2022-12-09,PTSI,27.27,27.27,26.69,26.81,11059
2022-12-12,PTSI,26.71,27.86,26.59,27.66,22661
2022-12-13,PTSI,28.55,28.55,27.26,27.78,48327
2022-12-14,PTSI,27.67,28.67,27.38,27.53,12465
2022-12-15,PTSI,27.23,27.9,26.57,26.79,22164
2022-12-16,PTSI,26.52,27.25,26.22,26.38,49772
2022-12-19,PTSI,26.48,28.76,25.81,26.01,18032
2022-12-20,PTSI,25.7704,26.6474,25.1,25.28,32079
2022-12-21,PTSI,25.75,26.88,25.3,26.39,32587
2022-12-22,PTSI,26.08,26.08,25.11,25.75,13694
2022-12-23,PTSI,25.44,26.59,25.15,25.35,23793
2022-12-27,PTSI,25.3,25.73,24.78,25.7,47159
2022-12-28,PTSI,25.53,25.65,24.82,24.9,25593
2022-12-29,PTSI,24.82,25.95,24.82,25.82,26596
2022-12-30,PTSI,25.61,26.72,25.61,25.9,96267
2023-01-03,PTSI,26.22,26.49,25.25,25.67,36536
2023-01-04,PTSI,25.75,26.208,25.15,25.44,23356
2023-01-05,PTSI,25.21,25.4,24.4101,24.73,29079
2023-01-06,PTSI,25.26,25.61,24.9,25.61,17295
2023-01-09,PTSI,25.99,26.55,25.67,25.71,18912
2023-01-10,PTSI,25.71,27.26,25.55,27.06,22643
2023-01-11,PTSI,26.73,27.74,26.35,26.99,52737
2023-01-12,PTSI,27.29,28.07,27.145,27.61,19903
2023-01-13,PTSI,27.35,28.4,27.32,28.02,30765
2023-01-17,PTSI,28.2,28.2652,27.56,27.8,19565
2023-01-18,PTSI,27.6,28.5,27.6,27.63,27214
2023-01-19,PTSI,27.6,27.6,26.6585,27.4,16477
2023-01-20,PTSI,27.68,28.42,27.18,28.42,18042
2023-01-23,PTSI,28.69,28.92,28.4775,28.9,17401
2023-01-24,PTSI,28.72,29.68,28.6,29.1,20994
2023-01-25,PTSI,28.69,29.42,28.45,29.42,20273
2023-01-26,PTSI,29.49,29.7,27.97,28.43,22017
2023-01-27,PTSI,28.47,29.32,28.47,29.15,18606
2023-01-30,PTSI,28.96,29.35,27.53,27.85,33072
2023-01-31,PTSI,28.05,29.17,28.05,28.95,17863
2023-02-01,PTSI,28.95,29.7206,28.5734,29.54,60943
2023-02-02,PTSI,30.0,31.16,28.74,30.0,42851
2023-02-03,PTSI,29.7,29.8779,28.47,28.73,21160
2023-02-06,PTSI,28.6,28.6,27.39,27.99,16926
2023-02-07,PTSI,28.0,30.0,27.71,29.6,32284
2023-02-08,PTSI,29.52,30.01,28.9987,29.54,18295
2023-02-09,PTSI,29.42,29.42,28.115,28.3,12547
2023-02-10,PTSI,28.42,28.42,27.543,28.02,16124
2023-02-13,PTSI,27.0176,28.299,27.0176,27.93,20029
2023-02-14,PTSI,27.0,28.4409,26.7,28.3,25897
2023-02-15,PTSI,27.9,29.11,27.56,28.64,23764
2023-02-16,PTSI,28.05,29.22,27.8555,28.57,34154
2023-02-17,PTSI,28.73,29.58,28.5726,29.4,24010
2023-02-21,PTSI,29.17,29.29,28.06,28.06,18594
2023-02-22,PTSI,28.28,28.69,28.0986,28.22,11927
2023-02-23,PTSI,28.6,28.79,27.7301,28.74,19335
2023-02-24,PTSI,28.13,29.1,28.06,28.75,23344
2023-02-27,PTSI,29.12,29.71,29.0,29.0,18869
2023-02-28,PTSI,29.05,29.44,28.98,29.0,36581
2023-03-01,PTSI,28.995,29.63,28.995,29.33,21291
2023-03-02,PTSI,28.91,30.11,28.1101,29.94,20528
2023-03-03,PTSI,30.36,30.3704,29.97,30.23,12105
2023-03-06,PTSI,30.0,30.0,29.53,29.62,39176
2023-03-07,PTSI,29.67,29.79,29.09,29.28,26329
2023-03-08,PTSI,29.53,29.99,29.29,29.9,19404
2023-03-09,PTSI,30.7738,31.3624,30.14,30.14,29420
2023-03-10,PTSI,29.546,29.72,28.6256,29.17,24848
2023-03-13,PTSI,28.74,28.77,28.0678,28.24,27026
2023-03-14,PTSI,29.27,29.75,28.02,28.38,27808
2023-03-15,PTSI,27.65,28.36,27.01,27.43,24733
2023-03-16,PTSI,26.91,28.0,26.91,27.76,16092
2023-03-17,PTSI,27.57,27.86,26.96,27.15,27760
2023-03-20,PTSI,27.43,27.43,26.59,26.67,15447
2023-03-21,PTSI,27.29,27.9293,27.111,27.48,21775
2023-03-22,PTSI,27.44,27.77,26.99,26.99,18551
2023-03-23,PTSI,27.0,27.295,26.51,26.77,32850
2023-03-24,PTSI,26.31,27.1378,26.1223,26.87,27550
2023-03-27,PTSI,27.32,27.34,26.7,27.225,23151
2023-03-28,PTSI,27.29,27.635,27.17,27.58,26724
2023-03-29,PTSI,27.7,28.29,27.51,28.26,35457
2023-03-30,PTSI,28.5,29.31,28.12,29.31,42493
2023-03-31,PTSI,29.4,29.83,28.59,28.63,68252
2023-04-03,PTSI,28.76,28.82,27.7668,28.4,29634
2023-04-04,PTSI,28.65,28.65,27.36,27.86,30592
2023-04-05,PTSI,27.7289,27.7289,27.0531,27.16,16831
2023-04-06,PTSI,27.29,27.58,27.0,27.28,9232
2023-04-10,PTSI,27.28,27.83,27.27,27.78,14964
2023-04-11,PTSI,27.74,28.23,27.65,27.7,21537
2023-04-12,PTSI,27.94,27.95,26.7,26.93,14134
2023-04-13,PTSI,26.77,26.94,26.2,26.29,24209
2023-04-14,PTSI,25.705,26.276,25.42,25.72,23076
2023-04-17,PTSI,25.94,26.37,25.7,26.28,22761
2023-04-18,PTSI,26.28,26.41,25.4682,26.02,17592
2023-04-19,PTSI,25.79,26.17,25.44,25.77,18571
2023-04-20,PTSI,25.7,26.05,25.24,25.97,13945
2023-04-21,PTSI,26.35,26.4,25.16,25.19,21929
2023-04-24,PTSI,25.36,25.37,24.86,24.9,8705
2023-04-25,PTSI,25.0,25.0,23.5,24.32,41176
2023-04-26,PTSI,24.22,24.22,22.87,23.41,22448
2023-04-27,PTSI,23.37,23.71,22.69,22.96,15729
2023-04-28,PTSI,22.73,23.28,22.31,22.45,19304
2023-05-01,PTSI,22.74,22.94,22.14,22.255,15756
2023-05-02,PTSI,21.77,22.35,21.5632,22.01,20654
2023-05-03,PTSI,22.77,23.7372,22.72,23.01,24889
2023-05-04,PTSI,22.9,23.29,22.65,23.29,38886
2023-05-05,PTSI,23.67,24.06,23.342,24.04,21547
2023-05-08,PTSI,23.985,24.11,23.48,23.95,18590
2023-05-09,PTSI,23.75,24.242,23.48,23.71,21198
2023-05-10,PTSI,24.55,24.55,22.84,23.24,28630
2023-05-11,PTSI,22.95,23.42,22.95,23.14,16921
2023-05-12,PTSI,23.47,23.68,23.025,23.09,10655
