Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,PUK,23.79,23.995,23.445,23.86,1103864.0
2022-11-14,PUK,23.54,23.5548,23.24,23.28,768247.0
2022-11-15,PUK,24.03,24.11,23.37,23.6,681066.0
2022-11-16,PUK,23.41,23.475,23.23,23.4,456547.0
2022-11-17,PUK,23.42,23.84,23.42,23.82,570966.0
2022-11-18,PUK,23.64,23.66,23.1,23.35,760541.0
2022-11-21,PUK,22.7,22.7936,22.51,22.74,577106.0
2022-11-22,PUK,22.45,22.71,22.37,22.7,470085.0
2022-11-23,PUK,22.72,23.01,22.705,22.93,286731.0
2022-11-25,PUK,22.77,23.04,22.77,22.93,288486.0
2022-11-28,PUK,22.59,22.68,22.265,22.37,655763.0
2022-11-29,PUK,23.26,23.44,23.2001,23.31,508124.0
2022-11-30,PUK,23.67,23.935,23.35,23.88,728419.0
2022-12-01,PUK,25.4,25.41,24.72,24.8,1594820.0
2022-12-02,PUK,24.99,25.42,24.97,25.34,685814.0
2022-12-05,PUK,26.75,26.8825,26.23,26.49,1657891.0
2022-12-06,PUK,26.45,26.59,26.07,26.26,811913.0
2022-12-07,PUK,25.6,26.11,25.58,25.68,764624.0
2022-12-08,PUK,26.12,26.245,25.865,25.93,535869.0
2022-12-09,PUK,26.69,26.99,26.63,26.67,709680.0
2022-12-12,PUK,26.05,26.32,25.89,26.31,588431.0
2022-12-13,PUK,27.48,27.61,26.94,27.08,706333.0
2022-12-14,PUK,26.93,27.2,26.63,26.88,617911.0
2022-12-15,PUK,26.32,26.38,25.88,25.95,555959.0
2022-12-16,PUK,25.6,25.83,25.51,25.76,789811.0
2022-12-19,PUK,25.69,25.87,25.475,25.6,630538.0
2022-12-20,PUK,25.69,25.91,25.64,25.81,529628.0
2022-12-21,PUK,26.16,26.63,26.15,26.54,459730.0
2022-12-22,PUK,26.58,26.62,26.2,26.51,649558.0
2022-12-23,PUK,26.79,26.85,26.52,26.7,455878.0
2022-12-27,PUK,26.72,27.18,26.54,27.17,472325.0
2022-12-28,PUK,27.55,27.63,26.87,26.89,689511.0
2022-12-29,PUK,27.13,27.55,27.095,27.49,556597.0
2022-12-30,PUK,27.28,27.545,27.27,27.48,336100.0
2023-01-03,PUK,28.16,28.35,27.92,28.15,516050.0
2023-01-04,PUK,29.39,30.0,29.35,29.98,548289.0
2023-01-05,PUK,29.38,29.446,28.87,29.08,629007.0
2023-01-06,PUK,29.09,29.9,29.01,29.79,513898.0
2023-01-09,PUK,30.47,30.605,30.28,30.31,751282.0
2023-01-10,PUK,30.03,30.5,29.95,30.49,382855.0
2023-01-11,PUK,30.21,30.5958,30.15,30.57,585600.0
2023-01-12,PUK,31.43,31.53,30.895,31.32,594035.0
2023-01-13,PUK,31.25,31.78,31.25,31.75,402684.0
2023-01-17,PUK,32.54,32.69,32.03,32.03,1400661.0
2023-01-18,PUK,32.54,32.67,32.0,32.01,971232.0
2023-01-19,PUK,31.94,32.02,31.58,31.9,817479.0
2023-01-20,PUK,32.3,32.58,32.15,32.57,487460.0
2023-01-23,PUK,32.0,32.535,31.99,32.43,493590.0
2023-01-24,PUK,32.26,32.49,32.145,32.42,373871.0
2023-01-25,PUK,32.36,33.44,32.3,33.29,757243.0
2023-01-26,PUK,34.16,34.37,33.82,34.34,714092.0
2023-01-27,PUK,33.75,34.32,33.63,34.21,749459.0
2023-01-30,PUK,32.95,33.41,32.92,33.0,829605.0
2023-01-31,PUK,33.02,33.43,32.84,33.35,451347.0
2023-02-01,PUK,33.1,33.88,32.93,33.78,679711.0
2023-02-02,PUK,33.38,33.41,32.96,33.19,497153.0
2023-02-03,PUK,32.85,32.97,32.495,32.59,723498.0
2023-02-06,PUK,31.42,31.51,31.045,31.4,1901655.0
2023-02-07,PUK,31.12,31.81,30.995,31.75,1769355.0
2023-02-08,PUK,31.58,31.65,31.26,31.54,1570547.0
2023-02-09,PUK,31.76,31.82,31.29,31.31,1537194.0
2023-02-10,PUK,30.91,31.04,30.74,30.97,534143.0
2023-02-13,PUK,31.14,31.65,31.065,31.57,408117.0
2023-02-14,PUK,31.27,31.67,31.18,31.5,482951.0
2023-02-15,PUK,31.2,31.65,31.18,31.65,422858.0
2023-02-16,PUK,31.16,31.62,31.1,31.39,347861.0
2023-02-17,PUK,31.2,31.575,31.18,31.55,373103.0
2023-02-21,PUK,30.49,30.77,30.24,30.37,426590.0
2023-02-22,PUK,29.99,30.165,29.87,30.01,811533.0
2023-02-23,PUK,30.09,30.26,29.67,29.99,473494.0
2023-02-24,PUK,29.07,29.39,29.02,29.39,436132.0
2023-02-27,PUK,30.16,30.36,30.09,30.2,462920.0
2023-02-28,PUK,30.51,30.905,30.42,30.63,397463.0
2023-03-01,PUK,31.2,31.32,30.98,31.07,357668.0
2023-03-02,PUK,30.34,30.61,30.17,30.61,325266.0
2023-03-03,PUK,30.4,30.72,30.265,30.72,352606.0
2023-03-06,PUK,30.39,30.6,30.29,30.33,348953.0
2023-03-07,PUK,30.93,30.94,29.95,29.96,474973.0
2023-03-08,PUK,30.27,30.46,29.92,30.11,516488.0
2023-03-09,PUK,30.72,30.76,29.88,29.91,836073.0
2023-03-10,PUK,29.74,29.82,28.815,28.96,874402.0
2023-03-13,PUK,28.08,28.68,27.94,28.28,1101354.0
2023-03-14,PUK,28.82,28.97,28.47,28.67,925647.0
2023-03-15,PUK,25.07,25.73,24.77,25.6,1176205.0
2023-03-16,PUK,24.55,25.6959,24.48,25.61,1158597.0
2023-03-17,PUK,24.82,24.84,24.385,24.47,911271.0
2023-03-20,PUK,24.56,25.03,24.51,24.82,820506.0
2023-03-21,PUK,25.98,26.25,25.89,26.1,959848.0
2023-03-22,PUK,26.3,26.68,25.88,25.89,986654.0
2023-03-23,PUK,26.52,26.59,25.61,25.9,889778.0
2023-03-24,PUK,25.1,25.28,24.74,25.28,600222.0
2023-03-27,PUK,25.28,25.4699,25.065,25.39,499462.0
2023-03-28,PUK,25.44,25.83,25.38,25.69,579620.0
2023-03-29,PUK,26.64,27.0,26.545,26.88,782761.0
2023-03-30,PUK,27.79,27.81,27.399,27.45,513124.0
2023-03-31,PUK,27.23,27.4,27.22,27.34,333785.0
