Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,PVBC,12.0,12.0,11.66,11.79,95544.0
2022-11-14,PVBC,11.79,11.82,11.4,11.41,83741.0
2022-11-15,PVBC,11.63,11.63,10.06,10.1,242330.0
2022-11-16,PVBC,9.25,9.25,7.89,7.9,528514.0
2022-11-17,PVBC,7.9,8.11,7.05,7.94,987759.0
2022-11-18,PVBC,7.94,7.95,7.34,7.45,189603.0
2022-11-21,PVBC,7.15,7.2392,6.82,7.06,414102.0
2022-11-22,PVBC,7.07,7.41,6.985,7.02,286099.0
2022-11-23,PVBC,7.18,7.2999,6.95,7.17,113336.0
2022-11-25,PVBC,7.02,7.15,7.02,7.05,82524.0
2022-11-28,PVBC,7.06,7.2,6.78,6.8,124203.0
2022-11-29,PVBC,6.75,7.63,6.63,7.08,351926.0
2022-11-30,PVBC,7.08,7.08,6.895,6.94,126801.0
2022-12-01,PVBC,7.0,7.0,6.79,6.84,175868.0
2022-12-02,PVBC,6.76,6.85,6.56,6.62,179089.0
2022-12-05,PVBC,6.56,6.66,6.15,6.22,217754.0
2022-12-06,PVBC,6.15,6.333,6.1,6.29,151633.0
2022-12-07,PVBC,6.3,6.99,6.24,6.94,287695.0
2022-12-08,PVBC,6.94,7.48,6.82,7.29,308198.0
2022-12-09,PVBC,7.17,7.17,6.84,6.98,159624.0
2022-12-12,PVBC,7.02,7.22,6.85,7.12,94069.0
2022-12-13,PVBC,7.35,7.55,7.16,7.5,216914.0
2022-12-14,PVBC,7.49,7.49,6.96,7.16,137960.0
2022-12-15,PVBC,7.12,7.31,7.02,7.17,95495.0
2022-12-16,PVBC,7.17,7.33,7.01,7.25,176963.0
2022-12-19,PVBC,7.2,7.34,7.06,7.26,153569.0
2022-12-20,PVBC,7.22,7.4,7.17,7.34,95457.0
2022-12-21,PVBC,7.37,7.58,7.36,7.38,83847.0
2022-12-22,PVBC,7.37,7.405,7.21,7.31,84556.0
2022-12-23,PVBC,7.32,7.4,7.14,7.39,97115.0
2022-12-27,PVBC,7.41,7.42,7.21,7.26,90122.0
2022-12-28,PVBC,7.29,7.29,6.99,7.06,105386.0
2022-12-29,PVBC,7.05,7.415,7.05,7.41,144407.0
2022-12-30,PVBC,7.43,7.58,7.26,7.28,110546.0
2023-01-03,PVBC,7.31,7.41,7.24,7.27,89897.0
2023-01-04,PVBC,7.35,7.64,7.35,7.51,89886.0
2023-01-05,PVBC,7.18,7.32,7.01,7.17,224319.0
2023-01-06,PVBC,7.16,7.42,7.13,7.42,207957.0
2023-01-09,PVBC,7.43,7.53,7.02,7.05,169858.0
2023-01-10,PVBC,7.02,7.34,7.01,7.2,124598.0
2023-01-11,PVBC,7.23,7.26,7.05,7.2,123489.0
