Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,PVL,3.55,3.6,3.46,3.51,108473
2022-11-14,PVL,3.6,3.6,3.45,3.53,160914
2022-11-15,PVL,3.6,3.6,3.47,3.57,84405
2022-11-16,PVL,3.52,3.6,3.5029,3.59,72016
2022-11-17,PVL,3.58,3.6,3.44,3.48,139802
2022-11-18,PVL,3.42,3.4999,3.35,3.4,129573
2022-11-21,PVL,3.35,3.35,3.21,3.31,207527
2022-11-22,PVL,3.35,3.4626,3.34,3.45,39952
2022-11-23,PVL,3.4,3.54,3.4,3.53,72231
2022-11-25,PVL,3.45,3.69,3.4301,3.53,151698
2022-11-28,PVL,3.52,3.55,3.46,3.53,151223
2022-11-29,PVL,3.57,3.57,3.49,3.5,126628
2022-11-30,PVL,3.5,3.5126,3.45,3.48,50268
2022-12-01,PVL,3.51,3.54,3.466,3.49,124027
2022-12-02,PVL,3.48,3.5,3.45,3.49,81298
2022-12-05,PVL,3.48,3.48,3.3,3.32,137632
2022-12-06,PVL,3.3,3.3773,3.13,3.24,214131
2022-12-07,PVL,3.19,3.2794,3.05,3.07,181178
2022-12-08,PVL,3.1,3.2,3.0,3.02,152960
2022-12-09,PVL,3.08,3.22,3.02,3.16,112772
2022-12-12,PVL,3.15,3.25,3.15,3.22,66360
2022-12-13,PVL,3.35,3.35,3.17,3.2,71723
2022-12-14,PVL,3.18,3.31,3.16,3.31,78143
2022-12-15,PVL,3.27,3.291,3.19,3.22,97367
2022-12-16,PVL,3.16,3.24,3.15,3.24,98826
2022-12-19,PVL,3.3,3.41,3.261,3.34,164290
2022-12-20,PVL,3.35,3.36,3.2,3.3,94921
2022-12-21,PVL,3.33,3.34,3.2303,3.25,174445
2022-12-22,PVL,3.3,3.33,3.21,3.29,55935
2022-12-23,PVL,3.34,3.43,3.2938,3.43,169358
2022-12-27,PVL,3.4,3.45,3.34,3.37,171449
2022-12-28,PVL,3.37,3.4,3.29,3.34,121810
2022-12-29,PVL,3.33,3.35,3.2601,3.2944,112107
2022-12-30,PVL,3.28,3.3667,3.28,3.35,68451
2023-01-03,PVL,3.35,3.35,3.01,3.04,290660
2023-01-04,PVL,3.05,3.2,3.05,3.0801,184205
2023-01-05,PVL,3.12,3.12,3.0,3.01,173060
2023-01-06,PVL,3.01,3.07,2.92,3.0,183455
2023-01-09,PVL,2.99,3.07,2.95,2.97,381866
2023-01-10,PVL,3.0,3.0202,2.86,2.89,368884
2023-01-11,PVL,2.92,2.95,2.759,2.8,348529
2023-01-12,PVL,2.85,3.0,2.83,2.95,194397
2023-01-13,PVL,2.96,3.1,2.945,3.1,212177
2023-01-17,PVL,3.12,3.1499,3.0,3.01,276103
2023-01-18,PVL,3.04,3.09,2.96,2.99,176424
2023-01-19,PVL,3.02,3.1,2.87,2.94,370714
2023-01-20,PVL,2.97,3.01,2.96,3.0,206361
