Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,QNRX,21.96,24.504,21.96,22.8,8153.3333
2022-11-14,QNRX,21.96,23.88,21.96,23.16,13020.0
2022-11-15,QNRX,23.76,24.24,22.2,22.92,4777.5
2022-11-16,QNRX,23.52,23.76,22.5648,23.04,4538.75
2022-11-17,QNRX,22.2,23.2788,21.6,22.74,6329.1667
2022-11-18,QNRX,23.52,23.52,21.72,21.84,7036.75
2022-11-21,QNRX,23.28,23.28,21.24,21.72,2004.9167
2022-11-22,QNRX,22.26,22.56,21.24,21.36,2369.3333
2022-11-23,QNRX,21.48,22.08,20.76,21.36,2020.9167
2022-11-25,QNRX,21.186,22.1988,21.186,21.96,533.25
2022-11-28,QNRX,21.12,21.9456,20.466,20.52,3464.4167
2022-11-29,QNRX,21.006,21.48,19.92,20.3832,6482.25
2022-11-30,QNRX,20.28,21.24,19.32,20.04,7234.4167
2022-12-01,QNRX,20.52,21.8388,19.8,20.76,11330.4167
2022-12-02,QNRX,20.64,21.36,19.68,21.0,8339.0833
2022-12-05,QNRX,20.16,20.88,19.92,20.04,4638.25
2022-12-06,QNRX,20.04,22.68,19.92,20.04,22110.0
2022-12-07,QNRX,20.04,20.76,19.2,19.2,6698.3333
2022-12-08,QNRX,19.3224,19.8,18.24,18.72,5705.3333
2022-12-09,QNRX,18.7188,18.96,18.0,18.72,3753.3333
2022-12-12,QNRX,18.48,19.1568,18.0,18.0,4050.25
2022-12-13,QNRX,19.56,19.68,18.24,18.48,9536.5
2022-12-14,QNRX,18.0,18.96,18.0,18.96,1845.5833
2022-12-15,QNRX,18.6,18.96,18.24,18.36,4295.8333
2022-12-16,QNRX,18.0,18.6,18.0,18.36,1762.0
2022-12-19,QNRX,18.72,18.744,17.52,17.52,4398.6667
2022-12-20,QNRX,16.9212,17.988,16.8,17.88,4729.25
2022-12-21,QNRX,18.42,18.42,16.44,17.16,6347.4167
2022-12-22,QNRX,16.68,17.28,16.2,16.68,4729.6667
2022-12-23,QNRX,16.68,17.04,15.4812,15.84,4222.4167
2022-12-27,QNRX,15.96,16.2,13.32,13.62,14439.8333
2022-12-28,QNRX,13.68,14.76,13.68,14.28,11561.3333
2022-12-29,QNRX,17.28,20.4,16.08,17.28,150243.8333
2022-12-30,QNRX,17.28,17.52,15.6,17.04,18880.25
2023-01-03,QNRX,16.68,17.52,16.602,17.52,8399.5833
2023-01-04,QNRX,17.28,19.2,17.1036,19.08,15785.5
2023-01-05,QNRX,19.146,19.146,17.7612,18.0,8453.8333
2023-01-06,QNRX,18.4788,18.4788,17.04,17.4,4284.5833
2023-01-09,QNRX,17.28,18.96,17.28,18.24,4828.9167
2023-01-10,QNRX,18.0684,21.054,18.0,20.04,18836.3333
2023-01-11,QNRX,20.4,22.08,19.8,20.76,15572.0
2023-01-12,QNRX,21.48,21.48,19.2,19.8,10332.0833
2023-01-13,QNRX,19.56,21.0684,19.56,19.92,3853.1667
2023-01-17,QNRX,20.28,20.8368,20.16,20.28,3562.0
2023-01-18,QNRX,20.64,21.48,19.2,19.44,5608.75
2023-01-19,QNRX,19.44,19.68,18.36,18.6,2975.0833
2023-01-20,QNRX,18.36,18.84,18.0,18.48,3999.0833
2023-01-23,QNRX,18.84,19.128,18.06,18.24,3001.0833
2023-01-24,QNRX,19.08,19.2,17.4,17.64,4487.75
2023-01-25,QNRX,17.76,18.24,17.76,18.0,2121.8333
2023-01-26,QNRX,18.12,18.4788,18.0,18.24,2537.1667
2023-01-27,QNRX,18.0,18.84,18.0,18.72,8556.4167
2023-01-30,QNRX,18.12,18.6,18.12,18.27,1220.1667
2023-01-31,QNRX,18.9588,20.04,18.48,20.04,54891.5833
2023-02-01,QNRX,32.28,33.84,24.6,27.96,1337003.6667
2023-02-02,QNRX,26.52,30.72,24.84,30.36,104248.5
2023-02-03,QNRX,26.76,29.28,26.76,28.0812,38803.5
2023-02-06,QNRX,27.72,31.56,27.72,29.04,26122.5
2023-02-07,QNRX,29.4,29.4,26.04,26.16,13583.4167
2023-02-08,QNRX,26.88,27.36,24.96,24.96,6849.1667
2023-02-09,QNRX,24.36,25.6524,21.0,21.0,20273.0
2023-02-10,QNRX,19.8,20.88,19.44,20.04,9961.9167
2023-02-13,QNRX,18.72,20.16,18.0,18.84,11305.1667
2023-02-14,QNRX,18.84,19.1988,18.0,18.0,5974.0833
2023-02-15,QNRX,18.6,18.84,17.76,18.6,11780.9167
2023-02-16,QNRX,18.6,18.8388,18.0,18.0,10382.8333
2023-02-17,QNRX,18.0,18.48,16.44,16.8,17529.4167
2023-02-21,QNRX,16.2,17.64,14.28,14.28,27574.75
2023-02-22,QNRX,8.34,8.9856,7.44,7.44,432135.0
2023-02-23,QNRX,8.4,8.4,6.48,6.6,122854.5
2023-02-24,QNRX,7.08,7.08,5.1996,5.64,180396.8333
2023-02-27,QNRX,5.868,6.348,5.6448,6.12,110561.8333
2023-02-28,QNRX,6.48,6.84,6.15,6.8352,88185.25
2023-03-01,QNRX,6.828,6.8376,6.126,6.6,57273.0
2023-03-02,QNRX,6.24,6.6,6.2256,6.5664,32058.25
2023-03-03,QNRX,6.36,6.996,6.36,6.6192,40428.8333
2023-03-06,QNRX,6.84,6.9576,6.24,6.72,55628.3333
2023-03-07,QNRX,6.48,6.8388,6.36,6.72,44067.9167
2023-03-08,QNRX,6.48,6.96,6.24,6.9,52496.5
2023-03-09,QNRX,7.14,7.3199,6.3,6.36,71803.0833
2023-03-10,QNRX,6.36,6.6,5.1636,6.0,88826.1667
2023-03-13,QNRX,5.6928,6.2328,5.64,6.21,40128.9167
2023-03-14,QNRX,6.24,6.54,6.12,6.2856,27704.0833
2023-03-15,QNRX,5.9628,6.4776,5.6928,6.1104,33260.3333
2023-03-16,QNRX,6.12,6.1776,5.6412,5.9868,21170.5833
2023-03-17,QNRX,5.76,5.902,5.64,5.6412,17337.0
2023-03-20,QNRX,5.6544,6.12,5.6412,5.8788,16692.0
2023-03-21,QNRX,5.8836,6.12,5.76,6.1176,14182.3333
2023-03-22,QNRX,6.0,6.84,5.772,6.48,145132.25
2023-03-23,QNRX,6.42,6.42,6.12,6.2364,18268.9167
2023-03-24,QNRX,6.0828,6.24,5.7636,6.2388,13972.75
2023-03-27,QNRX,6.36,6.36,5.94,6.12,11511.3333
2023-03-28,QNRX,6.0,6.12,5.64,5.742,29010.1667
2023-03-29,QNRX,5.856,5.856,5.6412,5.8524,9365.3333
2023-03-30,QNRX,5.82,6.0,5.76,5.88,16491.8333
2023-03-31,QNRX,5.736,5.8799,5.6328,5.7072,13125.8333
2023-04-03,QNRX,6.2028,6.2028,5.6424,5.784,16791.75
2023-04-04,QNRX,5.88,5.88,5.592,5.76,12377.4167
2023-04-05,QNRX,5.82,5.9592,5.5404,5.736,5439.0833
2023-04-06,QNRX,5.7654,5.856,5.52,5.58,11730.1667
2023-04-10,QNRX,5.8608,5.8608,5.532,5.6304,15585.25
2023-04-11,QNRX,5.6424,5.7216,5.34,5.49,16068.5
2023-04-12,QNRX,5.4012,5.6256,5.4,5.4,13927.9167
2023-04-13,QNRX,5.5728,5.5728,5.3281,5.3281,12922.9167
2023-04-14,QNRX,5.52,6.84,5.4012,6.09,115408.9167
2023-04-17,QNRX,6.24,6.24,5.7,5.8932,22199.5
2023-04-18,QNRX,5.892,5.922,5.64,5.7804,15471.8333
2023-04-19,QNRX,5.6124,5.892,5.6124,5.76,12293.5
2023-04-20,QNRX,5.6184,5.88,5.4132,5.5212,17474.5
2023-04-21,QNRX,5.5788,5.8584,5.5212,5.5212,6079.0833
2023-04-24,QNRX,5.5212,5.88,5.5212,5.6616,10772.75
2023-04-25,QNRX,5.6616,6.24,5.5248,6.1068,45448.25
2023-04-26,QNRX,6.24,6.24,5.88,6.1956,13749.25
2023-04-27,QNRX,6.0864,6.24,5.76,6.1704,9977.0
2023-04-28,QNRX,5.88,6.1776,5.64,6.0,23761.25
2023-05-01,QNRX,5.472,6.12,5.472,5.82,15255.5
2023-05-02,QNRX,5.88,6.12,5.7612,5.7612,6186.1667
2023-05-03,QNRX,5.82,5.8788,5.6412,5.76,8331.25
2023-05-04,QNRX,5.64,6.0,5.64,5.7264,6673.8333
2023-05-05,QNRX,5.7012,5.988,5.7,5.9364,6861.9167
2023-05-08,QNRX,5.9976,7.1844,5.988,6.8208,119369.5
2023-05-09,QNRX,6.57,6.6,5.6244,5.85,50448.9167
2023-05-10,QNRX,6.0,6.0288,5.6484,5.7924,18544.4167
2023-05-11,QNRX,6.0,6.0,5.64,5.76,6510.0833
2023-05-12,QNRX,5.76,6.0,5.76,5.8572,8889.8333
2023-05-15,QNRX,6.0,6.0,5.7606,5.844,8175.25
2023-05-16,QNRX,5.7,5.94,5.664,5.7132,7353.4167
2023-05-17,QNRX,5.7132,5.8128,5.652,5.7096,4192.8333
2023-05-18,QNRX,5.7132,5.868,5.6448,5.76,5345.0833
2023-05-19,QNRX,5.82,5.82,5.64,5.6592,6611.0
2023-05-22,QNRX,5.76,5.8788,5.6592,5.718,7898.1667
2023-05-23,QNRX,5.856,5.856,5.64,5.7324,5407.0833
2023-05-24,QNRX,5.6412,5.742,5.316,5.5188,24029.6667
2023-05-25,QNRX,5.58,5.58,5.0412,5.28,17944.8333
2023-05-26,QNRX,5.16,5.16,5.1,5.1492,11046.8333
2023-05-30,QNRX,5.16,5.3376,5.04,5.0544,4558.0833
2023-05-31,QNRX,5.064,5.2056,5.04,5.106,5124.25
2023-06-01,QNRX,5.04,5.28,5.04,5.214,6054.8333
2023-06-02,QNRX,5.16,5.5188,5.16,5.5188,8271.4167
2023-06-05,QNRX,5.64,5.724,5.4,5.52,6357.9167
2023-06-06,QNRX,5.3592,5.6556,5.3592,5.64,4915.1667
2023-06-07,QNRX,5.7,5.856,5.64,5.8092,9051.9167
2023-06-08,QNRX,5.88,5.934,5.8092,5.8128,21746.75
2023-06-09,QNRX,5.6892,5.88,5.6748,5.76,3844.3333
2023-06-12,QNRX,5.7026,6.4548,5.6436,6.24,24722.9167
2023-06-13,QNRX,6.48,6.48,5.9088,6.0756,5283.3333
2023-06-14,QNRX,6.48,6.48,6.078,6.3624,7727.75
2023-06-15,QNRX,6.3138,6.48,6.2652,6.48,7526.3333
2023-06-16,QNRX,6.6,6.6,6.264,6.3732,8141.5833
2023-06-20,QNRX,6.78,6.78,6.12,6.48,10057.5
2023-06-21,QNRX,6.48,9.2016,6.48,7.68,309217.25
2023-06-22,QNRX,7.2,7.44,6.51,7.056,46880.3333
2023-06-23,QNRX,6.7801,7.0548,6.48,7.0548,19658.0833
2023-06-26,QNRX,6.84,7.4988,5.76,6.114,22018.5833
2023-06-27,QNRX,6.18,6.456,6.114,6.24,10178.9167
2023-06-28,QNRX,6.0612,6.2916,5.88,6.2916,7125.6667
2023-06-29,QNRX,6.0024,6.2508,6.0024,6.1908,11411.0
2023-06-30,QNRX,6.0708,6.4776,5.76,6.0037,8908.5
2023-07-03,QNRX,5.8128,5.9988,5.76,5.904,5399.0
2023-07-05,QNRX,5.9328,6.0528,5.52,5.8656,13878.4167
2023-07-06,QNRX,5.8128,5.9364,5.4,5.4,17309.8333
2023-07-07,QNRX,5.4,5.5428,5.28,5.4708,14990.0833
2023-07-10,QNRX,5.52,5.76,5.3424,5.6412,11005.25
2023-07-11,QNRX,5.46,5.8764,5.46,5.652,5647.25
2023-07-12,QNRX,5.4108,5.8884,5.3556,5.8308,27352.1667
2023-07-13,QNRX,5.688,5.9988,5.6412,5.7024,15676.1667
2023-07-14,QNRX,5.7312,6.96,5.7312,6.72,122682.1667
2023-07-17,QNRX,6.492,6.84,6.192,6.7584,117835.6667
2023-07-18,QNRX,6.95,7.75,5.8,6.66,544972.0
2023-07-19,QNRX,6.29,6.9225,6.29,6.36,134663.0
2023-07-20,QNRX,6.3,7.68,6.06,6.51,382731.0
2023-07-21,QNRX,7.29,12.0,7.15,9.09,6239786.0
2023-07-24,QNRX,8.68,9.31,7.52,8.39,453520.0
2023-07-25,QNRX,8.28,8.8125,7.55,7.74,158331.0
2023-07-26,QNRX,7.75,8.05,6.89,7.53,117359.0
2023-07-27,QNRX,7.53,8.28,7.4,7.53,89832.0
2023-07-28,QNRX,7.39,7.8654,7.21,7.52,80629.0
2023-07-31,QNRX,7.44,8.0,7.44,7.87,83159.0
2023-08-01,QNRX,7.76,8.1,7.66,7.87,51683.0
2023-08-02,QNRX,7.71,7.7708,7.03,7.03,59542.0
2023-08-03,QNRX,7.15,7.73,7.15,7.47,23356.0
2023-08-04,QNRX,7.23,7.37,6.65,6.71,107156.0
2023-08-07,QNRX,6.53,6.5768,5.31,6.1178,107189.0
2023-08-08,QNRX,5.93,6.45,5.8,5.88,60208.0
2023-08-09,QNRX,6.07,6.2,6.01,6.07,12575.0
2023-08-10,QNRX,6.01,6.15,6.01,6.12,10267.0
2023-08-11,QNRX,6.02,6.2,5.89,5.945,25845.0
2023-08-14,QNRX,5.85,6.045,5.5,5.66,15306.0
2023-08-15,QNRX,5.6,5.93,5.41,5.41,45487.0
2023-08-16,QNRX,5.32,5.57,5.2,5.29,37449.0
2023-08-17,QNRX,5.64,5.64,5.2,5.36,9173.0
2023-08-18,QNRX,5.12,5.671,5.12,5.31,45327.0
2023-08-21,QNRX,5.36,5.6,5.1101,5.18,64827.0
2023-08-22,QNRX,5.11,5.56,5.11,5.33,10105.0
2023-08-23,QNRX,5.3,5.77,5.3,5.42,35846.0
2023-08-24,QNRX,5.34,5.64,5.25,5.31,25182.0
2023-08-25,QNRX,5.2,5.6,5.1272,5.5753,48810.0
2023-08-28,QNRX,5.36,5.96,5.26,5.94,14277.0
2023-08-29,QNRX,5.7,5.9999,5.39,5.7098,21603.0
2023-08-30,QNRX,5.7501,5.9316,5.4,5.58,16998.0
2023-08-31,QNRX,5.9501,6.0499,5.4,5.75,47528.0
2023-09-01,QNRX,5.71,5.9999,5.5582,5.8263,54298.0
2023-09-05,QNRX,6.02,6.76,5.833,6.1601,148985.0
2023-09-06,QNRX,6.32,6.32,5.8,5.9,25053.0
2023-09-07,QNRX,5.84,6.1,5.81,5.83,5809.0
2023-09-08,QNRX,6.03,6.03,5.4,5.67,11471.0
2023-09-11,QNRX,5.56,5.75,5.45,5.58,20107.0
2023-09-12,QNRX,5.69,5.715,5.4,5.51,4605.0
2023-09-13,QNRX,5.42,5.59,5.42,5.46,7183.0
2023-09-14,QNRX,5.89,5.89,5.46,5.62,3063.0
2023-09-15,QNRX,5.59,5.59,5.515,5.515,1635.0
2023-09-18,QNRX,5.2972,5.6302,5.2,5.32,5226.0
2023-09-19,QNRX,5.51,5.51,5.21,5.342,5326.0
2023-09-20,QNRX,5.44,5.49,5.2,5.2,4633.0
2023-09-21,QNRX,5.22,5.3,5.0,5.0,13695.0
2023-09-22,QNRX,5.0,5.19,4.7,4.7,10279.0
2023-09-25,QNRX,4.56,4.752,4.2,4.51,12657.0
2023-09-26,QNRX,4.435,4.435,4.3123,4.32,4769.0
2023-09-27,QNRX,4.4,4.4992,4.24,4.24,16938.0
2023-09-28,QNRX,4.19,4.4145,4.19,4.2808,31177.0
2023-09-29,QNRX,4.21,4.44,4.1,4.15,15418.0
2023-10-02,QNRX,4.21,4.4151,4.15,4.2601,11679.0
2023-10-03,QNRX,4.26,4.4999,4.2089,4.25,5784.0
2023-10-04,QNRX,4.3158,4.35,4.2,4.2,8182.0
2023-10-05,QNRX,4.36,4.39,4.2,4.22,13577.0
2023-10-06,QNRX,4.17,4.255,4.12,4.16,4942.0
2023-10-09,QNRX,4.3,4.3,4.0,4.1,6869.0
2023-10-10,QNRX,4.2,4.3399,4.14,4.3399,4344.0
2023-10-11,QNRX,4.28,4.9,3.6601,3.77,128440.0
2023-10-12,QNRX,4.09,4.11,3.9072,4.035,5976.0
2023-10-13,QNRX,4.24,4.24,3.7601,3.95,3542.0
2023-10-16,QNRX,4.37,4.37,3.85,3.85,10539.0
2023-10-17,QNRX,4.14,4.14,3.9,4.1,6470.0
2023-10-18,QNRX,4.16,4.29,4.0,4.02,3681.0
2023-10-19,QNRX,4.07,4.19,4.01,4.1,3141.0
2023-10-20,QNRX,4.28,4.43,4.1,4.31,15330.0
2023-10-23,QNRX,4.45,4.98,4.2372,4.6,32765.0
2023-10-24,QNRX,4.65,5.0764,4.42,4.97,108857.0
2023-10-25,QNRX,4.8,4.88,4.44,4.86,22421.0
2023-10-26,QNRX,4.75,4.75,4.3,4.3,13743.0
2023-10-27,QNRX,4.7,4.7,4.23,4.23,6203.0
2023-10-30,QNRX,4.64,4.64,3.85,4.24,17472.0
2023-10-31,QNRX,4.2199,4.2199,4.0,4.07,3478.0
2023-11-01,QNRX,4.13,4.3,4.1201,4.2,4982.0
2023-11-02,QNRX,4.125,4.32,4.1113,4.3,6018.0
2023-11-03,QNRX,4.18,4.64,4.17,4.45,6509.0
2023-11-06,QNRX,4.66,4.66,4.2561,4.52,4504.0
2023-11-07,QNRX,4.56,4.9559,4.45,4.47,13429.0
2023-11-08,QNRX,4.59,4.59,4.2744,4.425,3020.0
2023-11-09,QNRX,4.74,4.74,3.8539,4.0594,17440.0
2023-11-10,QNRX,3.92,4.0958,3.64,3.87,17320.0
2023-11-13,QNRX,3.87,4.04,3.86,3.9394,5408.0
2023-11-14,QNRX,4.13,4.28,3.9912,4.25,66273.0
2023-11-15,QNRX,4.25,4.25,4.13,4.25,8936.0
2023-11-16,QNRX,4.35,4.45,4.1,4.36,6337.0
2023-11-17,QNRX,4.49,4.5,4.32,4.46,3439.0
2023-11-20,QNRX,4.1379,4.45,4.1301,4.4,8587.0
2023-11-21,QNRX,4.28,4.39,4.0,4.24,13686.0
2023-11-22,QNRX,4.1613,4.36,4.0465,4.3,2911.0
2023-11-24,QNRX,4.1806,4.9,4.1501,4.5731,27178.0
2023-11-27,QNRX,4.4895,4.57,4.24,4.5,3842.0
2023-11-28,QNRX,4.2301,4.55,4.14,4.24,39605.0
2023-11-29,QNRX,4.26,4.69,4.26,4.39,38055.0
2023-11-30,QNRX,4.62,5.22,4.55,4.9731,88521.0
2023-12-01,QNRX,5.29,5.75,5.0699,5.4,96266.0
2023-12-04,QNRX,5.41,5.41,4.7201,4.77,35565.0
2023-12-05,QNRX,4.7801,5.05,4.6588,4.92,13418.0
2023-12-06,QNRX,4.81,4.99,4.7701,4.95,11618.0
2023-12-07,QNRX,4.98,5.22,4.71,4.97,38338.0
2023-12-08,QNRX,5.03,5.105,4.87,4.93,16354.0
2023-12-11,QNRX,4.82,5.02,4.47,4.74,24839.0
2023-12-12,QNRX,4.48,5.2,4.34,4.65,141563.0
2023-12-13,QNRX,4.9,5.1336,4.11,4.59,451477.0
2023-12-14,QNRX,4.21,4.4516,4.19,4.24,37596.0
2023-12-15,QNRX,4.2,4.3801,4.07,4.305,39767.0
2023-12-18,QNRX,4.22,4.3,4.0233,4.0624,12492.0
2023-12-19,QNRX,4.06,4.1775,3.99,4.03,27752.0
2023-12-20,QNRX,3.99,4.15,3.9148,4.02,25720.0
2023-12-21,QNRX,4.1618,4.4238,4.04,4.1799,14896.0
