Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,QUBT,2.15,2.23,2.02,2.15,175952.0
2022-11-14,QUBT,2.15,2.22,2.09,2.16,67986.0
2022-11-15,QUBT,2.23,2.35,2.2,2.32,113849.0
2022-11-16,QUBT,2.2,2.28,2.06,2.09,56532.0
2022-11-17,QUBT,2.09,2.18,2.02,2.05,84029.0
2022-11-18,QUBT,2.03,2.18,2.0277,2.1,112120.0
2022-11-21,QUBT,2.07,2.15,2.01,2.03,96997.0
2022-11-22,QUBT,2.04,2.19,2.04,2.12,85829.0
2022-11-23,QUBT,2.18,2.2,2.12,2.18,60332.0
2022-11-25,QUBT,2.2,2.21,2.1082,2.19,57300.0
2022-11-28,QUBT,2.19,2.255,2.05,2.13,104938.0
2022-11-29,QUBT,2.13,2.32,2.13,2.22,110368.0
2022-11-30,QUBT,2.25,2.31,2.19,2.21,115691.0
2022-12-01,QUBT,2.24,2.32,2.1,2.1,76879.0
2022-12-02,QUBT,2.06,2.28,2.06,2.22,93031.0
2022-12-05,QUBT,2.21,2.25,2.1,2.1,119112.0
2022-12-06,QUBT,2.05,2.1796,1.95,1.98,234193.0
2022-12-07,QUBT,1.98,2.15,1.95,2.05,72473.0
2022-12-08,QUBT,2.03,2.1,1.9649,2.02,104673.0
2022-12-09,QUBT,1.99,2.1,1.98,2.03,56765.0
2022-12-12,QUBT,2.13,2.13,1.9,1.98,156216.0
2022-12-13,QUBT,2.02,2.1,1.85,1.85,137379.0
2022-12-14,QUBT,1.85,1.9834,1.64,1.66,281829.0
2022-12-15,QUBT,1.62,1.8599,1.62,1.66,212877.0
2022-12-16,QUBT,1.68,1.75,1.62,1.62,132745.0
2022-12-19,QUBT,1.61,1.77,1.61,1.61,118285.0
2022-12-20,QUBT,1.61,1.71,1.61,1.65,100604.0
2022-12-21,QUBT,1.68,1.74,1.65,1.66,116589.0
2022-12-22,QUBT,1.67,1.739,1.52,1.52,114070.0
2022-12-23,QUBT,1.52,1.72,1.52,1.56,42608.0
2022-12-27,QUBT,1.63,1.63,1.5,1.51,76837.0
2022-12-28,QUBT,1.56,1.6312,1.45,1.46,111864.0
2022-12-29,QUBT,1.45,1.56,1.45,1.49,76253.0
2022-12-30,QUBT,1.48,1.5299,1.43,1.51,123572.0
2023-01-03,QUBT,1.57,1.6,1.5,1.52,108400.0
