Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,REGN,736.0,737.43,706.75,734.45,951892.0
2022-11-14,REGN,737.88,755.0,737.0,742.01,727855.0
2022-11-15,REGN,749.92,749.92,717.67,728.73,650500.0
2022-11-16,REGN,735.07,742.43,729.63,735.67,523527.0
2022-11-17,REGN,733.74,742.215,726.04,739.08,538232.0
2022-11-18,REGN,737.32,745.4,728.14,736.73,496643.0
2022-11-21,REGN,734.96,740.59,724.2401,738.98,447212.0
2022-11-22,REGN,743.85,749.72,733.9,749.23,406266.0
2022-11-23,REGN,749.8,751.695,734.16,735.36,406233.0
2022-11-25,REGN,732.69,737.24,728.61,736.23,229209.0
2022-11-28,REGN,740.0,750.9949,736.11,741.48,570688.0
2022-11-29,REGN,739.9,740.0,727.0,736.08,515105.0
2022-11-30,REGN,737.89,756.0,729.42,751.7,1824586.0
2022-12-01,REGN,756.19,768.295,752.405,761.24,670027.0
2022-12-02,REGN,752.52,769.0,752.0,766.39,441486.0
2022-12-05,REGN,762.0,765.4888,749.58,755.45,531072.0
2022-12-06,REGN,751.28,755.87,744.81,747.47,501985.0
2022-12-07,REGN,745.47,767.74,745.47,764.27,565791.0
2022-12-08,REGN,758.08,779.0,758.08,765.42,588902.0
2022-12-09,REGN,753.18,759.99,746.57,750.06,508512.0
2022-12-12,REGN,730.17,744.935,728.0,742.48,843061.0
2022-12-13,REGN,749.1,753.94,739.02,747.56,671254.0
2022-12-14,REGN,741.28,757.0,741.28,750.0,563237.0
2022-12-15,REGN,748.17,748.17,728.08,731.27,622406.0
2022-12-16,REGN,721.8,732.48,720.575,723.17,1802995.0
2022-12-19,REGN,720.99,726.1499,712.9953,721.1,502032.0
2022-12-20,REGN,725.24,738.29,722.96,733.53,551380.0
2022-12-21,REGN,734.98,754.86,733.2,736.19,532529.0
2022-12-22,REGN,736.08,736.495,726.05,733.62,506290.0
2022-12-23,REGN,733.96,735.6,718.36,726.74,358582.0
2022-12-27,REGN,726.44,727.46,708.26,711.35,548645.0
2022-12-28,REGN,710.51,717.94,707.87,713.03,359536.0
2022-12-29,REGN,717.0,728.09,710.28,721.29,432117.0
2022-12-30,REGN,721.16,722.16,710.245,721.49,364172.0
2023-01-03,REGN,721.86,732.43,719.3521,720.47,508474.0
2023-01-04,REGN,728.19,731.8115,719.165,726.49,517204.0
2023-01-05,REGN,724.69,730.56,718.75,723.76,499944.0
2023-01-06,REGN,730.74,747.7,721.7919,737.15,602435.0
2023-01-09,REGN,693.13,708.21,668.0,680.49,1664448.0
2023-01-10,REGN,676.37,707.2099,675.0,698.95,793251.0
2023-01-11,REGN,698.9,711.43,694.525,709.94,592772.0
2023-01-12,REGN,707.0,715.79,697.13,714.57,538830.0
2023-01-13,REGN,714.67,724.99,709.58,722.13,489479.0
2023-01-17,REGN,722.13,731.35,714.11,728.11,641047.0
2023-01-18,REGN,725.17,729.33,722.22,724.55,487462.0
2023-01-19,REGN,729.39,730.0,715.41,715.57,583344.0
2023-01-20,REGN,723.16,725.87,713.471,722.0,939769.0
2023-01-23,REGN,721.53,732.89,718.34,729.91,569944.0
2023-01-24,REGN,731.01,732.31,722.47,727.47,326467.0
2023-01-25,REGN,729.49,743.93,726.21,741.18,584362.0
2023-01-26,REGN,741.18,745.6,735.0,742.3,346397.0
2023-01-27,REGN,745.61,748.28,740.27,742.83,417648.0
