Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,RES,10.64,10.84,10.15,10.2,1785203.0
2022-11-14,RES,10.2,10.45,9.81,9.82,1635654.0
2022-11-15,RES,9.93,10.04,9.71,9.99,813371.0
2022-11-16,RES,9.85,9.895,9.655,9.74,750654.0
2022-11-17,RES,9.54,9.84,9.45,9.8,898686.0
2022-11-18,RES,9.57,9.735,9.3,9.65,715004.0
2022-11-21,RES,9.35,9.42,8.7301,9.4,1456029.0
2022-11-22,RES,9.62,9.77,9.5,9.53,757671.0
2022-11-23,RES,9.28,9.41,9.11,9.28,677012.0
2022-11-25,RES,9.3,9.3,9.12,9.14,269998.0
2022-11-28,RES,8.79,9.125,8.76,8.9,639722.0
2022-11-29,RES,9.05,9.17,8.95,9.11,597204.0
2022-11-30,RES,9.3,9.365,8.92,9.26,1109166.0
2022-12-01,RES,9.43,9.53,9.02,9.03,687641.0
2022-12-02,RES,8.95,9.37,8.95,9.24,676522.0
2022-12-05,RES,9.43,9.47,8.48,8.63,1484340.0
2022-12-06,RES,8.61,8.82,8.38,8.42,799854.0
2022-12-07,RES,8.49,8.61,8.11,8.21,1050424.0
2022-12-08,RES,8.5,8.58,8.05,8.12,1007821.0
2022-12-09,RES,8.17,8.31,7.865,7.92,1046469.0
2022-12-12,RES,7.93,8.46,7.92,8.37,1211594.0
2022-12-13,RES,8.52,8.8199,8.46,8.63,2479788.0
2022-12-14,RES,8.63,8.71,8.38,8.5,1242819.0
2022-12-15,RES,8.43,8.66,8.295,8.57,1187183.0
2022-12-16,RES,8.3,8.4,8.09,8.36,5022542.0
2022-12-19,RES,8.52,8.69,8.35,8.49,1310819.0
2022-12-20,RES,8.46,8.815,8.38,8.62,1405542.0
2022-12-21,RES,8.89,8.955,8.67,8.79,1296401.0
2022-12-22,RES,8.87,8.925,8.33,8.46,873836.0
2022-12-23,RES,8.53,8.81,8.47,8.79,1054357.0
2022-12-27,RES,8.87,8.95,8.67,8.86,991117.0
2022-12-28,RES,8.83,8.85,8.37,8.47,861953.0
2022-12-29,RES,8.45,8.885,8.4,8.84,768903.0
2022-12-30,RES,8.71,8.91,8.7,8.89,1799116.0
2023-01-03,RES,8.87,8.95,8.395,8.61,1254538.0
2023-01-04,RES,8.45,8.7689,8.41,8.66,699059.0
2023-01-05,RES,8.59,8.9599,8.58,8.87,1156211.0
2023-01-06,RES,9.12,9.695,9.03,9.2,1541218.0
2023-01-09,RES,9.5,9.8,9.45,9.55,1121436.0
2023-01-10,RES,9.65,9.7598,9.34,9.68,1003106.0
2023-01-11,RES,9.77,9.84,9.51,9.62,746007.0
2023-01-12,RES,9.74,10.325,9.72,9.99,1045863.0
2023-01-13,RES,10.0,10.06,9.515,9.78,1212674.0
