Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,RGTIW,0.14,0.15,0.1098,0.128,31076
2022-11-14,RGTIW,0.14,0.1606,0.135,0.14,21340
2022-11-15,RGTIW,0.1639,0.1878,0.14,0.1649,14324
2022-11-16,RGTIW,0.153601,0.157,0.1535,0.1535,1601
2022-11-17,RGTIW,0.1535,0.1535,0.135,0.145,10925
2022-11-18,RGTIW,0.15,0.1501,0.135,0.135,57543
2022-11-21,RGTIW,0.1366,0.1989,0.1366,0.17,84122
2022-11-22,RGTIW,0.157501,0.164899,0.15,0.164899,8297
2022-11-23,RGTIW,0.140001,0.17,0.140001,0.15,5961
2022-11-25,RGTIW,0.15,0.15,0.145,0.145,23400
2022-11-28,RGTIW,0.19,0.1901,0.19,0.19,5775
2022-11-29,RGTIW,0.175,0.1816,0.15,0.1741,4503
2022-11-30,RGTIW,0.18,0.18,0.15,0.1674,23083
2022-12-01,RGTIW,0.1817,0.1817,0.1638,0.1767,545
2022-12-02,RGTIW,0.1625,0.1816,0.15,0.1798,9154
2022-12-05,RGTIW,0.15,0.1622,0.13,0.1325,18684
2022-12-06,RGTIW,0.1818,0.1818,0.135,0.14,10929
2022-12-07,RGTIW,0.1736,0.1894,0.13,0.1391,8728
2022-12-08,RGTIW,0.1498,0.1498,0.125048,0.1253,36187
2022-12-09,RGTIW,0.1894,0.1894,0.125,0.1526,3977
2022-12-12,RGTIW,0.158,0.1699,0.1256,0.1346,15882
2022-12-13,RGTIW,0.1551,0.1551,0.1053,0.1066,208747
2022-12-14,RGTIW,0.12,0.12,0.11,0.11,2370
2022-12-15,RGTIW,0.11,0.15,0.0845,0.087,47689
2022-12-16,RGTIW,0.11,0.11,0.0351,0.05,158662
2022-12-19,RGTIW,0.06,0.08,0.06,0.065,59532
2022-12-20,RGTIW,0.08,0.08,0.065,0.0726,62736
2022-12-21,RGTIW,0.0799,0.08,0.075,0.08,46670
2022-12-22,RGTIW,0.094601,0.094601,0.065,0.0895,6503
2022-12-23,RGTIW,0.06,0.119,0.06,0.118342,12087
2022-12-27,RGTIW,0.075,0.08,0.075,0.0777,60930
2022-12-28,RGTIW,0.0799,0.0799,0.065,0.075,28774
2022-12-29,RGTIW,0.0704,0.0799,0.0704,0.0799,8528
2022-12-30,RGTIW,0.075,0.109,0.075,0.081001,13925
2023-01-03,RGTIW,0.08,0.09,0.0749,0.079,49050
2023-01-04,RGTIW,0.079,0.079,0.073,0.075,29546
2023-01-05,RGTIW,0.0948,0.097,0.07,0.097,7108
2023-01-06,RGTIW,0.095101,0.095101,0.075,0.075,15754
2023-01-09,RGTIW,0.0899,0.09,0.065,0.077049,38684
2023-01-10,RGTIW,0.09,0.09,0.0849,0.0849,4130
2023-01-11,RGTIW,0.075,0.085,0.075,0.085,1493
2023-01-12,RGTIW,0.076201,0.0991,0.076201,0.0991,3145
2023-01-13,RGTIW,0.15,0.15,0.08,0.1175,41949
2023-01-17,RGTIW,0.1234,0.1299,0.117,0.1182,182101
2023-01-18,RGTIW,0.117,0.12,0.098,0.1,71971
2023-01-19,RGTIW,0.1149,0.1149,0.0801,0.0801,3110
2023-01-20,RGTIW,0.1149,0.1149,0.105,0.11,1901
2023-01-23,RGTIW,0.1036,0.115,0.1036,0.107,47515
2023-01-24,RGTIW,0.107,0.1075,0.1,0.1075,10146
2023-01-25,RGTIW,0.108,0.108,0.0838,0.09,65115
2023-01-26,RGTIW,0.108,0.1244,0.0895,0.0895,49651
2023-01-27,RGTIW,0.09,0.09,0.08,0.08,41632
2023-01-30,RGTIW,0.09,0.1108,0.071,0.106599,57203
2023-01-31,RGTIW,0.0956,0.1058,0.0712,0.0831,5144
2023-02-01,RGTIW,0.1,0.105,0.07,0.1012,80591
2023-02-02,RGTIW,0.07,0.125,0.07,0.118,127465
2023-02-03,RGTIW,0.1198,0.1482,0.11,0.1462,205700
2023-02-06,RGTIW,0.167,0.226701,0.161,0.1825,189829
2023-02-07,RGTIW,0.23,0.23,0.169299,0.17,97417
2023-02-08,RGTIW,0.17,0.2075,0.17,0.2033,116583
2023-02-09,RGTIW,0.2,0.23,0.1545,0.161,73718
2023-02-10,RGTIW,0.15,0.2097,0.1401,0.18,61069
2023-02-13,RGTIW,0.167399,0.199899,0.167399,0.1849,15811
2023-02-14,RGTIW,0.18,0.192,0.15,0.15,50897
2023-02-15,RGTIW,0.1899,0.1899,0.1501,0.16,32477
2023-02-16,RGTIW,0.18,0.1967,0.17,0.17,76132
2023-02-17,RGTIW,0.17,0.19,0.15,0.1789,51757
2023-02-21,RGTIW,0.16,0.1776,0.0988,0.14,52143
2023-02-22,RGTIW,0.15,0.162,0.1402,0.1563,3178
2023-02-23,RGTIW,0.175,0.175,0.14,0.1648,19538
2023-02-24,RGTIW,0.159949,0.159949,0.0825,0.1001,212576
2023-02-27,RGTIW,0.1559,0.1559,0.1061,0.1063,50297
2023-02-28,RGTIW,0.1061,0.12,0.1,0.105,83780
2023-03-01,RGTIW,0.115,0.115,0.105,0.11,2713
2023-03-02,RGTIW,0.11,0.112208,0.0902,0.099899,15299
2023-03-03,RGTIW,0.1106,0.1106,0.0977,0.1,9108
2023-03-06,RGTIW,0.1106,0.1106,0.0965,0.096601,19790
2023-03-07,RGTIW,0.109899,0.11,0.0967,0.1037,13030
2023-03-08,RGTIW,0.099899,0.1039,0.0965,0.1028,28902
2023-03-09,RGTIW,0.1028,0.11,0.0931,0.11,5817
2023-03-10,RGTIW,0.1094,0.11,0.1094,0.1094,20424
2023-03-13,RGTIW,0.0904,0.1,0.0904,0.1,12611
2023-03-14,RGTIW,0.11,0.11,0.0925,0.1099,13614
2023-03-15,RGTIW,0.1012,0.11,0.1012,0.1099,9424
2023-03-16,RGTIW,0.0925,0.1084,0.0925,0.108299,10850
2023-03-17,RGTIW,0.0904,0.1124,0.09,0.0901,5644
2023-03-20,RGTIW,0.0866,0.1171,0.0866,0.0965,7239
