Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,RILYG,21.28,21.4362,20.71,21.4,6641
2022-11-14,RILYG,21.34,21.35,20.65,21.16,4866
2022-11-15,RILYG,21.12,21.35,20.5,21.35,53187
2022-11-16,RILYG,20.98,21.1986,20.7,21.13,13050
2022-11-17,RILYG,20.73,21.15,20.73,20.8,8651
2022-11-18,RILYG,20.77,21.18,20.72,21.16,2596
2022-11-21,RILYG,21.06,21.32,21.0,21.32,5258
2022-11-22,RILYG,21.04,21.29,21.0001,21.12,6582
2022-11-23,RILYG,21.32,21.6199,21.179,21.179,7821
2022-11-25,RILYG,21.33,21.58,21.0258,21.58,1487
2022-11-28,RILYG,21.3,21.4799,20.86,21.45,38304
2022-11-29,RILYG,21.0393,21.45,20.93,21.15,13467
2022-11-30,RILYG,21.23,21.52,21.0,21.52,27059
2022-12-01,RILYG,21.5,22.1335,21.4655,21.62,3599
2022-12-02,RILYG,21.72,22.0,21.25,21.4975,13573
2022-12-05,RILYG,21.5,21.65,21.26,21.27,8728
2022-12-06,RILYG,21.37,21.37,21.24,21.29,85925
2022-12-07,RILYG,21.28,21.48,21.2,21.22,4798
2022-12-08,RILYG,21.27,21.3,21.1,21.29,25123
2022-12-09,RILYG,21.1,21.2719,20.92,21.2682,18187
2022-12-12,RILYG,21.05,21.52,21.0,21.26,5886
2022-12-13,RILYG,21.3,21.6465,21.0012,21.44,13179
2022-12-14,RILYG,21.21,21.78,21.13,21.53,12373
2022-12-15,RILYG,21.15,21.43,21.0,21.43,26348
2022-12-16,RILYG,21.0001,21.37,21.0,21.13,10891
2022-12-19,RILYG,21.04,21.31,21.0,21.27,4097
2022-12-20,RILYG,21.27,21.29,21.0,21.2,19752
2022-12-21,RILYG,21.13,21.29,20.8,21.0,20236
2022-12-22,RILYG,20.9,21.1,20.61,20.85,23592
2022-12-23,RILYG,20.88,20.88,20.75,20.75,10636
2022-12-27,RILYG,20.75,20.99,20.41,20.99,18870
2022-12-28,RILYG,20.76,20.9,20.7,20.799,11114
2022-12-29,RILYG,20.8,21.16,20.78,21.126,1204
2022-12-30,RILYG,20.83,21.1639,20.8,20.995,5524
2023-01-03,RILYG,20.9,21.0094,20.85,20.99,2124
2023-01-04,RILYG,21.0,21.3579,21.0,21.3579,6301
2023-01-05,RILYG,21.0801,21.29,21.01,21.072,1454
2023-01-06,RILYG,20.8753,21.28,20.8753,21.28,8993
2023-01-09,RILYG,21.45,21.5,21.05,21.2,10234
