Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,RKLB,5.31,5.7599,5.22,5.63,4028330.0
2022-11-14,RKLB,5.56,5.58,5.15,5.16,3348969.0
2022-11-15,RKLB,5.36,5.43,5.115,5.22,4809176.0
2022-11-16,RKLB,5.05,5.08,4.65,4.685,5543970.0
2022-11-17,RKLB,4.65,4.66,4.358,4.52,3553400.0
2022-11-18,RKLB,4.7,4.71,4.425,4.6,2205709.0
2022-11-21,RKLB,4.61,4.65,4.29,4.32,3719993.0
2022-11-22,RKLB,4.32,4.41,4.2,4.36,2867496.0
2022-11-23,RKLB,4.36,4.445,4.32,4.4,3245839.0
2022-11-25,RKLB,4.5,4.5525,4.14,4.18,3209948.0
2022-11-28,RKLB,4.17,4.2885,4.0,4.01,3845317.0
2022-11-29,RKLB,4.04,4.11,3.94,3.96,4053871.0
2022-11-30,RKLB,3.99,4.2,3.88,4.19,4943654.0
2022-12-01,RKLB,4.28,4.28,4.07,4.22,3203493.0
2022-12-02,RKLB,4.16,4.2901,4.07,4.25,2498652.0
2022-12-05,RKLB,4.26,4.34,4.1,4.15,3028721.0
2022-12-06,RKLB,4.17,4.1879,3.93,4.0,3437538.0
2022-12-07,RKLB,4.005,4.04,3.87,3.94,3145312.0
2022-12-08,RKLB,3.95,4.22,3.92,3.98,2720731.0
2022-12-09,RKLB,3.99,4.14,3.94,4.0,1790183.0
2022-12-12,RKLB,4.03,4.21,4.005,4.15,2277794.0
2022-12-13,RKLB,4.35,4.5,4.0714,4.17,3899549.0
2022-12-14,RKLB,4.15,4.23,4.06,4.12,3473453.0
2022-12-15,RKLB,4.05,4.12,4.0,4.03,2861529.0
2022-12-16,RKLB,4.045,4.13,3.95,4.07,6088739.0
2022-12-19,RKLB,4.08,4.08,3.79,3.9,4313468.0
2022-12-20,RKLB,3.85,3.965,3.67,3.72,5952551.0
2022-12-21,RKLB,3.775,3.89,3.66,3.74,3780582.0
2022-12-22,RKLB,3.72,3.74,3.61,3.73,2611856.0
2022-12-23,RKLB,3.74,3.78,3.64,3.77,1903793.0
2022-12-27,RKLB,3.76,3.77,3.555,3.56,3028071.0
2022-12-28,RKLB,3.55,3.69,3.48,3.58,3218122.0
2022-12-29,RKLB,3.61,3.8,3.535,3.69,3993137.0
2022-12-30,RKLB,3.62,3.805,3.59,3.77,2692128.0
2023-01-03,RKLB,3.85,4.05,3.775,3.87,3877170.0
2023-01-04,RKLB,3.9,4.05,3.865,4.04,2126809.0
2023-01-05,RKLB,3.97,4.26,3.905,4.17,2669945.0
2023-01-06,RKLB,4.2,4.25,4.05,4.23,3133154.0
2023-01-09,RKLB,4.25,4.36,4.205,4.22,2333309.0
2023-01-10,RKLB,4.19,4.38,4.09,4.38,1998697.0
2023-01-11,RKLB,4.4,4.525,4.335,4.51,2464110.0
2023-01-12,RKLB,4.52,4.83,4.48,4.83,3219015.0
2023-01-13,RKLB,4.73,5.11,4.72,4.97,6578391.0
2023-01-17,RKLB,5.05,5.5199,4.98,5.48,5193956.0
2023-01-18,RKLB,5.545,5.68,5.085,5.17,6095115.0
2023-01-19,RKLB,5.04,5.12,4.69,4.79,4902575.0
2023-01-20,RKLB,4.92,4.95,4.68,4.78,4876297.0
2023-01-23,RKLB,4.82,4.84,4.61,4.82,4296082.0
2023-01-24,RKLB,4.81,5.0206,4.73,4.97,3699918.0
2023-01-25,RKLB,4.97,5.0,4.72,4.91,4641852.0
2023-01-26,RKLB,5.0,5.045,4.7888,4.88,3034484.0
2023-01-27,RKLB,4.86,5.04,4.81,4.94,3663653.0
2023-01-30,RKLB,4.87,4.965,4.7804,4.88,2232380.0
2023-01-31,RKLB,4.89,4.985,4.83,4.97,2053935.0
2023-02-01,RKLB,4.9,5.17,4.89,4.98,6022427.0
2023-02-02,RKLB,5.08,5.295,5.01,5.24,7139921.0
2023-02-03,RKLB,5.12,5.47,5.06,5.31,6147343.0
2023-02-06,RKLB,5.22,5.28,4.9,4.92,4660207.0
2023-02-07,RKLB,4.92,4.95,4.7028,4.9,4685428.0
2023-02-08,RKLB,4.85,4.92,4.75,4.79,2148013.0
2023-02-09,RKLB,4.85,4.98,4.53,4.55,3479767.0
2023-02-10,RKLB,4.53,4.79,4.485,4.77,4209162.0
2023-02-13,RKLB,4.84,4.84,4.635,4.71,2050153.0
2023-02-14,RKLB,4.7,4.99,4.6,4.96,3523489.0
2023-02-15,RKLB,4.92,5.23,4.9,5.16,4621192.0
2023-02-16,RKLB,5.02,5.16,4.96,4.97,2740534.0
2023-02-17,RKLB,4.94,4.95,4.74,4.91,3420353.0
2023-02-21,RKLB,4.82,4.89,4.532,4.58,3117430.0
2023-02-22,RKLB,4.6,4.73,4.54,4.62,4199478.0
2023-02-23,RKLB,4.69,4.77,4.5201,4.55,3013526.0
2023-02-24,RKLB,4.5,4.5,4.38,4.45,2598483.0
2023-02-27,RKLB,4.525,4.67,4.47,4.59,3518763.0
2023-02-28,RKLB,4.55,4.64,4.48,4.5,4606099.0
2023-03-01,RKLB,4.45,4.515,4.1715,4.4,6103326.0
2023-03-02,RKLB,4.35,4.355,4.18,4.24,4341914.0
