Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,RNGR,10.75,10.8499,10.7317,10.77,59191.0
2022-11-14,RNGR,10.65,10.8175,10.62,10.73,108756.0
2022-11-15,RNGR,10.6,10.88,10.6,10.85,56633.0
2022-11-16,RNGR,10.85,11.01,10.6552,11.01,35646.0
2022-11-17,RNGR,11.01,11.01,10.84,10.96,65510.0
2022-11-18,RNGR,11.0,11.0,10.83,10.9,31785.0
2022-11-21,RNGR,10.99,10.99,10.36,10.99,31711.0
2022-11-22,RNGR,10.99,11.5,10.91,11.44,127331.0
2022-11-23,RNGR,11.5,11.5,11.16,11.41,23288.0
2022-11-25,RNGR,11.29,11.41,11.22,11.22,10056.0
2022-11-28,RNGR,11.29,11.29,10.94,11.18,41228.0
2022-11-29,RNGR,11.27,11.27,11.1,11.18,24232.0
2022-11-30,RNGR,11.22,11.22,11.0,11.18,17320.0
2022-12-01,RNGR,11.18,11.18,11.01,11.14,16742.0
2022-12-02,RNGR,11.11,11.16,10.96,11.1,26839.0
2022-12-05,RNGR,10.88,10.945,10.31,10.55,46133.0
2022-12-06,RNGR,10.63,10.93,10.62,10.64,14026.0
2022-12-07,RNGR,10.73,10.77,10.51,10.67,32353.0
2022-12-08,RNGR,10.77,10.84,10.71,10.82,18246.0
2022-12-09,RNGR,10.88,11.12,10.76,11.1,38973.0
2022-12-12,RNGR,11.1,11.22,11.03,11.07,66114.0
2022-12-13,RNGR,11.25,11.41,11.12,11.25,31467.0
2022-12-14,RNGR,11.22,11.34,11.03,11.22,35419.0
2022-12-15,RNGR,11.22,11.2992,11.08,11.18,19360.0
2022-12-16,RNGR,11.1224,11.17,10.87,11.04,29521.0
2022-12-19,RNGR,11.04,11.09,10.865,10.87,23213.0
2022-12-20,RNGR,11.09,11.24,10.88,11.12,18122.0
2022-12-21,RNGR,11.19,11.2,11.04,11.07,22990.0
2022-12-22,RNGR,11.09,11.09,10.51,10.7,27486.0
2022-12-23,RNGR,10.96,11.13,10.81,11.04,13440.0
2022-12-27,RNGR,11.0,11.24,11.0,11.15,20197.0
2022-12-28,RNGR,11.15,11.22,10.87,10.91,21517.0
2022-12-29,RNGR,10.96,11.24,10.9596,11.12,22351.0
2022-12-30,RNGR,11.15,11.15,10.91,11.01,23085.0
2023-01-03,RNGR,11.15,11.21,10.79,11.0,55239.0
2023-01-04,RNGR,10.83,10.95,10.7,10.78,26103.0
2023-01-05,RNGR,10.8,11.05,10.8,11.05,14400.0
2023-01-06,RNGR,11.14,11.1968,10.78,10.86,51754.0
2023-01-09,RNGR,11.06,11.24,10.87,11.16,42968.0
2023-01-10,RNGR,10.37,11.37,10.1662,11.2,69333.0
2023-01-11,RNGR,11.19,11.34,11.12,11.26,15329.0
2023-01-12,RNGR,11.35,11.35,11.2,11.32,38458.0
2023-01-13,RNGR,11.3353,11.51,11.21,11.5,56702.0
2023-01-17,RNGR,11.38,11.5,11.31,11.41,31216.0
2023-01-18,RNGR,11.51,11.58,11.0694,11.13,38786.0
2023-01-19,RNGR,11.03,11.12,10.74,11.01,29212.0
2023-01-20,RNGR,11.06,11.37,10.96,11.3,28925.0
2023-01-23,RNGR,11.22,11.27,10.85,10.93,56903.0
2023-01-24,RNGR,10.85,11.045,10.45,10.98,14728.0
2023-01-25,RNGR,10.95,11.48,10.8733,11.26,47072.0
2023-01-26,RNGR,11.19,11.26,10.59,10.79,41196.0
2023-01-27,RNGR,10.81,10.9799,10.8,10.92,18618.0
2023-01-30,RNGR,10.79,10.98,10.77,10.89,23194.0
2023-01-31,RNGR,10.8647,11.41,10.845,11.39,31086.0
2023-02-01,RNGR,11.48,11.5,11.04,11.49,30931.0
2023-02-02,RNGR,11.47,11.565,11.1,11.42,34551.0
2023-02-03,RNGR,11.4,11.75,11.3,11.71,50321.0
2023-02-06,RNGR,11.75,11.89,11.575,11.73,58687.0
2023-02-07,RNGR,11.68,11.92,11.43,11.785,48963.0
2023-02-08,RNGR,11.65,11.75,11.515,11.63,21140.0
2023-02-09,RNGR,11.5589,11.78,11.27,11.36,25659.0
