Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,ROST,97.69,98.47,95.465,96.17,2892693.0
2022-11-14,ROST,96.03,96.23,94.5,94.63,2472399.0
2022-11-15,ROST,96.5,98.37,95.825,97.8,4101994.0
2022-11-16,ROST,96.0,96.87,94.825,96.5,3331123.0
2022-11-17,ROST,97.14,97.95,94.34,97.93,4533494.0
2022-11-18,ROST,114.8,115.9005,106.6,107.59,11725151.0
2022-11-21,ROST,107.24,112.84,106.96,112.3,4736416.0
2022-11-22,ROST,114.04,115.8,112.78,115.27,4072266.0
2022-11-23,ROST,115.44,117.285,114.85,116.03,3158291.0
2022-11-25,ROST,116.54,116.81,114.92,115.94,1134493.0
2022-11-28,ROST,115.71,117.17,115.55,116.37,2006488.0
2022-11-29,ROST,116.44,117.51,115.25,116.79,2674783.0
2022-11-30,ROST,116.78,118.13,115.975,117.67,2916229.0
2022-12-01,ROST,118.05,118.17,116.7,117.98,2104167.0
2022-12-02,ROST,116.14,119.48,116.13,119.0,2120579.0
2022-12-05,ROST,117.82,118.1,116.5,117.36,2022128.0
2022-12-06,ROST,117.7,119.03,116.21,116.53,2651763.0
2022-12-07,ROST,115.93,116.88,115.15,115.36,1984076.0
2022-12-08,ROST,115.55,117.28,115.24,117.14,2467705.0
2022-12-09,ROST,116.39,116.72,114.795,114.89,2037699.0
2022-12-12,ROST,115.5,116.42,114.23,116.39,1744477.0
2022-12-13,ROST,120.385,120.385,116.14,117.53,2163021.0
2022-12-14,ROST,117.75,118.36,115.54,117.42,2184505.0
2022-12-15,ROST,115.94,116.705,113.41,113.69,3293120.0
2022-12-16,ROST,112.89,114.47,112.4,113.95,5324419.0
2022-12-19,ROST,114.25,115.48,113.67,114.92,2423884.0
2022-12-20,ROST,114.51,115.28,114.24,114.35,2136473.0
2022-12-21,ROST,115.98,116.46,114.59,115.13,2572041.0
2022-12-22,ROST,113.595,114.25,112.5,113.96,2250120.0
2022-12-23,ROST,113.86,115.66,112.92,115.48,1317109.0
2022-12-27,ROST,115.84,116.4406,114.42,115.04,1362620.0
