Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,RPAY,6.53,7.36,6.46,7.27,4047669.0
2022-11-14,RPAY,7.5,7.77,7.16,7.52,3882872.0
2022-11-15,RPAY,7.77,8.18,7.63,8.13,1892159.0
2022-11-16,RPAY,7.92,8.4399,7.91,8.17,1294048.0
2022-11-17,RPAY,7.94,8.3,7.75,7.87,1147209.0
2022-11-18,RPAY,8.05,8.405,7.905,8.04,1279334.0
2022-11-21,RPAY,7.86,8.05,7.45,7.64,729717.0
2022-11-22,RPAY,7.69,8.02,7.64,7.98,687463.0
2022-11-23,RPAY,7.92,8.22,7.79,8.21,582713.0
2022-11-25,RPAY,8.07,8.34,7.81,8.29,306974.0
2022-11-28,RPAY,8.17,8.31,8.09,8.14,747549.0
2022-11-29,RPAY,8.12,8.635,8.12,8.61,944956.0
2022-11-30,RPAY,8.6,9.07,8.38,8.86,1307973.0
2022-12-01,RPAY,8.87,9.16,8.74,9.0,751895.0
2022-12-02,RPAY,8.79,8.97,8.72,8.83,631011.0
2022-12-05,RPAY,8.8,8.82,8.32,8.35,683634.0
2022-12-06,RPAY,8.46,8.46,7.92,8.01,646693.0
2022-12-07,RPAY,8.01,8.17,7.88,8.17,1101690.0
2022-12-08,RPAY,8.21,8.33,8.04,8.22,566933.0
2022-12-09,RPAY,8.13,8.245,7.98,8.12,609558.0
2022-12-12,RPAY,8.08,8.18,7.93,8.17,808707.0
2022-12-13,RPAY,8.5,8.668,7.79,7.93,1072536.0
2022-12-14,RPAY,7.93,8.16,7.85,8.01,1039733.0
2022-12-15,RPAY,7.87,8.01,7.77,7.79,1170416.0
2022-12-16,RPAY,7.69,8.19,7.6595,8.04,1889162.0
2022-12-19,RPAY,8.08,8.13,7.75,7.79,958977.0
2022-12-20,RPAY,7.73,7.93,7.73,7.9,411812.0
2022-12-21,RPAY,7.99,8.13,7.95,8.07,420234.0
2022-12-22,RPAY,7.95,7.975,7.445,7.65,1008853.0
