Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,RSG,135.19,135.695,129.63,131.06,2259737.0
2022-11-14,RSG,131.34,132.405,129.88,129.98,1271669.0
2022-11-15,RSG,130.99,131.95,128.15,128.82,1731382.0
2022-11-16,RSG,129.25,131.16,128.9,130.82,2154685.0
2022-11-17,RSG,130.17,132.07,129.73,131.91,1832085.0
2022-11-18,RSG,133.39,134.16,132.7,133.89,1027497.0
2022-11-21,RSG,134.5,135.5864,134.114,134.65,751214.0
2022-11-22,RSG,135.01,135.96,134.42,135.39,892262.0
2022-11-23,RSG,135.25,136.77,134.83,135.93,1405017.0
2022-11-25,RSG,136.49,137.4384,136.04,136.88,510233.0
2022-11-28,RSG,136.37,138.02,136.03,136.52,1437573.0
2022-11-29,RSG,136.14,136.8825,135.31,136.65,1334753.0
2022-11-30,RSG,136.13,139.29,136.035,139.29,2107027.0
2022-12-01,RSG,140.41,140.98,139.44,139.75,1044581.0
2022-12-02,RSG,138.98,140.605,137.82,140.52,809939.0
2022-12-05,RSG,139.23,139.665,138.165,139.11,760931.0
2022-12-06,RSG,138.81,139.04,136.21,136.9,841103.0
2022-12-07,RSG,135.13,136.865,134.88,135.57,844353.0
2022-12-08,RSG,135.5,136.92,135.48,136.35,707218.0
2022-12-09,RSG,136.56,137.44,135.78,135.81,642989.0
2022-12-12,RSG,136.69,137.56,135.59,136.82,767089.0
2022-12-13,RSG,138.37,138.37,135.99,136.4,896432.0
2022-12-14,RSG,136.77,138.12,135.36,135.93,1029166.0
2022-12-15,RSG,134.87,135.18,132.38,133.4,1006359.0
2022-12-16,RSG,132.29,132.505,130.98,131.55,2485652.0
2022-12-19,RSG,131.0,131.06,129.06,129.65,1768785.0
2022-12-20,RSG,129.49,130.46,128.61,130.04,1117371.0
2022-12-21,RSG,130.77,131.5661,129.875,131.48,922580.0
2022-12-22,RSG,131.11,131.11,128.175,129.44,807053.0
2022-12-23,RSG,129.02,130.97,128.71,130.77,519510.0
2022-12-27,RSG,130.81,131.13,129.95,130.92,778560.0
2022-12-28,RSG,131.04,131.3,129.32,129.41,900686.0
2022-12-29,RSG,130.14,131.39,129.745,130.75,969198.0
2022-12-30,RSG,129.88,130.135,128.0,128.99,801280.0
2023-01-03,RSG,129.68,129.99,127.74,128.68,1354470.0
2023-01-04,RSG,128.98,129.185,127.575,128.25,1513319.0
2023-01-05,RSG,127.74,128.025,125.06,125.52,1874057.0
2023-01-06,RSG,126.35,129.08,126.35,128.36,2265680.0
2023-01-09,RSG,128.99,129.67,127.31,127.73,2350697.0
2023-01-10,RSG,125.54,125.93,123.2,125.17,3225032.0
2023-01-11,RSG,126.37,126.97,125.2,126.92,2086526.0
2023-01-12,RSG,127.06,127.06,122.93,123.27,1893394.0
2023-01-13,RSG,122.92,124.97,122.5,124.89,2365414.0
2023-01-17,RSG,125.6,126.48,124.795,125.68,1858292.0
2023-01-18,RSG,125.73,126.695,122.12,122.13,1158804.0
2023-01-19,RSG,121.79,122.83,121.48,121.62,1449976.0
2023-01-20,RSG,121.42,123.27,120.58,123.15,1194025.0
2023-01-23,RSG,123.34,124.02,122.31,123.32,1176391.0
2023-01-24,RSG,123.51,124.25,122.2,123.21,1269231.0
2023-01-25,RSG,122.52,124.3,122.23,124.28,909067.0
2023-01-26,RSG,124.78,124.91,123.065,123.87,898733.0
2023-01-27,RSG,123.63,124.04,122.52,123.85,1018299.0
2023-01-30,RSG,123.83,125.5,123.81,124.12,1230018.0
2023-01-31,RSG,124.33,124.85,123.39,124.82,1582720.0
2023-02-01,RSG,123.44,126.0299,122.01,124.79,2259492.0
2023-02-02,RSG,124.57,124.57,122.39,122.54,1936557.0
2023-02-03,RSG,122.39,123.4,121.17,123.08,1499652.0
2023-02-06,RSG,122.87,124.195,122.44,123.89,1111138.0
2023-02-07,RSG,122.8,124.4522,122.51,124.29,1504823.0
2023-02-08,RSG,123.87,124.82,123.62,124.42,1151045.0
2023-02-09,RSG,124.78,126.04,124.6651,125.44,1807339.0
2023-02-10,RSG,125.68,127.52,125.53,127.36,1850934.0
2023-02-13,RSG,127.68,128.26,125.75,126.04,1463595.0
2023-02-14,RSG,125.8,126.5,124.52,124.86,1145453.0
2023-02-15,RSG,124.5,126.22,124.27,125.81,2021697.0
2023-02-16,RSG,128.29,131.25,126.8,129.99,2401226.0
2023-02-17,RSG,130.28,132.6,130.22,131.96,2108347.0
2023-02-21,RSG,131.88,132.43,129.26,130.32,1979801.0
2023-02-22,RSG,130.97,131.39,129.145,129.24,1323456.0
2023-02-23,RSG,129.13,129.415,127.91,128.72,1127735.0
2023-02-24,RSG,128.95,129.87,128.4084,129.61,1090978.0
2023-02-27,RSG,130.14,131.52,128.86,129.25,1543729.0
2023-02-28,RSG,129.32,130.22,128.63,128.93,1823385.0
2023-03-01,RSG,129.15,129.22,127.91,128.62,1223008.0
2023-03-02,RSG,128.56,129.2,128.18,129.13,1206059.0
2023-03-03,RSG,129.04,129.53,127.63,128.94,1260071.0
2023-03-06,RSG,129.0,130.045,128.41,129.43,910569.0
2023-03-07,RSG,129.08,129.86,127.5,127.6,1408371.0
2023-03-08,RSG,127.57,128.13,126.99,127.98,990762.0
2023-03-09,RSG,128.68,130.0,127.87,128.32,1710051.0
2023-03-10,RSG,128.57,129.36,126.9875,127.05,2116482.0
2023-03-13,RSG,126.71,129.99,126.58,128.4,1572559.0
2023-03-14,RSG,129.5,132.52,129.375,132.03,2581854.0
2023-03-15,RSG,131.36,133.38,130.53,132.8,3085333.0
2023-03-16,RSG,132.47,135.0,132.39,133.57,2111360.0
2023-03-17,RSG,133.68,133.68,130.46,130.73,1887464.0
2023-03-20,RSG,131.13,133.07,130.9,131.77,1378652.0
2023-03-21,RSG,132.21,132.71,130.13,130.61,1239353.0
2023-03-22,RSG,130.52,131.195,129.39,129.47,1084886.0
2023-03-23,RSG,129.29,129.86,127.69,127.96,1109783.0
2023-03-24,RSG,128.0,131.19,127.94,130.92,1177180.0
2023-03-27,RSG,131.75,133.14,130.34,130.49,1738108.0
2023-03-28,RSG,130.48,131.95,130.34,131.31,927504.0
2023-03-29,RSG,132.0,133.1,131.5,132.96,776817.0
2023-03-30,RSG,134.24,134.92,133.43,134.85,1044263.0
2023-03-31,RSG,135.0,135.85,134.64,135.22,1146630.0
2023-04-03,RSG,135.13,136.715,134.7,136.13,906395.0
2023-04-04,RSG,136.14,136.68,135.2093,136.12,1294981.0
2023-04-05,RSG,136.85,137.53,134.765,135.23,1118220.0
2023-04-06,RSG,135.45,136.09,134.795,135.7,919828.0
2023-04-10,RSG,135.01,135.43,134.285,134.95,768361.0
2023-04-11,RSG,134.54,135.86,133.81,135.06,1011818.0
2023-04-12,RSG,135.41,137.54,135.24,136.98,858118.0
2023-04-13,RSG,136.59,138.38,136.43,138.09,914387.0
2023-04-14,RSG,137.28,138.03,137.05,137.37,781439.0
2023-04-17,RSG,138.07,138.79,137.52,138.67,1087104.0
2023-04-18,RSG,138.8,139.18,137.45,137.64,1083886.0
2023-04-19,RSG,138.0,138.32,137.38,137.54,875361.0
2023-04-20,RSG,137.81,138.36,137.02,138.33,827015.0
2023-04-21,RSG,138.64,139.075,138.3525,138.61,1008347.0
2023-04-24,RSG,138.67,139.1,137.905,139.1,947185.0
2023-04-25,RSG,139.31,139.99,138.58,138.88,1080779.0
2023-04-26,RSG,137.66,138.52,137.0904,137.25,1167294.0
2023-04-27,RSG,137.34,138.22,135.33,137.69,1927085.0
2023-04-28,RSG,139.98,144.93,138.725,144.62,2154527.0
2023-05-01,RSG,144.72,145.72,144.4,144.98,1174841.0
2023-05-02,RSG,145.16,145.97,143.69,144.96,1106188.0
2023-05-03,RSG,145.43,146.78,145.19,146.03,1490622.0
2023-05-04,RSG,146.0,146.98,145.4725,145.81,1035550.0
2023-05-05,RSG,144.92,146.81,144.89,145.86,1482882.0
2023-05-08,RSG,145.43,147.0597,145.35,145.84,1092873.0
2023-05-09,RSG,146.51,147.4,146.02,146.99,1116934.0
2023-05-10,RSG,147.59,148.63,147.18,148.09,1077312.0
2023-05-11,RSG,147.85,148.36,147.04,148.12,1012316.0
2023-05-12,RSG,148.6,149.3,147.6911,148.19,833510.0
2023-05-15,RSG,148.12,148.8,147.09,147.81,824615.0
2023-05-16,RSG,147.85,147.85,146.33,146.74,967454.0
2023-05-17,RSG,147.08,147.35,144.58,145.54,1280314.0
2023-05-18,RSG,144.93,145.0,143.43,144.71,1052267.0
2023-05-19,RSG,145.02,145.51,144.58,145.09,920957.0
2023-05-22,RSG,144.84,145.27,143.35,143.96,1163521.0
2023-05-23,RSG,143.36,143.82,142.35,142.7,1077310.0
2023-05-24,RSG,142.95,143.78,142.29,142.48,884507.0
2023-05-25,RSG,142.19,142.39,140.7001,141.71,1028897.0
2023-05-26,RSG,142.03,142.48,140.83,141.08,1065725.0
2023-05-30,RSG,141.07,142.31,140.07,142.0,1298616.0
2023-05-31,RSG,142.29,142.885,140.97,141.63,4090513.0
2023-06-01,RSG,142.02,142.74,141.37,142.73,949587.0
2023-06-02,RSG,142.76,144.67,142.76,144.5,849004.0
2023-06-05,RSG,144.53,145.57,143.68,143.74,945275.0
2023-06-06,RSG,144.38,144.81,142.825,143.32,889942.0
