Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,RVSB,7.17,7.25,7.17,7.21,10845
2022-11-14,RVSB,7.202,7.23,7.18,7.18,4566
2022-11-15,RVSB,7.25,7.41,7.2,7.32,16266
2022-11-16,RVSB,7.33,7.335,7.3,7.3,2744
2022-11-17,RVSB,7.2326,7.37,7.17,7.3,17991
2022-11-18,RVSB,7.34,7.39,7.3001,7.39,5892
2022-11-21,RVSB,7.39,7.49,7.3895,7.4,15335
2022-11-22,RVSB,7.4,7.6,7.4,7.51,10671
2022-11-23,RVSB,7.39,7.6,7.39,7.6,10928
2022-11-25,RVSB,7.59,7.685,7.55,7.55,7343
2022-11-28,RVSB,7.48,7.7,7.47,7.51,20256
2022-11-29,RVSB,7.54,7.69,7.5,7.61,8421
2022-11-30,RVSB,7.6,7.75,7.4,7.59,46918
2022-12-01,RVSB,7.61,7.86,7.61,7.78,9124
2022-12-02,RVSB,7.87,8.0,7.845,7.96,11695
2022-12-05,RVSB,7.89,7.89,7.52,7.52,13096
2022-12-06,RVSB,7.59,7.59,7.51,7.51,3654
2022-12-07,RVSB,7.51,7.53,7.39,7.39,9009
2022-12-08,RVSB,7.37,7.45,7.25,7.39,5235
2022-12-09,RVSB,7.32,7.52,7.32,7.42,7045
2022-12-12,RVSB,7.5458,7.68,7.4,7.58,7075
2022-12-13,RVSB,7.62,7.87,7.12,7.49,77904
2022-12-14,RVSB,7.53,7.5319,7.43,7.5,24135
2022-12-15,RVSB,7.6,7.6,7.33,7.44,76116
2022-12-16,RVSB,7.37,7.7,7.34,7.52,23488
2022-12-19,RVSB,7.435,7.5,7.3,7.42,17066
2022-12-20,RVSB,7.29,7.56,7.27,7.52,10795
2022-12-21,RVSB,7.46,7.65,7.3,7.49,13546
2022-12-22,RVSB,7.5,7.58,7.37,7.58,5824
2022-12-23,RVSB,7.58,7.58,7.58,7.58,2311
2022-12-27,RVSB,7.5885,7.73,7.57,7.57,5955
2022-12-28,RVSB,7.51,7.68,7.5,7.5,13138
2022-12-29,RVSB,7.58,7.75,7.55,7.66,45104
2022-12-30,RVSB,7.65,7.77,7.31,7.68,11517
2023-01-03,RVSB,7.585,7.585,7.3,7.3,39866
2023-01-04,RVSB,7.44,7.5,7.39,7.44,13544
2023-01-05,RVSB,7.44,7.55,7.35,7.54,18597
2023-01-06,RVSB,7.435,7.685,7.435,7.55,5649
2023-01-09,RVSB,7.6,7.73,7.5,7.62,18338
2023-01-10,RVSB,7.59,7.88,7.57,7.78,19215
2023-01-11,RVSB,7.72,7.94,7.665,7.75,11397
2023-01-12,RVSB,7.7744,7.94,7.7744,7.9,4924
2023-01-13,RVSB,7.6484,7.95,7.6484,7.82,6572
2023-01-17,RVSB,7.87,7.9399,7.6219,7.72,14370
2023-01-18,RVSB,7.8836,7.8836,7.59,7.59,3880
2023-01-19,RVSB,7.6097,7.6687,7.48,7.49,4835
2023-01-20,RVSB,7.25,7.61,7.25,7.31,129381
2023-01-23,RVSB,7.31,7.59,7.17,7.18,112910
2023-01-24,RVSB,7.17,7.2196,6.96,7.07,51968
2023-01-25,RVSB,7.0,7.23,7.0,7.16,25351
2023-01-26,RVSB,7.15,7.24,7.15,7.16,15980
2023-01-27,RVSB,7.25,7.31,7.2,7.25,37131
2023-01-30,RVSB,7.2512,7.35,7.1401,7.25,22920
2023-01-31,RVSB,7.3,7.5,7.25,7.34,14170
2023-02-01,RVSB,7.36,7.48,7.27,7.42,17385
2023-02-02,RVSB,7.4,7.48,7.35,7.4,11512
2023-02-03,RVSB,7.36,7.52,7.35,7.41,10838
2023-02-06,RVSB,7.43,7.43,7.28,7.35,13668
2023-02-07,RVSB,7.35,7.52,7.34,7.4,17582
2023-02-08,RVSB,7.4,7.45,7.33,7.4,14361
2023-02-09,RVSB,7.36,7.41,7.34,7.41,12003
2023-02-10,RVSB,7.4,7.54,7.26,7.26,129432
2023-02-13,RVSB,7.25,7.405,7.2,7.34,23096
2023-02-14,RVSB,7.26,7.39,7.19,7.2,21302
2023-02-15,RVSB,7.2,7.315,7.15,7.25,19269
2023-02-16,RVSB,7.24,7.28,7.17,7.17,11207
2023-02-17,RVSB,7.19,7.24,7.07,7.15,21668
2023-02-21,RVSB,7.18,7.3,6.87,7.12,21067
2023-02-22,RVSB,7.16,7.2,7.12,7.13,14421
2023-02-23,RVSB,7.19,7.2,7.09,7.09,35302
2023-02-24,RVSB,7.12,7.17,7.03,7.1,13531
2023-02-27,RVSB,7.12,7.24,7.03,7.06,8001
2023-02-28,RVSB,7.0,7.12,6.99,6.99,15474
2023-03-01,RVSB,6.95,7.13,6.95,6.97,26538
2023-03-02,RVSB,6.97,7.04,6.87,6.89,23751
2023-03-03,RVSB,6.96,7.1,6.85,6.85,50908
2023-03-06,RVSB,6.9,7.09,6.88,6.9,12230
2023-03-07,RVSB,6.91,6.91,6.74,6.74,23921
2023-03-08,RVSB,6.75,6.79,6.59,6.635,26533
2023-03-09,RVSB,6.64,6.67,6.31,6.39,36833
2023-03-10,RVSB,6.42,6.56,6.14,6.2,37904
2023-03-13,RVSB,6.0,6.1762,5.3901,5.45,68991
2023-03-14,RVSB,5.87,6.1899,5.52,5.52,45291
2023-03-15,RVSB,5.5,5.7705,5.5,5.53,44612
2023-03-16,RVSB,5.52,5.98,5.52,5.83,43068
2023-03-17,RVSB,5.74,5.865,5.5,5.56,48251
2023-03-20,RVSB,5.59,5.625,5.2,5.25,57615
2023-03-21,RVSB,5.38,5.63,5.2,5.42,37523
2023-03-22,RVSB,5.44,5.87,5.36,5.44,62305
2023-03-23,RVSB,5.5,5.5,5.26,5.29,27460
2023-03-24,RVSB,5.22,5.37,5.22,5.37,24837
2023-03-27,RVSB,5.45,5.7,5.43,5.59,16427
2023-03-28,RVSB,5.5899,5.59,5.48,5.49,15161
2023-03-29,RVSB,5.507,5.53,5.4,5.45,271105
2023-03-30,RVSB,5.46,5.48,5.28,5.28,24701
2023-03-31,RVSB,5.27,5.5499,5.27,5.34,24960
2023-04-03,RVSB,5.31,5.3695,5.27,5.27,27412
2023-04-04,RVSB,5.3768,5.38,5.2696,5.28,5410
2023-04-05,RVSB,5.25,5.35,5.25,5.3,13607
2023-04-06,RVSB,5.26,5.4,5.26,5.35,27645
2023-04-10,RVSB,5.35,5.35,5.19,5.24,22333
2023-04-11,RVSB,5.2,5.53,5.03,5.53,114718
2023-04-12,RVSB,5.54,5.82,5.32,5.55,17106
2023-04-13,RVSB,5.52,5.65,5.455,5.5,22526
2023-04-14,RVSB,5.62,5.62,5.4406,5.49,9785
2023-04-17,RVSB,5.54,5.54,5.3,5.35,34044
2023-04-18,RVSB,5.4,5.5588,5.37,5.41,34200
2023-04-19,RVSB,5.36,5.5775,5.36,5.4,14433
2023-04-20,RVSB,5.43,5.56,5.38,5.41,12924
2023-04-21,RVSB,5.5432,5.5432,5.43,5.44,6880
2023-04-24,RVSB,5.48,5.54,5.41,5.45,7750
2023-04-25,RVSB,5.4055,5.4999,5.3,5.31,11327
2023-04-26,RVSB,5.27,5.38,5.22,5.31,19989
2023-04-27,RVSB,5.25,5.37,5.23,5.32,9965
2023-04-28,RVSB,5.09,5.31,5.02,5.125,79284
2023-05-01,RVSB,5.17,5.27,4.94,5.0,41777
2023-05-02,RVSB,4.94,4.95,4.53,4.58,57044
2023-05-03,RVSB,4.6,4.9405,4.6,4.65,18606
2023-05-04,RVSB,4.62,4.735,4.25,4.52,78977
2023-05-05,RVSB,4.54,4.78,4.54,4.7,27204
2023-05-08,RVSB,4.75,4.75,4.49,4.49,20434
2023-05-09,RVSB,4.42,4.56,4.2601,4.36,42557
2023-05-10,RVSB,4.39,4.635,4.39,4.46,18427
