Date,Ticker,Open,High,Low,Close,Volume
2022-11-14,SAMAU,9.95,9.95,9.95,9.95,100
2022-11-15,SAMAU,9.95,9.95,9.95,9.95,108
2022-11-16,SAMAU,9.95,9.95,9.95,9.95,100
2022-11-17,SAMAU,9.96,9.96,9.96,9.96,100
2022-11-21,SAMAU,9.99,9.99,9.99,9.99,100
2022-11-23,SAMAU,10.01,10.01,10.01,10.01,100
2022-11-28,SAMAU,10.0,10.0,10.0,10.0,100
2022-11-29,SAMAU,10.0,10.0,10.0,10.0,100
2022-11-30,SAMAU,9.99,9.99,9.99,9.99,100
2022-12-01,SAMAU,10.0,10.0,10.0,10.0,100
2022-12-02,SAMAU,10.0,10.0,10.0,10.0,100
2022-12-05,SAMAU,10.005,10.005,10.005,10.005,100
2022-12-06,SAMAU,9.96,9.96,9.96,9.96,100
2022-12-07,SAMAU,9.96,9.96,9.96,9.96,100
2022-12-08,SAMAU,9.96,9.96,9.96,9.96,100
2022-12-09,SAMAU,9.96,9.96,9.96,9.96,100
2022-12-12,SAMAU,9.96,9.96,9.96,9.96,100
2022-12-14,SAMAU,9.97,9.97,9.97,9.97,100
2022-12-16,SAMAU,9.96,9.96,9.96,9.96,100
2022-12-19,SAMAU,10.05,10.05,10.05,10.05,100
2022-12-20,SAMAU,10.05,10.05,10.05,10.05,100
2022-12-21,SAMAU,10.05,10.05,10.05,10.05,100
2022-12-22,SAMAU,10.05,10.05,10.05,10.05,100
2022-12-23,SAMAU,10.06,10.06,10.06,10.06,100
2022-12-27,SAMAU,10.04,10.04,10.04,10.04,100
2022-12-30,SAMAU,10.08,10.08,10.08,10.08,100
2023-01-03,SAMAU,10.08,10.08,10.08,10.08,100
2023-01-04,SAMAU,10.08,10.08,10.08,10.08,100
2023-01-05,SAMAU,10.1,10.1,10.1,10.1,100
2023-01-06,SAMAU,10.1,10.1,10.1,10.1,100
2023-01-09,SAMAU,10.1,10.1,10.1,10.1,200
2023-01-10,SAMAU,10.1,10.1,10.1,10.1,3000
2023-01-12,SAMAU,10.12,10.12,10.1167,10.1167,1000
2023-01-17,SAMAU,10.14,10.14,10.13,10.14,800
2023-01-19,SAMAU,10.15,10.15,10.15,10.15,400
2023-01-20,SAMAU,10.155,10.16,10.155,10.16,1300
2023-01-24,SAMAU,10.17,10.17,10.17,10.17,1085
2023-01-26,SAMAU,10.13,10.15,10.12,10.15,1100
2023-01-27,SAMAU,10.28,10.28,10.17,10.17,75600
2023-01-31,SAMAU,10.17,10.17,10.17,10.17,1000
2023-02-02,SAMAU,10.17,10.17,10.17,10.17,3002
2023-02-03,SAMAU,10.1835,10.1835,10.165,10.1701,7500
2023-02-14,SAMAU,10.1644,10.2,10.15,10.2,11799
2023-02-23,SAMAU,10.2144,10.22,10.2,10.2,10452
2023-03-01,SAMAU,10.24,10.32,10.24,10.28,2528
2023-03-06,SAMAU,10.29,10.29,10.29,10.29,101
2023-03-07,SAMAU,10.35,10.35,10.29,10.29,3000
2023-03-10,SAMAU,10.25,10.3,10.25,10.3,600
2023-03-13,SAMAU,10.3,10.31,10.3,10.31,5272
2023-03-17,SAMAU,10.3104,10.3104,10.31,10.31,3000
2023-03-21,SAMAU,10.32,10.35,10.31,10.31,42290
2023-03-22,SAMAU,10.31,10.31,10.29,10.3,7200
2023-03-23,SAMAU,10.3,10.3018,10.3,10.3,197721
2023-03-27,SAMAU,10.29,10.29,10.29,10.29,9860
2023-03-28,SAMAU,10.0178,10.31,9.28,10.2,57339
2023-03-29,SAMAU,10.2,10.3,9.2796,10.27,24723
2023-03-30,SAMAU,10.34,10.34,9.41,10.2896,25664
2023-03-31,SAMAU,10.3,10.34,10.3,10.34,1966
2023-04-03,SAMAU,10.32,10.32,10.32,10.32,408
2023-04-04,SAMAU,10.32,10.32,10.32,10.32,1000
2023-04-05,SAMAU,10.34,10.36,10.34,10.35,4201
2023-04-06,SAMAU,10.32,10.32,10.32,10.32,272
2023-04-11,SAMAU,10.35,10.35,10.34,10.34,1176
2023-04-12,SAMAU,10.38,10.405,10.37,10.38,2327
2023-04-13,SAMAU,10.32,10.32,10.32,10.32,421
2023-04-14,SAMAU,10.38,10.6,10.38,10.5,7469
2023-04-17,SAMAU,10.7,10.7,10.56,10.56,3000
2023-04-18,SAMAU,10.6,10.7,10.6,10.7,3362
2023-05-02,SAMAU,10.35,10.35,10.35,10.35,100
2023-05-03,SAMAU,10.35,10.35,10.35,10.35,100
2023-05-18,SAMAU,10.35,10.36,10.35,10.35,15000
2023-05-19,SAMAU,10.36,10.36,10.35,10.35,3750
2023-05-30,SAMAU,10.4,10.4,10.3999,10.4,13667
2023-06-06,SAMAU,10.41,10.69,10.37,10.4101,2900
2023-06-23,SAMAU,10.44,10.45,10.44,10.45,731
2023-06-29,SAMAU,10.47,10.47,10.47,10.47,3018
2023-07-14,SAMAU,10.48,10.48,10.46,10.48,1412
2023-08-04,SAMAU,10.48,10.7067,10.48,10.5444,500
2023-08-15,SAMAU,10.57,10.6,10.57,10.6,6071
2023-08-21,SAMAU,10.6,10.6,10.5726,10.5726,250
2023-08-25,SAMAU,10.68,10.68,10.66,10.66,600
2023-09-14,SAMAU,10.58,10.58,10.57,10.58,9100
2023-09-18,SAMAU,10.66,11.8,10.66,11.1,5608
2023-09-21,SAMAU,10.62,10.62,10.62,10.62,116
2023-09-27,SAMAU,10.58,10.6,10.57,10.57,3175
2023-10-03,SAMAU,10.8,10.8,10.69,10.69,403
