Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SATS,17.94,18.02,17.56,17.7,254036.0
2022-11-14,SATS,17.71,18.05,17.6,17.87,297485.0
2022-11-15,SATS,17.88,18.38,17.85,17.91,209628.0
2022-11-16,SATS,17.74,18.0,17.4,17.47,231559.0
2022-11-17,SATS,17.2,17.42,17.02,17.34,183523.0
2022-11-18,SATS,17.62,17.69,17.25,17.51,212612.0
2022-11-21,SATS,17.49,17.58,17.2,17.43,215264.0
2022-11-22,SATS,17.48,17.715,17.2,17.37,215842.0
2022-11-23,SATS,17.33,17.75,17.21,17.52,188137.0
2022-11-25,SATS,17.39,17.675,16.86,17.44,146703.0
2022-11-28,SATS,17.33,17.345,16.94,17.04,662736.0
2022-11-29,SATS,16.91,17.36,16.7325,17.21,263104.0
2022-11-30,SATS,17.19,17.47,16.76,17.4,368653.0
2022-12-01,SATS,17.38,17.83,17.08,17.1,255688.0
2022-12-02,SATS,16.89,17.17,16.86,17.08,283319.0
2022-12-05,SATS,16.9,17.3515,16.43,16.59,434366.0
2022-12-06,SATS,16.5,16.63,16.0,16.37,412918.0
2022-12-07,SATS,16.44,16.66,16.23,16.33,310551.0
2022-12-08,SATS,16.36,16.775,16.28,16.54,342685.0
2022-12-09,SATS,16.44,16.905,16.3,16.63,227695.0
2022-12-12,SATS,16.64,16.875,16.3,16.39,216577.0
2022-12-13,SATS,16.82,17.01,16.21,16.25,378435.0
2022-12-14,SATS,16.14,16.53,16.11,16.33,355132.0
2022-12-15,SATS,16.18,16.36,15.85,16.08,412542.0
2022-12-16,SATS,15.92,16.04,15.69,15.95,527100.0
2022-12-19,SATS,15.91,16.18,15.66,15.83,317066.0
2022-12-20,SATS,15.97,16.1,15.69,15.85,246820.0
2022-12-21,SATS,16.11,16.41,15.84,16.35,232393.0
2022-12-22,SATS,16.22,16.47,16.07,16.44,236234.0
2022-12-23,SATS,16.4,16.94,16.4,16.89,249898.0
2022-12-27,SATS,16.87,16.94,16.68,16.72,216962.0
2022-12-28,SATS,16.66,16.97,16.23,16.34,278214.0
2022-12-29,SATS,16.37,16.82,16.17,16.74,202566.0
2022-12-30,SATS,16.6,16.78,16.495,16.68,242133.0
2023-01-03,SATS,16.9,17.05,16.5,16.77,254531.0
2023-01-04,SATS,16.76,17.054,16.33,16.37,291764.0
2023-01-05,SATS,16.29,16.55,16.2,16.35,277746.0
2023-01-06,SATS,16.48,16.89,16.48,16.61,300268.0
2023-01-09,SATS,16.66,16.7,16.0,16.03,267139.0
2023-01-10,SATS,16.06,16.52,15.87,16.5,253321.0
2023-01-11,SATS,16.5,17.3,16.49,17.26,342763.0
