Date,Ticker,Open,High,Low,Close,Volume
2022-12-16,SAY,24.9,24.96,24.75,24.75,97596
2022-12-19,SAY,24.89,24.89,24.7,24.8199,28559
2022-12-20,SAY,24.89,24.8942,24.7501,24.8499,18888
2022-12-21,SAY,24.87,24.87,24.81,24.83,22338
2022-12-22,SAY,24.82,24.8399,24.79,24.8,8989
2022-12-23,SAY,24.84,24.84,24.7999,24.82,13143
2022-12-27,SAY,24.84,24.8712,24.805,24.8712,27297
2022-12-28,SAY,24.91,24.925,24.77,24.92,22204
2022-12-29,SAY,24.95,25.0,24.9168,24.98,8545
2022-12-30,SAY,24.96,24.96,24.9,24.9399,2798
2023-01-03,SAY,24.9399,24.9399,24.87,24.9,5808
2023-01-04,SAY,24.905,24.94,24.9044,24.94,6021
2023-01-05,SAY,24.91,24.92,24.83,24.9033,14550
2023-01-06,SAY,24.99,25.0,24.91,24.96,10833
2023-01-09,SAY,24.99,24.99,24.87,24.95,11565
2023-01-10,SAY,25.0,25.0,24.9199,24.965,10606
2023-01-11,SAY,25.0,25.0,24.9,24.96,4196
2023-01-12,SAY,24.9,25.02,24.9,25.0019,27922
2023-01-13,SAY,25.05,25.1,24.97,25.1,14567
2023-01-17,SAY,25.02,25.11,25.0,25.1068,20255
2023-01-18,SAY,25.15,25.15,25.05,25.0995,27779
2023-01-19,SAY,25.1599,25.16,25.0601,25.1238,13354
2023-01-20,SAY,25.1027,25.29,25.0965,25.2173,24719
2023-01-23,SAY,25.25,25.35,25.07,25.16,49400
2023-01-24,SAY,25.18,25.28,25.1,25.13,25531
2023-01-25,SAY,25.13,25.18,25.02,25.05,65601
2023-01-26,SAY,25.1,25.3,25.0,25.24,63193
2023-01-27,SAY,25.24,25.31,25.24,25.31,5840
2023-01-30,SAY,25.28,25.33,25.1713,25.33,13164
2023-01-31,SAY,25.35,25.43,25.34,25.3967,17844
2023-02-01,SAY,25.43,25.44,25.3635,25.44,6851
2023-02-02,SAY,25.4101,25.48,25.31,25.44,20050
2023-02-03,SAY,25.45,25.45,25.3,25.38,2165
2023-02-06,SAY,25.31,25.45,25.2999,25.4,17562
2023-02-07,SAY,25.48,25.5,25.4,25.5,11267
2023-02-08,SAY,25.5,25.5,25.4016,25.46,7011
2023-02-09,SAY,25.5,25.53,25.4975,25.5213,12222
2023-02-10,SAY,25.52,25.53,25.51,25.52,10246
2023-02-13,SAY,25.52,25.55,25.52,25.55,19691
2023-02-14,SAY,25.16,25.277,25.1404,25.17,17533
2023-02-15,SAY,25.19,25.19,25.1279,25.1858,5997
2023-02-16,SAY,25.2,25.2,25.1019,25.145,11923
2023-02-17,SAY,25.22,25.22,25.1,25.2,16609
2023-02-21,SAY,25.37,25.37,25.2199,25.26,15259
2023-02-22,SAY,25.2433,25.2493,25.11,25.24,5400
2023-02-23,SAY,25.2,25.26,25.1001,25.26,24679
2023-02-24,SAY,25.25,25.25,25.12,25.18,11416
2023-02-27,SAY,25.26,25.3,25.2,25.3,7819
2023-02-28,SAY,25.3,25.3,25.18,25.29,15293
2023-03-01,SAY,25.3,25.35,25.25,25.33,12526
2023-03-02,SAY,25.34,25.34,25.16,25.33,15896
2023-03-03,SAY,25.37,25.4,25.3,25.34,7907
2023-03-06,SAY,25.41,25.41,25.22,25.25,13257
2023-03-07,SAY,25.35,25.4,25.27,25.36,4605
2023-03-08,SAY,25.39,25.4,25.27,25.3,5183
2023-03-09,SAY,25.33,25.4386,25.33,25.38,14048
2023-03-10,SAY,25.35,25.386,25.05,25.08,14350
2023-03-13,SAY,25.05,25.15,24.9248,24.95,40412
2023-03-14,SAY,25.0,25.4099,24.85,24.85,15890
2023-03-15,SAY,24.8601,24.99,24.75,24.77,8485
2023-03-16,SAY,24.85,25.0,24.75,25.0,3683
2023-03-17,SAY,25.0,25.0,24.65,24.77,9421
2023-03-20,SAY,24.77,25.0,24.7501,24.8687,7651
2023-03-21,SAY,25.0,25.0,24.55,24.75,15228
2023-03-22,SAY,24.86,24.95,24.7577,24.88,6207
2023-03-23,SAY,24.95,24.95,24.75,24.93,8953
2023-03-24,SAY,24.93,24.93,24.75,24.85,10185
2023-03-27,SAY,24.8,24.85,24.742,24.75,17048
2023-03-28,SAY,24.8101,24.92,24.8,24.88,5946
2023-03-29,SAY,24.93,24.96,24.912,24.9599,2649
2023-03-30,SAY,24.865,24.98,24.85,24.86,9428
2023-03-31,SAY,24.9222,24.96,24.87,24.9082,3993
2023-04-03,SAY,24.945,24.98,24.67,24.77,14197
2023-04-04,SAY,24.76,24.9505,24.76,24.79,3360
2023-04-05,SAY,24.89,25.0,24.81,24.81,3202
2023-04-06,SAY,24.92,25.0,24.85,24.98,6673
2023-04-10,SAY,24.99,24.99,24.7,24.84,28134
2023-04-11,SAY,24.82,24.83,24.65,24.74,22837
2023-04-12,SAY,24.84,24.924,24.76,24.85,12429
2023-04-13,SAY,24.85,24.85,24.85,24.85,1307
2023-04-14,SAY,24.92,24.95,24.86,24.9087,9796
2023-04-17,SAY,24.94,25.0,24.86,24.979,13394
2023-04-18,SAY,25.0,25.0,24.8962,25.0,16128
2023-04-19,SAY,25.0,25.07,24.9708,25.06,15934
2023-04-20,SAY,25.11,25.19,25.1,25.18,5538
2023-04-21,SAY,25.1,25.17,25.0707,25.1399,6924
2023-04-24,SAY,25.14,25.14,25.0,25.05,20908
2023-04-25,SAY,25.08,25.16,25.05,25.15,11032
2023-04-26,SAY,25.0953,25.19,24.75,24.82,35710
2023-04-27,SAY,24.82,25.0673,24.82,25.02,7028
2023-04-28,SAY,25.07,25.19,25.03,25.17,9319
2023-05-01,SAY,25.06,25.18,25.06,25.08,9312
2023-05-02,SAY,25.08,25.15,25.01,25.15,4885
2023-05-03,SAY,25.0,25.19,24.85,25.07,15089
