Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SCKT,1.82,2.035,1.82,1.97,40184
2022-11-14,SCKT,1.95,2.05,1.9301,2.0,14392
2022-11-15,SCKT,2.01,2.04,2.0,2.0,13027
2022-11-16,SCKT,1.9699,1.9737,1.89,1.96,13722
2022-11-17,SCKT,1.96,2.03,1.924,1.9711,12020
2022-11-18,SCKT,2.02,2.055,1.93,2.01,12084
2022-11-21,SCKT,1.98,2.02,1.93,1.96,25240
2022-11-22,SCKT,1.94,1.99,1.94,1.94,4103
2022-11-23,SCKT,1.93,2.09,1.9201,1.9901,29651
2022-11-25,SCKT,1.95,2.07,1.95,2.02,10417
2022-11-28,SCKT,2.0,2.0216,1.95,2.02,6708
2022-11-29,SCKT,2.0028,2.02,1.9793,2.02,10445
2022-11-30,SCKT,1.97,2.0482,1.97,2.03,14479
2022-12-01,SCKT,2.0001,2.04,1.99,2.01,6883
2022-12-02,SCKT,2.03,2.13,2.0101,2.13,42191
2022-12-05,SCKT,2.1,2.2,2.0748,2.11,39376
2022-12-06,SCKT,2.09,2.12,2.09,2.12,15228
2022-12-07,SCKT,2.07,2.1,2.07,2.09,4773
2022-12-08,SCKT,2.07,2.0985,2.07,2.09,2159
2022-12-09,SCKT,2.09,2.09,2.07,2.08,6240
2022-12-12,SCKT,2.0586,2.09,2.04,2.04,12283
2022-12-13,SCKT,2.05,2.1,2.0457,2.08,8257
2022-12-14,SCKT,2.01,2.0685,2.01,2.05,9345
2022-12-15,SCKT,2.05,2.05,2.0,2.01,5631
2022-12-16,SCKT,2.0,2.015,2.0,2.01,10170
2022-12-19,SCKT,2.03,2.03,1.98,1.98,13449
2022-12-20,SCKT,1.98,2.0,1.98,1.98,17384
2022-12-21,SCKT,1.99,2.02,1.96,1.96,22612
2022-12-22,SCKT,1.92,1.98,1.92,1.9425,13021
2022-12-23,SCKT,1.9378,1.96,1.92,1.9342,15506
2022-12-27,SCKT,1.92,1.94,1.92,1.92,13096
2022-12-28,SCKT,1.92,1.93,1.92,1.92,21664
2022-12-29,SCKT,1.925,1.94,1.92,1.93,10147
2022-12-30,SCKT,1.94,1.94,1.92,1.93,17480
2023-01-03,SCKT,1.9395,1.95,1.9344,1.95,6489
2023-01-04,SCKT,1.97,2.0899,1.9401,2.055,8607
2023-01-05,SCKT,2.0433,2.05,2.0383,2.042,2417
2023-01-06,SCKT,2.04,2.0554,2.01,2.03,7127
2023-01-09,SCKT,2.02,2.07,2.02,2.07,5849
2023-01-10,SCKT,2.02,2.1,2.0109,2.09,11030
2023-01-11,SCKT,2.0917,2.3791,2.0917,2.29,61378
2023-01-12,SCKT,2.33,2.34,2.25,2.2892,16561
