Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SCYX,1.91,2.0,1.91,1.97,91104.0
2022-11-14,SCYX,1.97,2.05,1.93,1.96,56119.0
2022-11-15,SCYX,2.05,2.05,1.98,2.02,125344.0
2022-11-16,SCYX,1.97,2.05,1.97,2.02,74765.0
2022-11-17,SCYX,2.01,2.0845,1.99,2.06,152059.0
2022-11-18,SCYX,2.07,2.34,2.07,2.27,329357.0
2022-11-21,SCYX,2.27,2.52,2.26,2.49,245332.0
2022-11-22,SCYX,2.56,2.56,2.4,2.46,148873.0
2022-11-23,SCYX,2.43,2.47,2.41,2.45,85131.0
2022-11-25,SCYX,2.45,2.47,2.43,2.45,100462.0
2022-11-28,SCYX,2.42,2.499,2.42,2.45,124463.0
2022-11-29,SCYX,2.49,2.49,2.3493,2.38,222897.0
2022-11-30,SCYX,2.44,2.44,2.25,2.36,212740.0
2022-12-01,SCYX,2.28,2.3197,2.05,2.12,434738.0
2022-12-02,SCYX,2.13,2.31,2.13,2.3,131330.0
2022-12-05,SCYX,2.39,2.39,2.0,2.11,117259.0
2022-12-06,SCYX,2.1,2.1301,1.81,1.82,383308.0
2022-12-07,SCYX,1.87,1.98,1.81,1.83,89333.0
2022-12-08,SCYX,1.85,1.91,1.8,1.89,56128.0
2022-12-09,SCYX,1.85,2.28,1.85,2.12,313352.0
2022-12-12,SCYX,2.07,2.26,2.07,2.12,152023.0
2022-12-13,SCYX,2.18,2.2199,2.11,2.15,52124.0
2022-12-14,SCYX,2.15,2.19,2.05,2.06,164121.0
2022-12-15,SCYX,2.01,2.09,1.95,1.95,102267.0
2022-12-16,SCYX,1.95,2.06,1.89,1.92,75276.0
2022-12-19,SCYX,1.9,1.93,1.78,1.795,191032.0
2022-12-20,SCYX,1.81,1.811,1.63,1.7,146011.0
2022-12-21,SCYX,1.71,1.9299,1.71,1.74,116996.0
2022-12-22,SCYX,1.7,1.78,1.54,1.6,210317.0
2022-12-23,SCYX,1.6,1.6,1.55,1.56,149457.0
2022-12-27,SCYX,1.53,1.55,1.492,1.52,154743.0
2022-12-28,SCYX,1.45,1.54,1.445,1.46,143819.0
2022-12-29,SCYX,1.45,1.52,1.45,1.465,95267.0
2022-12-30,SCYX,1.43,1.56,1.42,1.56,265519.0
2023-01-03,SCYX,1.58,1.6427,1.43,1.44,118286.0
2023-01-04,SCYX,1.45,1.5819,1.45,1.58,116670.0
2023-01-05,SCYX,1.58,1.6,1.53,1.59,60797.0
2023-01-06,SCYX,1.55,1.7062,1.5401,1.65,119239.0
2023-01-09,SCYX,1.68,1.75,1.6501,1.67,105434.0
2023-01-10,SCYX,1.65,1.79,1.64,1.785,59431.0
2023-01-11,SCYX,1.69,1.84,1.6414,1.79,84140.0
2023-01-12,SCYX,1.84,1.85,1.7906,1.83,102608.0
2023-01-13,SCYX,1.82,2.0,1.82,1.88,150587.0
2023-01-17,SCYX,1.87,1.91,1.74,1.82,93828.0
2023-01-18,SCYX,1.82,1.845,1.69,1.69,68917.0
2023-01-19,SCYX,1.69,1.69,1.61,1.64,73677.0
2023-01-20,SCYX,1.67,1.7,1.64,1.68,29030.0
2023-01-23,SCYX,1.68,1.75,1.6601,1.7,44382.0
2023-01-24,SCYX,1.7,1.7301,1.66,1.7076,54382.0
2023-01-25,SCYX,1.68,1.7293,1.68,1.72,59135.0
2023-01-26,SCYX,1.75,1.8,1.7218,1.75,77371.0
2023-01-27,SCYX,1.74,1.8,1.72,1.74,45798.0
2023-01-30,SCYX,1.76,1.76,1.6727,1.75,120559.0
2023-01-31,SCYX,1.73,1.84,1.73,1.835,107318.0
2023-02-01,SCYX,1.74,1.88,1.68,1.71,133258.0
2023-02-02,SCYX,1.71,1.7915,1.71,1.74,88908.0
2023-02-03,SCYX,1.73,1.736,1.68,1.68,60530.0
2023-02-06,SCYX,1.65,1.68,1.6,1.6199,119196.0
2023-02-07,SCYX,1.56,1.61,1.56,1.57,74286.0
2023-02-08,SCYX,1.57,1.63,1.5438,1.6001,68440.0
2023-02-09,SCYX,1.59,1.63,1.53,1.55,63185.0
2023-02-10,SCYX,1.56,1.59,1.5584,1.58,45429.0
2023-02-13,SCYX,1.59,1.59,1.56,1.565,39955.0
2023-02-14,SCYX,1.56,1.6299,1.54,1.55,78287.0
2023-02-15,SCYX,1.55,1.61,1.537,1.59,23367.0
2023-02-16,SCYX,1.57,1.59,1.54,1.54,27512.0
2023-02-17,SCYX,1.53,1.57,1.5297,1.53,49715.0
2023-02-21,SCYX,1.55,1.59,1.5322,1.54,69398.0
2023-02-22,SCYX,1.54,1.56,1.52,1.52,22903.0
2023-02-23,SCYX,1.5,1.58,1.5,1.5,49873.0
2023-02-24,SCYX,1.53,1.56,1.46,1.46,40216.0
2023-02-27,SCYX,1.47,1.54,1.47,1.47,17304.0
2023-02-28,SCYX,1.48,1.59,1.48,1.49,46641.0
2023-03-01,SCYX,1.6,2.0,1.59,1.73,868243.0
2023-03-02,SCYX,1.75,1.8826,1.67,1.73,164161.0
2023-03-03,SCYX,1.73,1.7899,1.6,1.76,145141.0
2023-03-06,SCYX,1.78,1.79,1.66,1.69,51997.0
2023-03-07,SCYX,1.67,1.81,1.67,1.69,54702.0
2023-03-08,SCYX,1.71,1.71,1.64,1.64,43855.0
2023-03-09,SCYX,1.62,1.6749,1.495,1.52,96115.0
2023-03-10,SCYX,1.55,1.55,1.33,1.33,241101.0
2023-03-13,SCYX,1.33,1.39,1.24,1.29,186983.0
2023-03-14,SCYX,1.32,1.3999,1.31,1.31,63746.0
2023-03-15,SCYX,1.28,1.33,1.25,1.28,45632.0
2023-03-16,SCYX,1.27,1.31,1.25,1.28,37531.0
2023-03-17,SCYX,1.26,1.3,1.15,1.15,114927.0
2023-03-20,SCYX,1.19,1.2,1.15,1.15,30872.0
2023-03-21,SCYX,1.22,1.59,1.22,1.56,962087.0
2023-03-22,SCYX,1.66,2.28,1.66,2.0,14599808.0
2023-03-23,SCYX,2.2,2.2,1.51,1.805,2868418.0
2023-03-24,SCYX,1.75,1.96,1.7249,1.87,680874.0
2023-03-27,SCYX,1.88,1.9,1.5401,1.73,637134.0
