Date,Ticker,Open,High,Low,Close,Volume
2024-02-16,SELX,4.0,4.3895,2.14,2.61,568130.0
2024-02-20,SELX,2.34,2.38,1.92,1.97,325052.0
2024-02-21,SELX,1.99,2.06,1.75,1.78,149514.0
2024-02-22,SELX,1.78,1.8,1.4,1.43,141308.0
2024-02-23,SELX,1.45,1.545,1.12,1.13,294417.0
2024-02-26,SELX,0.9886,1.03,0.7726,0.8806,5510973.0
2024-02-27,SELX,0.8439,0.96,0.79,0.9546,629046.0
2024-02-28,SELX,0.93,0.9775,0.8666,0.9547,291331.0
2024-02-29,SELX,0.9285,0.94,0.8,0.8002,265520.0
2024-03-01,SELX,0.8199,0.8789,0.8001,0.83,136868.0
2024-03-04,SELX,0.82,0.8262,0.8,0.803,72640.0
2024-03-05,SELX,0.8185,0.8352,0.8041,0.82,57148.0
2024-03-06,SELX,0.8261,0.925,0.8261,0.8954,312036.0
2024-03-07,SELX,0.9031,1.05,0.89,1.0,500097.0
2024-03-08,SELX,1.02,1.85,1.02,1.69,9447939.0
2024-03-11,SELX,1.47,2.6799,1.32,1.87,10222867.0
2024-03-12,SELX,1.73,2.89,1.63,2.59,5293768.0
2024-03-13,SELX,2.6,2.89,1.61,1.8,1729384.0
2024-03-14,SELX,1.93,1.9899,1.43,1.54,665802.0
2024-03-15,SELX,1.58,1.8523,1.48,1.71,354140.0
2024-03-18,SELX,1.72,1.8399,1.64,1.8,255611.0
2024-03-19,SELX,1.81,2.25,1.81,1.94,884936.0
2024-03-20,SELX,1.95,1.97,1.65,1.71,198041.0
2024-03-21,SELX,1.71,1.79,1.68,1.71,102683.0
2024-03-22,SELX,1.72,1.8,1.666,1.68,84405.0
2024-03-25,SELX,1.68,1.68,1.5,1.515,157327.0
2024-03-26,SELX,1.51,1.51,1.22,1.32,187610.0
2024-03-27,SELX,1.35,1.37,1.27,1.35,42761.0
2024-03-28,SELX,1.36,1.63,1.33,1.58,117004.0
2024-04-01,SELX,1.56,1.75,1.56,1.7299,166973.0
2024-04-02,SELX,1.68,1.74,1.52,1.74,40849.0
2024-04-03,SELX,1.76,1.849,1.66,1.6998,63866.0
2024-04-04,SELX,1.83,1.83,1.6503,1.72,74507.0
2024-04-05,SELX,1.64,1.74,1.5,1.57,78929.0
2024-04-08,SELX,1.57,1.72,1.5,1.66,55307.0
2024-04-09,SELX,1.64,1.75,1.61,1.67,38252.0
2024-04-10,SELX,1.61,1.7,1.58,1.65,33544.0
2024-04-11,SELX,1.68,1.7,1.56,1.63,40201.0
2024-04-12,SELX,1.58,1.65,1.55,1.59,36905.0
2024-04-15,SELX,1.56,1.7499,1.47,1.71,69106.0
2024-04-16,SELX,1.66,1.71,1.45,1.61,59842.0
2024-04-17,SELX,1.51,1.645,1.4301,1.57,14735.0
2024-04-18,SELX,1.47,1.6,1.45,1.59,27661.0
2024-04-19,SELX,1.59,1.59,1.25,1.46,53258.0
2024-04-22,SELX,1.46,1.65,1.46,1.625,25864.0
2024-04-23,SELX,1.64,1.68,1.49,1.64,29172.0
2024-04-24,SELX,1.58,1.72,1.58,1.64,33464.0
2024-04-25,SELX,1.61,1.68,1.5344,1.67,9316.0
2024-04-26,SELX,1.66,1.68,1.54,1.68,20291.0
2024-04-29,SELX,1.67,1.67,1.6,1.66,11339.0
2024-04-30,SELX,1.66,1.68,1.4801,1.68,18760.0
2024-05-01,SELX,1.64,1.68,1.5094,1.67,7498.0
2024-05-02,SELX,1.67,2.0,1.6,1.985,189310.0
2024-05-03,SELX,1.97,2.1101,1.9,2.02,53034.0
2024-05-06,SELX,1.95,2.03,1.81,1.96,40025.0
2024-05-07,SELX,1.945,2.05,1.9,1.95,35778.0
2024-05-08,SELX,1.94,1.9495,1.8527,1.94,30656.0
2024-05-09,SELX,1.9,2.02,1.71,2.01,32393.0
2024-05-10,SELX,2.07,2.12,1.9,1.9539,59993.0
2024-05-13,SELX,2.07,2.07,1.9071,1.99,15638.0
2024-05-14,SELX,1.9,1.9093,1.75,1.825,38654.0
2024-05-15,SELX,1.77,1.9,1.77,1.85,9722.0
2024-05-16,SELX,1.79,2.0,1.79,1.968,17959.0
2024-05-17,SELX,1.89,1.94,1.85,1.93,19216.0
2024-05-20,SELX,1.9698,2.035,1.84,1.84,16416.0
2024-05-21,SELX,1.9,2.0,1.85,1.948,20284.0
2024-05-22,SELX,1.9,1.9738,1.87,1.89,13718.0
2024-05-23,SELX,2.0,2.0,1.78,1.94,19996.0
2024-05-24,SELX,1.86,2.0,1.8436,1.94,12679.0
2024-05-28,SELX,1.98,2.0,1.9,1.998,24006.0
2024-05-29,SELX,2.01,2.1,1.9029,1.98,19061.0
2024-05-30,SELX,1.975,2.061,1.8904,1.99,10389.0
2024-05-31,SELX,1.93,1.99,1.93,1.99,6962.0
2024-06-03,SELX,1.99,1.99,1.95,1.99,7063.0
2024-06-04,SELX,1.91,2.0,1.91,1.988,7795.0
2024-06-05,SELX,1.97,2.02,1.9,2.02,21438.0
2024-06-06,SELX,1.98,2.5,1.8,2.33,153729.0
2024-06-07,SELX,2.63,2.63,2.0706,2.52,54501.0
2024-06-10,SELX,2.44,2.44,2.0,2.04,39936.0
2024-06-11,SELX,1.99,1.992,1.8052,1.96,26621.0
2024-06-12,SELX,2.04,2.04,1.85,1.86,24659.0
2024-06-13,SELX,1.85,1.86,1.6,1.6,40264.0
2024-06-14,SELX,1.59,1.68,1.59,1.68,20117.0
2024-06-17,SELX,1.76,1.76,1.67,1.72,9308.0
2024-06-18,SELX,1.73,1.9,1.67,1.73,18016.0
2024-06-20,SELX,1.68,1.73,1.6001,1.65,11725.0
2024-06-21,SELX,1.655,1.9062,1.655,1.8682,52525.0
2024-06-24,SELX,1.82,2.02,1.8184,1.9,53675.0
2024-06-25,SELX,1.8636,1.94,1.86,1.91,18492.0
2024-06-26,SELX,1.91,1.95,1.8,1.8,16951.0
2024-06-27,SELX,1.77,1.9399,1.77,1.81,9132.0
2024-06-28,SELX,1.82,1.875,1.81,1.82,4066.0
