Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SIGI,92.76,93.84,91.235,91.33,325008.0
2022-11-14,SIGI,91.66,94.37,90.515,93.11,350842.0
2022-11-15,SIGI,93.43,93.92,90.27,91.66,288028.0
2022-11-16,SIGI,92.02,92.215,90.9,91.62,214094.0
2022-11-17,SIGI,91.36,92.335,90.11,92.15,183355.0
2022-11-18,SIGI,93.51,94.26,92.595,93.01,320329.0
2022-11-21,SIGI,93.18,94.555,92.33,92.47,192706.0
2022-11-22,SIGI,93.38,94.589,93.32,93.99,217895.0
2022-11-23,SIGI,94.0,94.68,93.34,94.49,145562.0
2022-11-25,SIGI,94.7,95.67,94.315,95.38,91941.0
2022-11-28,SIGI,94.71,95.9,94.71,95.63,217332.0
2022-11-29,SIGI,95.26,95.88,91.8537,94.71,167358.0
2022-11-30,SIGI,94.44,96.18,93.44,96.12,309342.0
2022-12-01,SIGI,96.12,97.36,94.31,94.42,321490.0
2022-12-02,SIGI,93.94,95.62,93.49,95.08,336730.0
2022-12-05,SIGI,94.4,94.4,91.5,92.61,310055.0
2022-12-06,SIGI,92.45,92.74,91.29,92.02,323750.0
2022-12-07,SIGI,91.72,92.47,90.39,90.56,246992.0
2022-12-08,SIGI,90.39,91.6,89.88,91.0,351648.0
2022-12-09,SIGI,90.78,91.43,89.0,90.11,310536.0
2022-12-12,SIGI,89.86,90.57,88.97,90.18,245009.0
2022-12-13,SIGI,91.34,91.46,88.81,89.03,261187.0
2022-12-14,SIGI,89.43,89.66,88.12,88.77,297691.0
2022-12-15,SIGI,88.27,88.295,85.73,86.08,381951.0
2022-12-16,SIGI,85.48,86.68,84.47,86.5,1490802.0
2022-12-19,SIGI,86.61,88.07,85.98,87.93,254704.0
2022-12-20,SIGI,88.4,89.98,87.43,89.74,295499.0
2022-12-21,SIGI,90.21,92.2373,90.21,91.8,306530.0
2022-12-22,SIGI,91.53,91.53,90.09,90.25,241399.0
2022-12-23,SIGI,90.41,91.235,90.0,90.85,141577.0
2022-12-27,SIGI,91.03,91.62,90.315,90.84,116534.0
2022-12-28,SIGI,91.25,92.11,89.09,89.13,151272.0
2022-12-29,SIGI,89.53,91.04,89.15,90.34,177701.0
2022-12-30,SIGI,89.8,90.69,87.97,88.61,145649.0
2023-01-03,SIGI,88.97,89.78,88.03,89.67,175878.0
2023-01-04,SIGI,89.82,90.61,89.52,89.63,154632.0
2023-01-05,SIGI,89.16,89.78,88.46,89.23,162937.0
2023-01-06,SIGI,90.18,92.3,87.83,91.87,204277.0
2023-01-09,SIGI,91.67,92.39,89.67,90.06,213086.0
2023-01-10,SIGI,90.14,92.635,89.07,92.42,250989.0
2023-01-11,SIGI,92.4,93.31,91.56,92.53,240604.0
2023-01-12,SIGI,92.53,94.0,91.5,93.46,218879.0
2023-01-13,SIGI,93.35,95.84,92.54,95.43,213850.0
2023-01-17,SIGI,95.59,95.87,92.15,92.44,262415.0
2023-01-18,SIGI,92.14,93.17,91.1,91.44,231169.0
2023-01-19,SIGI,90.68,91.41,89.11,89.75,226455.0
2023-01-20,SIGI,90.84,90.965,87.66,90.16,369963.0
2023-01-23,SIGI,90.27,92.26,90.01,91.81,275473.0
2023-01-24,SIGI,92.5,96.0,91.095,92.65,259735.0
2023-01-25,SIGI,92.45,93.69,91.63,93.51,119671.0
2023-01-26,SIGI,93.73,94.85,93.39,94.82,109577.0
2023-01-27,SIGI,94.42,95.13,92.61,92.79,137250.0
2023-01-30,SIGI,92.68,94.025,92.18,93.6,171629.0
2023-01-31,SIGI,94.08,95.03,93.43,95.0,232391.0
2023-02-01,SIGI,94.4,94.835,92.8,93.69,201801.0
2023-02-02,SIGI,93.69,94.98,91.5,94.72,424804.0
