Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SKYH,3.38,3.68,3.37,3.44,12171.0
2022-11-14,SKYH,3.25,3.49,3.25,3.46,2335.0
2022-11-15,SKYH,3.4,3.64,3.4,3.49,1777.0
2022-11-16,SKYH,3.82,3.82,3.41,3.61,6600.0
2022-11-17,SKYH,3.59,3.5999,3.4,3.4,5057.0
2022-11-18,SKYH,3.54,3.5965,3.33,3.47,4052.0
2022-11-21,SKYH,3.44,3.44,3.35,3.4201,3594.0
2022-11-22,SKYH,3.4,3.512,3.105,3.15,12781.0
2022-11-23,SKYH,3.1,3.29,3.0,3.0,14251.0
2022-11-25,SKYH,3.15,3.2,3.0,3.01,15632.0
2022-11-28,SKYH,3.46,3.46,3.16,3.16,7550.0
2022-11-29,SKYH,3.2445,3.25,3.195,3.199,2978.0
2022-11-30,SKYH,3.38,3.4555,3.38,3.39,4921.0
2022-12-01,SKYH,3.45,3.45,3.33,3.39,5128.0
2022-12-02,SKYH,3.416,3.45,3.37,3.415,7081.0
2022-12-05,SKYH,3.33,3.4,3.33,3.33,7322.0
2022-12-06,SKYH,3.25,3.25,3.01,3.118,19167.0
2022-12-07,SKYH,3.1099,3.1099,2.9817,3.03,2520.0
2022-12-08,SKYH,3.0,3.15,2.98,2.98,10094.0
2022-12-09,SKYH,3.39,3.39,2.99,2.99,1729.0
2022-12-12,SKYH,3.09,3.1,3.02,3.06,5392.0
2022-12-13,SKYH,3.0773,3.0773,3.05,3.05,3816.0
2022-12-14,SKYH,2.99,3.0,2.96,2.96,7171.0
2022-12-15,SKYH,2.98,2.9885,2.92,2.9518,15456.0
2022-12-16,SKYH,3.1862,3.1862,2.8,2.91,5804.0
2022-12-19,SKYH,2.9252,2.96,2.54,2.54,6192.0
2022-12-20,SKYH,2.56,3.0,2.56,2.78,13537.0
2022-12-21,SKYH,2.82,2.84,2.8,2.8055,7043.0
2022-12-22,SKYH,2.75,2.75,2.65,2.7202,11215.0
2022-12-23,SKYH,2.7151,2.7448,2.69,2.7448,7086.0
2022-12-27,SKYH,2.8001,2.8001,2.52,2.65,15630.0
2022-12-28,SKYH,2.785,2.8,2.5,2.584,11439.0
2022-12-29,SKYH,2.6,2.93,2.5617,2.88,13173.0
2022-12-30,SKYH,2.67,2.78,2.6,2.66,12839.0
2023-01-03,SKYH,2.93,2.93,2.6624,2.85,3331.0
