Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SLDPW,0.8802,1.1,0.8802,1.0,43695
2022-11-14,SLDPW,0.9101,1.04,0.9101,1.04,6856
2022-11-15,SLDPW,0.99,1.05,0.99,1.04,4123
2022-11-16,SLDPW,0.92,0.98,0.9,0.9098,68190
2022-11-17,SLDPW,0.9,0.9,0.85,0.8501,59913
2022-11-18,SLDPW,0.86,0.9314,0.85,0.85,37616
2022-11-21,SLDPW,0.85,0.889799,0.84,0.85,60047
2022-11-22,SLDPW,0.865001,0.88,0.8106,0.8106,35640
2022-11-23,SLDPW,0.8,0.87,0.8,0.8051,30977
2022-11-25,SLDPW,0.8101,0.88,0.8101,0.87,51982
2022-11-28,SLDPW,0.9,0.91,0.81,0.84,64766
2022-11-29,SLDPW,0.9822,0.9822,0.82,0.83,42637
2022-11-30,SLDPW,0.8,0.81,0.42,0.688699,408575
2022-12-01,SLDPW,0.79,0.7925,0.4634,0.5529,213918
2022-12-02,SLDPW,0.55,0.5598,0.47,0.49,67153
2022-12-05,SLDPW,0.519899,0.52,0.4333,0.4333,62837
2022-12-06,SLDPW,0.45,0.46,0.4,0.41881,69108
2022-12-07,SLDPW,0.41,0.4149,0.38,0.3889,98782
2022-12-08,SLDPW,0.37,0.42,0.37,0.3801,67435
2022-12-09,SLDPW,0.3899,0.46,0.36,0.4296,79768
2022-12-12,SLDPW,0.44,0.44,0.39,0.41,48589
2022-12-13,SLDPW,0.41,0.437499,0.370001,0.3722,32336
2022-12-14,SLDPW,0.4376,0.4376,0.37,0.4024,32818
2022-12-15,SLDPW,0.398,0.413299,0.370101,0.38,25869
2022-12-16,SLDPW,0.38,0.387,0.36,0.363,27681
2022-12-19,SLDPW,0.36,0.385,0.3333,0.35,35284
2022-12-20,SLDPW,0.35,0.37,0.34,0.35,9788
2022-12-21,SLDPW,0.4,0.4456,0.37,0.42,118966
2022-12-22,SLDPW,0.47,0.4778,0.3912,0.474999,103346
2022-12-23,SLDPW,0.5,0.5,0.42,0.47,30075
2022-12-27,SLDPW,0.47,0.47,0.3612,0.3801,67805
2022-12-28,SLDPW,0.4675,0.47,0.38,0.39,77388
2022-12-29,SLDPW,0.4,0.47,0.38,0.385,91154
2022-12-30,SLDPW,0.3723,0.47,0.3623,0.42,71310
2023-01-03,SLDPW,0.45,0.47,0.4,0.4,65998
2023-01-04,SLDPW,0.4287,0.435,0.3676,0.38,35287
2023-01-05,SLDPW,0.39,0.39,0.366699,0.3688,50926
2023-01-06,SLDPW,0.37,0.3974,0.37,0.3974,26239
2023-01-09,SLDPW,0.47,0.4737,0.39,0.47,44901
2023-01-10,SLDPW,0.53,0.545,0.45,0.5272,43634
2023-01-11,SLDPW,0.5199,0.55,0.5199,0.5466,5690
2023-01-12,SLDPW,0.55,0.6,0.4701,0.5981,81790
2023-01-13,SLDPW,0.61,0.6846,0.5962,0.6798,42356
2023-01-17,SLDPW,0.76,0.76,0.5572,0.7275,97712
2023-01-18,SLDPW,0.7473,0.7799,0.6798,0.7,57604
2023-01-19,SLDPW,0.71,0.71,0.6502,0.675,23336
2023-01-20,SLDPW,0.71,0.73,0.6901,0.73,21269
2023-01-23,SLDPW,0.7301,0.7762,0.7201,0.745,42054
2023-01-24,SLDPW,0.8,0.805,0.7238,0.73976,27121
2023-01-25,SLDPW,0.75,0.75,0.64,0.6991,138749
2023-01-26,SLDPW,0.6646,0.67,0.55,0.649799,80519
2023-01-27,SLDPW,0.600001,0.6822,0.600001,0.6401,118485
2023-01-30,SLDPW,0.66,0.678906,0.5,0.52,197541
