Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SMID,20.66,20.74,19.09,20.125,3201
2022-11-14,SMID,20.08,21.0,19.5371,20.41,3828
2022-11-15,SMID,20.58,21.0,19.632,20.88,13155
2022-11-16,SMID,20.4,21.38,20.262,21.29,2694
2022-11-17,SMID,21.0,21.5,20.575,21.425,6295
2022-11-18,SMID,21.5,21.5,21.42,21.49,1680
2022-11-21,SMID,21.15,21.5,21.0123,21.08,4567
2022-11-22,SMID,21.5,22.87,20.9029,22.05,17488
2022-11-23,SMID,22.4,22.99,21.99,22.88,15689
2022-11-25,SMID,22.7,23.77,22.7,23.735,2662
2022-11-28,SMID,22.72,23.77,22.72,23.16,6381
2022-11-29,SMID,22.77,23.27,22.5754,23.27,4820
2022-11-30,SMID,22.2,23.5,22.0101,22.8,21070
2022-12-01,SMID,22.75,22.75,22.03,22.08,5953
2022-12-02,SMID,22.05,22.05,21.59,21.78,4418
2022-12-05,SMID,21.4,21.85,19.8,20.5,9077
2022-12-06,SMID,20.24,20.96,20.1,20.11,3638
2022-12-07,SMID,20.11,21.04,20.0,20.05,3532
2022-12-08,SMID,21.0,21.47,20.11,20.23,12939
2022-12-09,SMID,19.6,21.2,19.29,20.31,23814
2022-12-12,SMID,20.67,20.67,19.5,19.58,11145
2022-12-13,SMID,20.22,20.89,19.0,19.46,6424
2022-12-14,SMID,19.36,21.3,18.62,18.62,11531
2022-12-15,SMID,18.4,19.02,17.97,17.97,7636
2022-12-16,SMID,17.97,19.77,17.97,18.13,22774
2022-12-19,SMID,18.01,18.95,18.01,18.06,5789
2022-12-20,SMID,18.38,19.77,17.9888,18.34,15868
2022-12-21,SMID,18.62,19.4,18.62,18.74,1400
2022-12-22,SMID,18.53,20.19,18.17,19.78,7839
2022-12-23,SMID,19.92,21.91,19.81,21.4499,9448
2022-12-27,SMID,21.53,22.24,20.3601,20.855,7768
2022-12-28,SMID,21.2,22.07,20.01,20.54,16627
2022-12-29,SMID,20.45,22.1,20.35,20.85,9024
2022-12-30,SMID,19.88,21.27,19.88,20.5,2378
2023-01-03,SMID,20.69,21.22,20.165,20.43,9355
2023-01-04,SMID,20.13,21.4,20.13,20.55,5075
2023-01-05,SMID,20.33,21.4,20.16,20.35,7233
2023-01-06,SMID,20.75,20.75,20.35,20.35,1149
2023-01-09,SMID,20.6,20.72,19.83,19.9,7419
2023-01-10,SMID,19.86,20.65,19.1075,19.3,9900
2023-01-11,SMID,20.5,21.0,19.21,19.5,3654
2023-01-12,SMID,19.84,20.69,19.33,19.39,13303
2023-01-13,SMID,19.53,20.62,19.53,19.83,7627
2023-01-17,SMID,20.24,20.78,19.82,20.44,7166
2023-01-18,SMID,20.44,20.44,19.5493,20.36,3980
2023-01-19,SMID,20.44,20.44,19.5464,20.3,2936
2023-01-20,SMID,20.5,20.88,19.8499,20.65,9705
2023-01-23,SMID,20.21,20.69,20.16,20.28,3979
2023-01-24,SMID,20.29,20.95,20.27,20.67,3636
2023-01-25,SMID,20.56,21.63,20.0812,21.32,7070
2023-01-26,SMID,21.38,22.25,20.1016,21.3,17776
2023-01-27,SMID,21.4,21.9,21.4,21.9,1116
2023-01-30,SMID,21.74,22.25,21.11,21.775,4639
2023-01-31,SMID,21.72,22.0,21.25,21.99,5463
2023-02-01,SMID,21.6,21.94,21.25,21.55,5826
