Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SND,2.21,2.386,2.21,2.31,197078
2022-11-14,SND,2.35,2.4,2.21,2.22,111351
2022-11-15,SND,2.18,2.23,2.13,2.13,196584
2022-11-16,SND,2.14,2.15,2.06,2.1,136347
2022-11-17,SND,2.08,2.08,1.93,2.01,377321
2022-11-18,SND,2.01,2.08,1.98,2.05,159601
2022-11-21,SND,2.08,2.08,1.93,2.03,210438
2022-11-22,SND,2.0511,2.12,2.0,2.07,554072
2022-11-23,SND,2.1,2.1,1.96,2.04,406713
2022-11-25,SND,2.045,2.09,1.97,2.01,119105
2022-11-28,SND,1.99,2.035,1.86,1.92,249695
2022-11-29,SND,1.9,1.95,1.825,1.91,492282
2022-11-30,SND,1.92,1.94,1.82,1.94,677233
2022-12-01,SND,1.99,1.99,1.845,1.87,449408
2022-12-02,SND,1.84,1.91,1.81,1.86,122404
2022-12-05,SND,1.85,1.865,1.68,1.71,286369
2022-12-06,SND,1.72,1.75,1.655,1.67,90856
2022-12-07,SND,1.7,1.8099,1.69,1.765,170589
2022-12-08,SND,1.8,1.8,1.71,1.71,106252
2022-12-09,SND,1.69,1.7157,1.6,1.62,99619
2022-12-12,SND,1.65,1.76,1.56,1.66,277533
2022-12-13,SND,1.68,1.765,1.68,1.75,42624
2022-12-14,SND,1.75,1.81,1.72,1.76,57909
2022-12-15,SND,1.76,1.79,1.7,1.76,76194
2022-12-16,SND,1.7014,1.72,1.7,1.71,27892
2022-12-19,SND,1.71,1.75,1.65,1.69,88841
2022-12-20,SND,1.69,1.72,1.68,1.69,77458
2022-12-21,SND,1.72,1.88,1.7109,1.86,80432
2022-12-22,SND,1.88,1.9,1.71,1.74,92449
2022-12-23,SND,1.76,1.8499,1.7101,1.78,35792
2022-12-27,SND,1.8,1.85,1.78,1.8,78067
2022-12-28,SND,1.82,1.82,1.71,1.71,96903
2022-12-29,SND,1.71,1.79,1.7,1.74,89590
2022-12-30,SND,1.71,1.79,1.71,1.79,124832
2023-01-03,SND,1.82,1.9,1.695,1.72,171554
2023-01-04,SND,1.72,1.75,1.71,1.72,66847
2023-01-05,SND,1.76,1.76,1.7,1.71,139206
2023-01-06,SND,1.72,1.8241,1.72,1.74,87319
2023-01-09,SND,1.77,1.88,1.77,1.87,61550
2023-01-10,SND,1.87,1.9,1.8028,1.86,52505
2023-01-11,SND,1.89,2.008,1.89,1.98,81901
2023-01-12,SND,1.99,2.1,1.98,2.1,134382
2023-01-13,SND,2.1,2.18,2.1,2.14,56569
2023-01-17,SND,2.16,2.2,2.0,2.082,104676
2023-01-18,SND,2.1,2.14,1.95,1.95,110246
2023-01-19,SND,1.97,2.0,1.9105,1.97,43034
2023-01-20,SND,1.95,1.96,1.87,1.9,110020
2023-01-23,SND,1.9,1.96,1.89,1.9,83617
2023-01-24,SND,1.92,1.9237,1.83,1.86,59311
2023-01-25,SND,1.85,1.9599,1.7901,1.9,91289
2023-01-26,SND,1.91,1.94,1.87,1.89,51733
2023-01-27,SND,1.9,1.95,1.86,1.9,48320
2023-01-30,SND,1.85,1.88,1.76,1.78,154969
2023-01-31,SND,1.77,1.87,1.77,1.81,88148
2023-02-01,SND,1.81,1.83,1.74,1.79,127238
2023-02-02,SND,1.77,1.84,1.76,1.79,113839
2023-02-03,SND,1.82,1.855,1.75,1.76,98824
2023-02-06,SND,1.76,1.79,1.73,1.75,45314
2023-02-07,SND,1.73,1.9,1.685,1.9,401602
2023-02-08,SND,1.93,1.93,1.75,1.78,350981
2023-02-09,SND,1.78,1.781,1.62,1.64,660105
2023-02-10,SND,1.63,1.7772,1.63,1.65,584186
2023-02-13,SND,1.65,1.78,1.65,1.73,84696
2023-02-14,SND,1.73,1.83,1.73,1.79,108799
2023-02-15,SND,1.77,1.81,1.73,1.74,77600
2023-02-16,SND,1.74,1.76,1.73,1.76,78156
2023-02-17,SND,1.71,1.74,1.67,1.74,78762
2023-02-21,SND,1.68,1.72,1.66,1.67,142483
2023-02-22,SND,1.67,1.69,1.62,1.62,101633
2023-02-23,SND,1.64,1.68,1.59,1.65,96211
2023-02-24,SND,1.68,1.7412,1.63,1.71,134214
2023-02-27,SND,1.7,1.7899,1.7,1.76,172497
2023-02-28,SND,1.77,1.84,1.74,1.77,481093
2023-03-01,SND,1.84,2.05,1.8,2.02,762881
2023-03-02,SND,2.03,2.24,1.93,2.24,449680
2023-03-03,SND,2.21,2.49,2.19,2.38,698047
2023-03-06,SND,2.36,2.45,2.31,2.36,324295
2023-03-07,SND,2.36,2.48,2.3,2.43,324949
2023-03-08,SND,2.45,2.51,2.3,2.5,328028
2023-03-09,SND,2.55,2.65,2.09,2.14,876572
2023-03-10,SND,2.12,2.2699,2.05,2.09,289520
2023-03-13,SND,2.02,2.14,2.0,2.0,242608
2023-03-14,SND,2.01,2.14,1.93,1.93,686025
2023-03-15,SND,1.86,1.87,1.74,1.78,754001
2023-03-16,SND,1.77,1.83,1.7,1.78,327145
2023-03-17,SND,1.8,1.8,1.63,1.65,580387
2023-03-20,SND,1.73,1.8043,1.71,1.75,199997
2023-03-21,SND,1.82,1.89,1.7499,1.75,586553
2023-03-22,SND,1.73,1.8687,1.72,1.72,138907
2023-03-23,SND,1.75,1.8499,1.56,1.62,552916
2023-03-24,SND,1.6,1.7076,1.58,1.65,162386
2023-03-27,SND,1.71,1.76,1.6,1.71,501239
2023-03-28,SND,1.71,1.8,1.71,1.78,168797
2023-03-29,SND,1.8,1.8,1.73,1.77,144979
2023-03-30,SND,1.8,1.8116,1.71,1.72,110437
2023-03-31,SND,1.75,1.79,1.725,1.76,146491
2023-04-03,SND,1.83,1.975,1.7871,1.82,648739
2023-04-04,SND,1.86,1.87,1.75,1.76,233549
2023-04-05,SND,1.79,1.855,1.7198,1.77,309349
2023-04-06,SND,1.77,1.825,1.7,1.73,208178
2023-04-10,SND,1.77,1.79,1.6773,1.75,636518
2023-04-11,SND,1.77,1.79,1.71,1.73,185616
2023-04-12,SND,1.73,1.7583,1.68,1.7,196210
2023-04-13,SND,1.68,1.76,1.68,1.72,227222
2023-04-14,SND,1.73,1.7424,1.66,1.68,141536
2023-04-17,SND,1.68,1.7,1.63,1.69,230802
2023-04-18,SND,1.69,1.7699,1.65,1.66,204051
2023-04-19,SND,1.68,1.7,1.65,1.69,140494
2023-04-20,SND,1.68,1.695,1.625,1.66,248265
2023-04-21,SND,1.65,1.68,1.64,1.66,139980
2023-04-24,SND,1.65,1.76,1.63,1.715,315199
2023-04-25,SND,1.73,1.73,1.62,1.65,211059
2023-04-26,SND,1.66,1.67,1.59,1.6,184873
2023-04-27,SND,1.58,1.65,1.5701,1.6,220515
2023-04-28,SND,1.63,1.775,1.61,1.72,420633
2023-05-01,SND,1.72,1.79,1.71,1.75,93709
2023-05-02,SND,1.75,1.75,1.65,1.68,252595
2023-05-03,SND,1.68,1.71,1.64,1.66,133695
2023-05-04,SND,1.65,1.689,1.6,1.66,127777
2023-05-05,SND,1.67,1.8,1.67,1.77,250256
2023-05-08,SND,1.8,1.86,1.74,1.81,157394
2023-05-09,SND,1.77,1.94,1.75,1.9,349122
2023-05-10,SND,1.74,1.79,1.67,1.69,432310
2023-05-11,SND,1.68,1.692,1.61,1.64,221230
2023-05-12,SND,1.67,1.69,1.61,1.61,144840
2023-05-15,SND,1.6,1.66,1.54,1.54,377667
2023-05-16,SND,1.57,1.58,1.4728,1.5,255543
2023-05-17,SND,1.52,1.6,1.49,1.59,366420
2023-05-18,SND,1.58,1.64,1.53,1.625,281657
2023-05-19,SND,1.63,1.66,1.57,1.61,95346
2023-05-22,SND,1.59,1.655,1.54,1.65,199175
2023-05-23,SND,1.65,1.68,1.62,1.65,208296
2023-05-24,SND,1.67,1.6772,1.59,1.65,298806
2023-05-25,SND,1.64,1.65,1.55,1.57,230152
2023-05-26,SND,1.61,1.61,1.5216,1.545,98111
2023-05-30,SND,1.54,1.5599,1.47,1.49,347383
2023-05-31,SND,1.48,1.5,1.44,1.48,118312
2023-06-01,SND,1.49,1.55,1.49,1.54,142442
2023-06-02,SND,1.55,1.61,1.55,1.57,198579
