Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SNES,407.76,407.76,357.36,376.56,65.9871
2022-11-14,SNES,376.56,410.4,336.0,344.4,100.7821
2022-11-15,SNES,360.0,926.16,340.8,467.76,21865.6017
2022-11-16,SNES,468.0,478.8,285.612,390.0,4755.9417
2022-11-17,SNES,328.8,369.612,320.4,354.0,809.2167
2022-11-18,SNES,340.8,366.0,314.52,363.6,562.225
2022-11-21,SNES,342.0,352.764,326.4,341.4,310.0667
2022-11-22,SNES,346.8,411.6,320.568,391.2,1002.4
2022-11-23,SNES,406.8,409.068,367.2,382.8,528.35
2022-11-25,SNES,382.8,391.2,374.4,384.0,70.6417
2022-11-28,SNES,382.8,400.788,345.6,348.0,402.8833
2022-11-29,SNES,375.6,391.2,348.0,378.0,364.9917
2022-11-30,SNES,375.6,377.4,344.4,348.0,136.1417
2022-12-01,SNES,354.0,365.568,349.2,351.6,92.9833
2022-12-02,SNES,351.612,421.2,351.612,364.8,550.8
2022-12-05,SNES,379.2,379.2,360.084,373.2,163.1667
2022-12-06,SNES,369.6,405.588,321.6,330.0,430.7333
2022-12-07,SNES,321.0,329.4,292.8,310.8,404.8917
2022-12-08,SNES,302.4,308.4,287.676,289.2,128.5667
2022-12-09,SNES,291.6,308.712,291.396,304.332,73.4167
2022-12-12,SNES,295.2,308.4,295.2,298.2,100.4083
2022-12-13,SNES,306.0,408.0,300.0,342.0,2560.6833
2022-12-14,SNES,320.4,327.0,295.212,324.6,150.1
2022-12-15,SNES,313.2,379.2,312.78,350.4,439.65
2022-12-16,SNES,350.4,361.2,312.0,316.8,327.0667
2022-12-19,SNES,334.8,358.548,321.0,342.0,308.9917
2022-12-20,SNES,333.6,338.4,308.4,337.2,102.9833
2022-12-21,SNES,336.0,347.28,318.012,334.8,26.6583
2022-12-22,SNES,338.4,349.08,326.448,328.8,26.4833
2022-12-23,SNES,330.984,373.104,330.0,342.0,266.6667
2022-12-27,SNES,351.6,354.0,336.0,336.0,103.325
2022-12-28,SNES,360.0,360.0,308.148,317.988,146.2167
2022-12-29,SNES,309.768,349.2,309.768,339.24,83.5167
2022-12-30,SNES,338.4,374.4,326.82,370.8,304.7917
2023-01-03,SNES,369.6,492.0,364.8,402.0,1010.475
