Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SOJC,22.36,22.73,22.36,22.64,23254
2022-11-14,SOJC,22.64,22.64,22.2902,22.33,30907
2022-11-15,SOJC,22.51,22.95,22.4162,22.93,21698
2022-11-16,SOJC,22.95,23.15,22.88,23.0,48151
2022-11-17,SOJC,22.76,23.06,22.6601,22.907,55342
2022-11-18,SOJC,22.9136,23.05,22.8375,22.97,28336
2022-11-21,SOJC,23.03,23.16,23.0,23.08,30382
2022-11-22,SOJC,23.1083,23.2,23.07,23.16,20386
2022-11-23,SOJC,23.1,23.35,23.1,23.35,25022
2022-11-25,SOJC,23.37,23.41,23.27,23.35,9188
2022-11-28,SOJC,23.41,23.46,23.245,23.33,30235
2022-11-29,SOJC,22.99,22.99,22.67,22.69,45735
2022-11-30,SOJC,22.68,23.01,22.52,23.01,58338
2022-12-01,SOJC,23.03,23.35,23.01,23.28,37568
2022-12-02,SOJC,23.14,23.435,22.9917,23.35,59184
2022-12-05,SOJC,23.33,23.4,23.04,23.04,39334
2022-12-06,SOJC,23.12,23.1545,22.91,22.97,19548
2022-12-07,SOJC,23.1,23.12,22.9601,23.09,26907
2022-12-08,SOJC,23.06,23.1487,22.87,22.87,43512
2022-12-09,SOJC,22.82,23.05,22.7,22.8,31911
2022-12-12,SOJC,22.8,22.95,22.65,22.71,38239
2022-12-13,SOJC,22.92,23.18,22.8976,23.145,28832
2022-12-14,SOJC,23.12,23.2,22.93,23.05,34435
2022-12-15,SOJC,22.97,23.0713,22.75,22.85,41407
2022-12-16,SOJC,22.7,22.85,22.6,22.85,47304
2022-12-19,SOJC,22.79,22.8658,22.66,22.71,33224
2022-12-20,SOJC,22.68,22.837,22.59,22.61,21931
2022-12-21,SOJC,22.66,22.87,22.43,22.45,44570
2022-12-22,SOJC,22.5311,22.6,22.2213,22.3,66999
2022-12-23,SOJC,22.26,22.44,22.2,22.31,49707
2022-12-27,SOJC,22.26,22.26,21.89,21.99,43849
2022-12-28,SOJC,22.05,22.05,21.62,21.66,33961
2022-12-29,SOJC,21.79,21.828,21.65,21.69,28845
2022-12-30,SOJC,21.68,21.95,21.18,21.18,71123
2023-01-03,SOJC,21.45,21.84,21.4,21.58,38737
2023-01-04,SOJC,21.76,22.17,21.7,22.11,27239
2023-01-05,SOJC,22.11,22.787,22.0762,22.49,32400
2023-01-06,SOJC,22.34,23.23,22.34,23.16,21191
2023-01-09,SOJC,23.1,23.44,22.79,23.2,36801
2023-01-10,SOJC,23.2,23.32,23.0759,23.25,18041
2023-01-11,SOJC,23.39,23.5,23.2983,23.48,20594
2023-01-12,SOJC,23.52,23.65,23.35,23.53,24566
2023-01-13,SOJC,23.46,23.8,23.4436,23.65,25740
2023-01-17,SOJC,23.64,23.9,23.64,23.84,17769
2023-01-18,SOJC,23.98,24.3,23.9216,24.04,55301
2023-01-19,SOJC,23.99,24.19,23.9143,24.08,21731
2023-01-20,SOJC,24.18,24.26,24.0922,24.21,24168
2023-01-23,SOJC,24.21,24.3825,24.21,24.32,34341
2023-01-24,SOJC,24.29,24.45,24.15,24.37,26366
2023-01-25,SOJC,24.26,24.43,24.25,24.41,53775
2023-01-26,SOJC,24.41,24.58,24.41,24.57,44569
2023-01-27,SOJC,24.57,24.63,24.38,24.38,27934
2023-01-30,SOJC,24.37,24.49,24.2648,24.37,54036
2023-01-31,SOJC,24.49,24.7,24.45,24.61,119562
2023-02-01,SOJC,24.57,24.7199,24.47,24.54,37302
2023-02-02,SOJC,24.64,24.7592,24.55,24.6,33931
2023-02-03,SOJC,24.39,24.4892,24.1,24.15,32639
2023-02-06,SOJC,24.03,24.03,23.812,23.97,22266
2023-02-07,SOJC,23.97,24.11,23.8477,23.96,35533
2023-02-08,SOJC,24.03,24.15,23.92,24.1299,26141
2023-02-09,SOJC,24.24,24.29,24.0511,24.09,13563
2023-02-10,SOJC,24.03,24.1099,23.9254,24.05,25027
2023-02-13,SOJC,24.02,24.2,24.0,24.13,35729
2023-02-14,SOJC,24.04,24.32,24.03,24.22,30456
2023-02-15,SOJC,24.22,24.35,24.16,24.35,23800
2023-02-16,SOJC,24.2,24.23,24.032,24.12,20339
2023-02-17,SOJC,24.05,24.1299,23.9428,24.07,13506
2023-02-21,SOJC,23.94,23.94,23.52,23.58,29377
2023-02-22,SOJC,23.7,23.89,23.58,23.84,49243
2023-02-23,SOJC,23.97,24.13,23.875,24.1218,28171
2023-02-24,SOJC,23.93,24.03,23.9,23.99,27308
2023-02-27,SOJC,23.68,23.8441,23.64,23.75,17541
