Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SPKBU,9.98,9.99,9.98,9.99,4233
2022-11-14,SPKBU,9.99,10.0,9.97,9.98,6187
2022-11-15,SPKBU,9.98,10.0,9.97,10.0,42188
2022-11-21,SPKBU,10.03,10.03,10.0,10.0,1121
2022-11-22,SPKBU,10.05,10.05,10.02,10.02,200
2022-11-23,SPKBU,10.01,10.01,10.01,10.01,15820
2022-11-29,SPKBU,10.02,10.02,10.02,10.02,974
2022-11-30,SPKBU,10.02,10.0267,10.02,10.0267,9500
2022-12-01,SPKBU,10.02,10.02,10.02,10.02,204
2022-12-06,SPKBU,10.0,10.01,10.0,10.01,778
2022-12-07,SPKBU,10.01,10.03,10.01,10.03,499
2022-12-08,SPKBU,10.04,10.04,10.02,10.04,3900
2022-12-09,SPKBU,9.93,10.03,9.93,10.03,625
2022-12-13,SPKBU,10.04,10.06,10.04,10.06,991
2022-12-14,SPKBU,10.06,10.06,10.06,10.06,200
2022-12-19,SPKBU,10.05,10.07,10.05,10.07,620
2022-12-22,SPKBU,9.87,10.08,9.87,10.08,4633
2022-12-23,SPKBU,10.05,10.05,10.05,10.05,200
2022-12-28,SPKBU,10.05,10.05,10.05,10.05,600
2022-12-29,SPKBU,10.08,10.08,10.08,10.08,336
2023-01-03,SPKBU,9.87,10.07,9.87,10.07,1930
2023-01-04,SPKBU,10.08,10.08,10.08,10.08,1004
2023-01-06,SPKBU,10.1,10.1,10.1,10.1,2100
2023-01-09,SPKBU,10.11,10.12,10.11,10.12,1401
2023-01-18,SPKBU,10.13,10.13,10.1,10.1,200
2023-01-19,SPKBU,10.12,10.12,10.12,10.12,4756
2023-01-20,SPKBU,10.12,10.12,10.12,10.12,1100
2023-01-23,SPKBU,10.12,10.12,10.12,10.12,613
2023-01-25,SPKBU,10.14,10.14,10.14,10.14,779
2023-01-30,SPKBU,10.16,10.16,10.16,10.16,400
2023-01-31,SPKBU,10.13,10.16,10.13,10.16,300
2023-02-01,SPKBU,10.16,10.1602,10.16,10.16,714
2023-02-02,SPKBU,10.16,10.16,10.16,10.16,400
2023-02-03,SPKBU,10.18,10.18,10.18,10.18,5600
2023-02-07,SPKBU,10.14,10.14,10.14,10.14,529
2023-02-13,SPKBU,10.17,10.17,10.16,10.16,2200
2023-02-14,SPKBU,10.1604,10.1604,10.1604,10.1604,100
2023-02-22,SPKBU,10.16,10.18,10.16,10.17,114629
2023-02-23,SPKBU,10.1715,10.19,10.1715,10.19,1200
2023-02-24,SPKBU,10.205,10.205,10.205,10.205,100
2023-02-27,SPKBU,9.9341,10.2,9.22,9.98,13054
2023-02-28,SPKBU,9.9917,10.47,9.7401,10.47,9643
2023-03-01,SPKBU,10.0,10.12,9.915,10.1,7921
2023-03-02,SPKBU,10.0,10.21,9.2888,10.2,3251
2023-03-03,SPKBU,10.4,10.4,10.4,10.4,179
2023-03-07,SPKBU,10.24,10.88,10.11,10.11,15088
2023-03-08,SPKBU,10.2799,10.28,10.2799,10.28,400
2023-03-09,SPKBU,10.4539,10.4642,10.19,10.1991,6750
2023-03-10,SPKBU,10.2381,10.794,10.14,10.2,5270
2023-03-13,SPKBU,10.21,10.68,10.1801,10.19,1200
2023-03-14,SPKBU,10.19,10.68,10.18,10.18,901
2023-03-17,SPKBU,10.23,10.23,10.2,10.2,601
