Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SRAX,1.88,2.03,1.83,2.03,18216.0
2022-11-14,SRAX,2.0,2.03,1.8201,1.83,21444.0
2022-11-15,SRAX,1.96,1.96,1.68,1.7,44585.0
2022-11-16,SRAX,1.67,1.8088,1.65,1.74,8786.0
2022-11-17,SRAX,1.74,1.78,1.66,1.78,33114.0
2022-11-18,SRAX,1.8,1.99,1.7,1.79,60437.0
2022-11-21,SRAX,1.79,1.8173,1.67,1.7,12529.0
2022-11-22,SRAX,1.67,1.75,1.65,1.66,19896.0
2022-11-23,SRAX,1.71,1.77,1.66,1.75,14799.0
2022-11-25,SRAX,1.78,1.79,1.7202,1.765,5395.0
2022-11-28,SRAX,1.76,1.76,1.67,1.73,48544.0
2022-11-29,SRAX,1.77,1.8,1.6801,1.74,20269.0
2022-11-30,SRAX,1.76,1.82,1.71,1.8,32276.0
2022-12-01,SRAX,1.7999,1.7999,1.6911,1.74,20440.0
2022-12-02,SRAX,1.73,1.75,1.68,1.72,14962.0
2022-12-05,SRAX,1.69,1.7,1.55,1.59,35673.0
2022-12-06,SRAX,1.57,1.6,1.5,1.51,27881.0
2022-12-07,SRAX,1.55,1.55,1.45,1.47,17068.0
2022-12-08,SRAX,1.5,1.51,1.4,1.48,61596.0
2022-12-09,SRAX,1.46,1.52,1.411,1.51,29457.0
2022-12-12,SRAX,1.5,1.52,1.4297,1.52,76349.0
2022-12-13,SRAX,1.52,1.52,1.4401,1.49,25969.0
2022-12-14,SRAX,1.4599,1.5,1.41,1.44,49732.0
2022-12-15,SRAX,1.44,1.44,1.2,1.29,86937.0
2022-12-16,SRAX,1.22,1.32,1.21,1.3,56774.0
2022-12-19,SRAX,1.2453,1.3374,1.16,1.18,56568.0
2022-12-20,SRAX,1.25,1.25,1.21,1.25,22030.0
2022-12-21,SRAX,1.3,1.327,1.15,1.25,56982.0
2022-12-22,SRAX,1.22,1.38,1.2,1.32,73826.0
2022-12-23,SRAX,1.28,1.28,1.22,1.25,2085055.0
2022-12-27,SRAX,1.22,1.2399,1.15,1.2,64550.0
2022-12-28,SRAX,1.18,1.19,1.16,1.17,506998.0
2022-12-29,SRAX,1.175,1.4,1.15,1.33,393040.0
2022-12-30,SRAX,1.3,1.59,1.3,1.53,340217.0
2023-01-03,SRAX,1.5,1.71,1.5,1.59,91941.0
2023-01-04,SRAX,1.5901,1.655,1.45,1.49,47039.0
2023-01-05,SRAX,1.46,1.5,1.375,1.47,27288.0
2023-01-06,SRAX,1.53,1.53,1.4,1.41,30000.0
2023-01-09,SRAX,1.37,1.66,1.37,1.63,88334.0
2023-01-10,SRAX,1.63,2.04,1.63,1.93,180273.0
2023-01-11,SRAX,1.97,2.19,1.91,2.16,89627.0
2023-01-12,SRAX,2.2,2.2,2.07,2.14,47063.0
2023-01-13,SRAX,2.07,2.12,1.9946,2.12,116923.0
2023-01-17,SRAX,2.17,2.17,2.0,2.14,70492.0
2023-01-18,SRAX,2.17,2.17,1.9,1.94,50782.0
2023-01-19,SRAX,2.0001,2.14,1.94,2.11,164891.0
2023-01-20,SRAX,2.13,2.21,2.0944,2.17,42405.0
2023-01-23,SRAX,2.11,2.14,2.0939,2.11,22703.0
2023-01-24,SRAX,2.09,2.2,2.05,2.06,17806.0
2023-01-25,SRAX,2.06,2.14,2.06,2.11,18380.0
2023-01-26,SRAX,2.1,2.18,2.0708,2.1,17957.0
2023-01-27,SRAX,2.07,2.24,2.07,2.14,5687.0
2023-01-30,SRAX,2.12,2.145,2.01,2.01,15193.0
2023-01-31,SRAX,2.01,2.13,2.01,2.1,15377.0
2023-02-01,SRAX,2.12,2.47,2.12,2.35,236710.0
2023-02-02,SRAX,2.43,2.43,2.12,2.28,47178.0
2023-02-03,SRAX,2.23,2.34,2.2,2.31,110045.0
2023-02-06,SRAX,2.39,2.4499,2.2656,2.3,24868.0
2023-02-07,SRAX,2.32,2.32,2.18,2.23,10699.0
2023-02-08,SRAX,2.25,2.3,2.22,2.28,7300.0
2023-02-09,SRAX,2.28,2.35,2.262,2.32,56443.0
2023-02-10,SRAX,2.08,2.31,1.89,1.95,91769.0
2023-02-13,SRAX,1.79,1.98,1.79,1.87,40831.0
2023-02-14,SRAX,1.88,1.92,1.87,1.87,46679.0
2023-02-15,SRAX,1.88,1.99,1.81,1.87,14342.0
2023-02-16,SRAX,1.83,1.83,1.61,1.61,47470.0
2023-02-17,SRAX,1.7,1.7899,1.56,1.62,96038.0
2023-02-21,SRAX,1.61,1.835,1.61,1.73,45195.0
2023-02-22,SRAX,1.74,1.76,1.73,1.74,18941.0
2023-02-23,SRAX,1.74,1.81,1.65,1.69,63291.0
2023-02-24,SRAX,1.7,1.73,1.69,1.69,18885.0
2023-02-27,SRAX,1.68,1.7,1.61,1.61,13655.0
2023-02-28,SRAX,1.65,1.7,1.65,1.66,4535.0
2023-03-01,SRAX,1.7299,1.73,1.67,1.68,8498.0
2023-03-02,SRAX,1.71,1.7362,1.65,1.65,8572.0
2023-03-03,SRAX,1.6999,1.77,1.6175,1.72,27224.0
2023-03-06,SRAX,1.79,1.8056,1.47,1.61,74636.0
2023-03-07,SRAX,1.59,1.69,1.5,1.58,33408.0
2023-03-08,SRAX,1.63,1.6601,0.5755,0.6,2911610.0
2023-03-09,SRAX,0.61,0.7799,0.515,0.61,908347.0
2023-03-10,SRAX,0.5151,0.6,0.2,0.442,585361.0
2023-03-13,SRAX,0.37,0.6,0.37,0.44,75834.0
2023-03-14,SRAX,0.3619,0.44,0.26,0.44,75599.0
2023-03-15,SRAX,0.6,0.6,0.38,0.4421,45934.0
2023-03-16,SRAX,0.59,0.6,0.41,0.48,174102.0
2023-03-17,SRAX,0.3801,0.45,0.3801,0.45,45074.0
2023-03-20,SRAX,0.6,0.609,0.6,0.6,25276.0
2023-03-21,SRAX,0.44,0.59,0.44,0.59,4600.0
2023-03-22,SRAX,0.58,0.58,0.22,0.55,11609.0
2023-03-23,SRAX,0.6,0.62,0.46,0.59995,34211.0
2023-03-24,SRAX,0.35,0.4725,0.35,0.4101,18424.0
2023-03-27,SRAX,0.6,0.6,0.455,0.6,20130.0
2023-03-29,SRAX,0.5995,0.5995,0.4001,0.48,9297.0
2023-03-30,SRAX,0.55,0.55,0.45,0.5,11065.0
2023-03-31,SRAX,0.5,0.58,0.5,0.58,21781.0
2023-04-03,SRAX,0.58,0.58,0.5,0.5,3711.0
2023-04-04,SRAX,0.59,0.59,0.4,0.5,86684.0
2023-04-05,SRAX,0.4,0.59,0.4,0.4,4642.0
2023-04-06,SRAX,0.495,0.59,0.405,0.405,2884.0
2023-04-10,SRAX,0.495,0.495,0.4,0.4,2689.0
2023-04-11,SRAX,0.57,0.57,0.4,0.425,8242.0
2023-04-12,SRAX,0.4,0.51,0.4,0.51,3422.0
2023-04-13,SRAX,0.4,0.52,0.4,0.52,3198.0
2023-04-14,SRAX,0.57,0.57,0.57,0.57,267.0
2023-04-17,SRAX,0.4,0.4,0.4,0.4,5395.0
2023-04-18,SRAX,0.4,0.4,0.4,0.4,2228.0
2023-04-19,SRAX,0.4,0.41,0.4,0.405,5717.0
2023-04-20,SRAX,0.35,0.58,0.35,0.41,2886.0
2023-04-21,SRAX,0.51,0.51,0.51,0.51,1002.0
2023-04-25,SRAX,0.5,0.51,0.4,0.4459,7981.0
2023-04-26,SRAX,0.58,0.58,0.51,0.52,1093.0
2023-04-27,SRAX,0.5,0.5,0.45,0.45,696.0
2023-04-28,SRAX,0.57,0.57,0.39,0.51,7980.0
2023-05-01,SRAX,0.35,0.56,0.35,0.56,27852.0
2023-05-03,SRAX,0.26,0.45,0.26,0.4,70819.0
2023-05-04,SRAX,0.56,0.56,0.35,0.55,690.0
2023-05-05,SRAX,0.25005,0.52,0.25005,0.52,371.0
2023-05-08,SRAX,0.5,0.5,0.5,0.5,100.0
2023-05-09,SRAX,0.5,0.5,0.5,0.5,100.0
2023-05-10,SRAX,0.5,0.5,0.25,0.5,2725.0
2023-05-11,SRAX,0.475,0.475,0.25,0.4,1005.0
2023-05-12,SRAX,0.3,0.35,0.25,0.25,55540.0
