Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SSBK,29.61,29.61,29.61,29.61,559
2022-11-14,SSBK,29.34,29.41,29.1,29.34,2259
2022-11-15,SSBK,29.5,29.5,29.1,29.4,2877
2022-11-16,SSBK,29.15,29.46,29.15,29.25,1216
2022-11-17,SSBK,29.25,29.5,28.75,29.13,3648
2022-11-18,SSBK,29.46,29.46,29.24,29.24,779
2022-11-21,SSBK,29.39,29.4999,29.06,29.38,2687
2022-11-22,SSBK,29.38,29.45,29.38,29.38,1563
2022-11-23,SSBK,29.38,29.44,28.8801,29.22,6179
2022-11-25,SSBK,29.37,29.5,29.24,29.5,609
2022-11-28,SSBK,29.49,29.5,29.0,29.3,9143
2022-11-29,SSBK,29.29,29.445,28.8501,29.09,12871
2022-11-30,SSBK,29.26,29.26,28.82,29.09,4292
2022-12-01,SSBK,29.34,29.34,28.81,29.11,16910
2022-12-02,SSBK,29.33,29.48,28.8501,29.48,11446
2022-12-05,SSBK,29.5,29.5,28.756,29.25,6001
2022-12-06,SSBK,29.25,29.39,28.7826,28.98,7425
2022-12-07,SSBK,28.98,29.19,28.8,28.99,6023
2022-12-08,SSBK,29.1,29.1,28.41,28.7,8923
2022-12-09,SSBK,28.7,29.0,28.34,28.5,4046
2022-12-12,SSBK,28.48,28.69,28.0482,28.37,7036
2022-12-13,SSBK,28.63,28.98,28.04,28.04,13387
2022-12-14,SSBK,28.1,28.98,27.918,28.05,6351
2022-12-15,SSBK,28.31,28.675,27.8,27.8,3373
2022-12-16,SSBK,28.67,28.68,28.09,28.25,15796
2022-12-19,SSBK,28.27,28.27,27.5001,27.76,8927
2022-12-20,SSBK,27.87,27.99,27.75,27.75,2816
2022-12-21,SSBK,27.93,28.34,27.75,27.76,5896
2022-12-22,SSBK,27.64,28.6625,27.515,27.74,4237
2022-12-23,SSBK,27.77,28.965,27.63,27.63,5143
2022-12-27,SSBK,27.82,28.73,27.15,27.51,13759
2022-12-28,SSBK,27.51,27.85,27.06,27.31,6760
2022-12-29,SSBK,27.57,28.95,27.57,27.96,3546
2022-12-30,SSBK,28.24,28.99,28.15,28.95,1980
2023-01-03,SSBK,29.0,29.0,28.52,28.52,4193
2023-01-04,SSBK,28.77,28.99,28.03,28.7,6076
2023-01-05,SSBK,28.51,28.89,28.25,28.42,9295
2023-01-06,SSBK,28.55,28.62,27.99,28.1,14582
2023-01-09,SSBK,28.1,28.36,28.1,28.19,44256
2023-01-10,SSBK,28.05,28.23,28.05,28.23,38271
2023-01-11,SSBK,28.08,28.5,28.01,28.24,10394
2023-01-12,SSBK,28.12,28.5,27.41,28.21,12390
2023-01-13,SSBK,28.19,28.19,28.01,28.19,6210
2023-01-17,SSBK,28.245,28.79,28.245,28.605,4137
2023-01-18,SSBK,28.8,28.99,27.74,27.74,14779
2023-01-19,SSBK,27.84,28.9,27.55,28.09,16762
2023-01-20,SSBK,29.19,29.2028,27.56,28.19,18459
2023-01-23,SSBK,28.25,29.44,28.03,28.23,15583
2023-01-24,SSBK,28.65,28.65,28.27,28.44,5476
2023-01-25,SSBK,28.61,28.7,28.33,28.5,9740
2023-01-26,SSBK,28.49,29.15,28.41,28.59,5896
2023-01-27,SSBK,28.42,28.95,28.42,28.49,2696
2023-01-30,SSBK,28.27,28.72,28.0948,28.51,3395
2023-01-31,SSBK,28.73,28.73,28.03,28.68,13502
2023-02-01,SSBK,28.55,28.68,28.54,28.66,11206
2023-02-02,SSBK,28.85,29.0,28.61,28.965,12762
2023-02-03,SSBK,28.755,29.66,28.755,29.15,30431
2023-02-06,SSBK,29.3,29.396,28.9,29.12,35934
2023-02-07,SSBK,29.48,30.1513,29.145,29.9425,28398
2023-02-08,SSBK,30.81,30.81,29.57,30.38,18591
2023-02-09,SSBK,31.0,31.0,30.25,30.51,8623
2023-02-10,SSBK,30.48,30.48,30.32,30.38,13215
2023-02-13,SSBK,30.1,30.11,29.96,30.08,9198
2023-02-14,SSBK,29.99,30.22,29.5601,30.22,13234
2023-02-15,SSBK,29.82,30.23,29.4401,30.23,10660
2023-02-16,SSBK,29.94,30.19,29.81,30.19,6641
2023-02-17,SSBK,29.9614,30.17,29.53,29.61,26202
2023-02-21,SSBK,29.47,29.78,29.18,29.63,8128
2023-02-22,SSBK,29.42,29.85,28.5999,29.11,21357
2023-02-23,SSBK,28.8,30.2,28.8,29.57,13798
2023-02-24,SSBK,29.16,29.5,29.0,29.17,7619
2023-02-27,SSBK,29.3,29.45,29.1,29.17,6802
2023-02-28,SSBK,29.07,29.19,28.8,28.96,7702
2023-03-01,SSBK,28.8,29.07,28.8,28.81,4343
2023-03-02,SSBK,28.73,28.98,28.0201,28.29,15091
2023-03-03,SSBK,28.12,28.425,28.1,28.15,7119
2023-03-06,SSBK,28.15,28.15,26.94,27.24,20833
2023-03-07,SSBK,27.24,27.4,26.2301,27.18,23408
2023-03-08,SSBK,27.0,27.21,26.73,27.05,12755
2023-03-09,SSBK,27.1,27.35,26.265,26.5,17454
2023-03-10,SSBK,26.07,26.5,25.44,25.92,13897
2023-03-13,SSBK,25.59,25.59,20.41,23.5,60870
2023-03-14,SSBK,24.5,24.55,23.45,23.45,74735
2023-03-15,SSBK,23.35,24.04,23.035,23.61,13965
2023-03-16,SSBK,23.64,24.88,23.54,24.49,18819
2023-03-17,SSBK,24.495,24.7,24.0001,24.25,43220
2023-03-20,SSBK,24.41,24.99,23.65,23.65,12681
2023-03-21,SSBK,24.06,25.97,24.0,24.1,22059
2023-03-22,SSBK,24.1,24.13,23.375,23.9,6024
2023-03-23,SSBK,23.98,24.13,22.9,23.16,21387
2023-03-24,SSBK,23.05,23.48,22.72,22.75,67317
2023-03-27,SSBK,23.04,24.39,22.81,22.89,16408
2023-03-28,SSBK,22.81,23.305,22.68,22.68,7490
2023-03-29,SSBK,22.83,23.31,22.6,22.69,5608
2023-03-30,SSBK,22.76,23.01,22.5,22.55,11252
2023-03-31,SSBK,22.35,22.89,22.1101,22.55,19544
2023-04-03,SSBK,22.38,23.0,22.11,22.4,17970
2023-04-04,SSBK,22.25,22.58,21.73,21.84,18579
2023-04-05,SSBK,21.73,22.38,21.6,22.0,9039
2023-04-06,SSBK,21.99,22.1,21.8286,22.025,11807
2023-04-10,SSBK,21.98,23.84,21.62,22.72,110302
2023-04-11,SSBK,22.68,24.34,22.68,23.6,19047
2023-04-12,SSBK,23.45,24.26,23.34,23.61,15221
2023-04-13,SSBK,23.6,24.94,23.6,24.31,9384
2023-04-14,SSBK,24.48,25.045,23.73,23.86,33368
2023-04-17,SSBK,24.0,24.24,23.485,23.9,13067
2023-04-18,SSBK,23.71,24.83,23.13,23.35,14946
2023-04-19,SSBK,23.35,24.28,23.23,23.44,4563
2023-04-20,SSBK,23.79,24.41,23.13,23.43,17557
