Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SSD,92.93,94.34,91.7,93.57,207089.0
2022-11-14,SSD,92.61,93.23,90.24,90.44,183325.0
2022-11-15,SSD,92.54,93.62,91.62,92.49,267331.0
2022-11-16,SSD,92.5,92.58,91.595,92.09,149347.0
2022-11-17,SSD,90.36,91.24,88.73,90.57,167973.0
2022-11-18,SSD,92.15,92.36,90.82,91.91,225189.0
2022-11-21,SSD,91.45,91.89,90.85,91.62,209904.0
2022-11-22,SSD,92.25,92.7,91.44,92.49,109590.0
2022-11-23,SSD,92.95,93.64,92.12,92.75,114825.0
2022-11-25,SSD,93.18,93.4899,92.82,93.04,53648.0
2022-11-28,SSD,91.78,92.49,91.07,91.74,240466.0
2022-11-29,SSD,90.99,92.1,90.87,91.53,161340.0
2022-11-30,SSD,91.15,93.07,89.0,93.05,253057.0
2022-12-01,SSD,94.05,94.43,93.36,94.18,134452.0
2022-12-02,SSD,92.37,95.62,92.28,94.52,166953.0
2022-12-05,SSD,93.42,93.51,92.31,93.2,176541.0
2022-12-06,SSD,93.15,93.72,90.78,91.74,211642.0
2022-12-07,SSD,92.12,92.89,91.385,92.5,188319.0
2022-12-08,SSD,92.88,94.12,92.03,93.57,132820.0
2022-12-09,SSD,92.85,93.94,91.98,92.11,132315.0
2022-12-12,SSD,92.87,95.12,92.27,94.56,175531.0
2022-12-13,SSD,98.46,99.18,95.245,95.75,182345.0
2022-12-14,SSD,95.79,96.99,94.55,94.85,243587.0
2022-12-15,SSD,93.29,93.4,90.35,92.71,261456.0
2022-12-16,SSD,91.48,92.74,90.76,91.21,729319.0
2022-12-19,SSD,91.13,91.73,90.13,90.71,266398.0
2022-12-20,SSD,90.27,91.51,89.56,90.36,132696.0
2022-12-21,SSD,91.0,91.61,90.4,90.79,146022.0
2022-12-22,SSD,89.8,89.8,87.07,88.74,167864.0
2022-12-23,SSD,88.45,89.68,87.97,89.15,85892.0
2022-12-27,SSD,89.06,89.79,88.8211,89.33,107780.0
2022-12-28,SSD,89.9,90.015,88.32,88.32,174689.0
2022-12-29,SSD,89.35,91.2123,89.35,90.81,125453.0
2022-12-30,SSD,90.0,90.28,88.15,88.66,105245.0
2023-01-03,SSD,89.81,91.715,89.5237,91.42,189490.0
2023-01-04,SSD,92.21,94.42,92.05,92.91,216318.0
