Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,STAF,24.4,24.999,23.25,24.627,2642.2
2022-11-14,STAF,24.129,29.2,24.129,27.5,8237.7
2022-11-15,STAF,27.5,28.8,26.7,28.8,1539.7
2022-11-16,STAF,28.9,28.9,26.983,27.835,855.7
2022-11-17,STAF,26.3,26.9,25.401,26.3,586.4
2022-11-18,STAF,27.999,27.999,26.523,27.599,400.6
2022-11-21,STAF,27.0,27.499,25.6,27.05,8767.5
2022-11-22,STAF,29.2,29.545,25.9,26.0,28749.9
2022-11-23,STAF,26.8,26.8,23.8,24.0,10521.0
2022-11-25,STAF,24.9,25.4,24.3,25.05,1411.8
2022-11-28,STAF,25.7,27.8,24.9,26.304,16437.5
2022-11-29,STAF,25.8,26.999,25.6,26.2,4634.5
2022-11-30,STAF,25.8,26.9,25.8,26.9,3317.9
2022-12-01,STAF,26.2,28.699,26.1,27.2,3910.9
2022-12-02,STAF,27.5,28.334,27.1,27.6,3012.3
2022-12-05,STAF,27.1,29.499,27.0,29.2,3976.1
2022-12-06,STAF,29.8,29.813,28.0,28.25,2079.0
2022-12-07,STAF,29.6,29.6,27.501,28.422,1910.7
2022-12-08,STAF,28.5,29.1,27.8,28.4,1556.6
2022-12-09,STAF,28.4,29.7,27.9,28.292,2409.3
2022-12-12,STAF,28.8,28.8,27.61,28.212,1421.1
2022-12-13,STAF,28.8,29.336,27.9,28.899,3852.9
2022-12-14,STAF,29.399,29.7,28.4,29.4,2986.0
2022-12-15,STAF,29.101,29.827,29.101,29.3,1823.2
2022-12-16,STAF,29.5,31.5,28.901,30.9,6609.9
2022-12-19,STAF,30.6,31.5,29.1,30.7,3182.4
2022-12-20,STAF,30.1,31.6,29.601,30.0,3115.2
2022-12-21,STAF,29.6,31.0,28.5,30.6,2852.7
2022-12-22,STAF,30.783,30.9,29.7,30.4,1106.9
2022-12-23,STAF,30.1,30.7,29.8,29.85,2191.7
2022-12-27,STAF,29.9,30.6,28.9,29.05,3243.7
2022-12-28,STAF,29.7,30.2,29.0,30.192,4199.4
2022-12-29,STAF,30.5,31.5,29.486,29.5,6521.9
2022-12-30,STAF,29.5,30.0,28.2,28.2,1567.0
2023-01-03,STAF,30.0,30.273,28.5,29.3,3999.7
2023-01-04,STAF,29.2,29.9,28.5,29.316,3414.6
2023-01-05,STAF,28.7,29.39,28.5,28.864,3562.9
2023-01-06,STAF,29.0,29.6,27.4,28.2,3204.4
2023-01-09,STAF,28.9,28.9,28.3,28.46,1777.1
2023-01-10,STAF,29.0,29.3,28.201,28.7,1368.2
2023-01-11,STAF,28.8,29.3,28.501,29.3,1324.3
2023-01-12,STAF,29.292,30.9,29.15,30.4,2642.3
2023-01-13,STAF,31.05,33.0,30.6,32.7,5781.6
2023-01-17,STAF,33.5,35.873,32.92,35.8,12755.8
2023-01-18,STAF,34.5,35.489,32.5,34.7,4732.4
2023-01-19,STAF,34.53,35.4,32.7,33.0,1403.9
2023-01-20,STAF,31.2,32.7,29.4,32.1,5968.5
2023-01-23,STAF,32.4,32.4,30.4,31.1,3891.6
2023-01-24,STAF,30.1,31.6,29.501,30.6,5257.0
2023-01-25,STAF,29.6,31.5,29.5,31.0,2733.3
2023-01-26,STAF,30.75,31.7,30.2,31.0,1184.8
2023-01-27,STAF,30.8,31.7,30.6,31.7,1916.3
2023-01-30,STAF,30.9,31.413,29.238,30.1,3055.6
2023-01-31,STAF,30.3,31.2,29.801,31.15,871.4
2023-02-01,STAF,30.3,31.699,30.3,31.263,1267.8
2023-02-02,STAF,31.6,33.4,30.601,33.3,4993.5
2023-02-03,STAF,33.5,34.699,32.741,33.6,1962.8
2023-02-06,STAF,34.5,34.699,31.7,32.1,1268.5
2023-02-07,STAF,32.0,40.0,23.5,24.7,126639.7
2023-02-08,STAF,24.8,25.2,22.401,22.7,18338.0
2023-02-09,STAF,23.5,23.7,22.5,23.2,9338.8
2023-02-10,STAF,23.5,24.1,22.4,23.5,10621.1
2023-02-13,STAF,23.5,23.5,21.7,21.9,6274.1
2023-02-14,STAF,21.8,22.9,21.6,21.7,3337.7
2023-02-15,STAF,22.3,22.781,21.5,22.6,5512.3
2023-02-16,STAF,22.8,22.9,21.2,22.0,3449.9
2023-02-17,STAF,21.8,22.098,17.4,20.1,26699.1
2023-02-21,STAF,19.6,20.43,18.6,19.8,3989.2
2023-02-22,STAF,19.85,20.0,18.1,19.0,5086.0
2023-02-23,STAF,19.45,19.685,17.6,18.8,6494.1
2023-02-24,STAF,18.6,18.793,18.0,18.4,3007.8
2023-02-27,STAF,19.0,19.0,17.6,18.1,3435.8
2023-02-28,STAF,19.0,19.0,17.8,17.9,1597.3
2023-03-01,STAF,18.2,19.39,17.9,19.1,4177.0
2023-03-02,STAF,19.8,20.7,18.0,20.2,4151.2
2023-03-03,STAF,20.25,20.79,19.5,20.2,2949.6
2023-03-06,STAF,20.199,20.199,18.4,18.7,2413.1
2023-03-07,STAF,18.932,18.932,18.0,18.7,3560.1
2023-03-08,STAF,19.0,19.316,17.7,17.8,3848.9
2023-03-09,STAF,18.1,18.4,16.7,17.4,3733.3
2023-03-10,STAF,16.9,17.7,16.2,16.65,2521.0
2023-03-13,STAF,16.75,17.0,15.2,15.6,5977.7
2023-03-14,STAF,17.0,17.5,15.3,15.6,3970.6
2023-03-15,STAF,15.6,16.2,14.6,15.6,2344.8
2023-03-16,STAF,15.7,15.799,14.6,15.1,3434.6
2023-03-17,STAF,15.4,16.8,14.1,15.2,4605.5
2023-03-20,STAF,15.0,15.241,14.1,14.3,1988.8
2023-03-21,STAF,14.1,15.988,14.1,15.1,963.4
2023-03-22,STAF,15.43,15.5,14.7,14.9,1088.7
2023-03-23,STAF,15.084,15.226,14.65,15.0,1095.6
2023-03-24,STAF,14.504,15.3,14.504,15.0,1110.6
2023-03-27,STAF,15.4,15.5,15.01,15.5,253.7
2023-03-28,STAF,15.7,15.7,13.8,13.8,3625.1
2023-03-29,STAF,13.8,14.0,13.5,14.0,920.1
2023-03-30,STAF,14.0,14.6,13.5,14.6,3550.9
2023-03-31,STAF,14.2,15.3,14.064,15.3,2169.3
2023-04-03,STAF,14.8,14.985,13.401,14.294,3427.3
2023-04-04,STAF,14.3,14.3,13.2,13.301,1700.2
2023-04-05,STAF,13.6,13.8,13.2,13.2,2699.7
2023-04-06,STAF,13.2,14.058,13.2,14.0,852.8
2023-04-10,STAF,13.8,14.1,13.3,13.7,496.7
2023-04-11,STAF,13.85,13.85,12.7,13.3,1173.4
2023-04-12,STAF,13.895,13.9,12.7,13.9,8115.6
2023-04-13,STAF,13.5,13.75,13.1,13.6,990.3
2023-04-14,STAF,13.7,14.0,13.6,14.0,1017.3
2023-04-17,STAF,13.6,14.1,13.1,13.3,4956.6
