Date,Ticker,Open,High,Low,Close,Volume
2024-07-10,SUNS,8.61,12.7199,8.11,11.3,290308
2024-07-11,SUNS,11.3,14.85,10.5001,14.16,438578
2024-07-12,SUNS,12.74,13.9,11.26,13.75,291034
2024-07-15,SUNS,12.01,12.75,11.4,12.54,236747
2024-07-16,SUNS,11.41,12.24,11.26,12.04,283345
2024-07-17,SUNS,11.6,12.0,11.05,11.17,159183
2024-07-18,SUNS,10.77,11.93,10.52,11.28,173601
2024-07-19,SUNS,11.26,11.26,10.45,10.45,101237
2024-07-22,SUNS,10.47,11.71,10.45,11.25,182296
2024-07-23,SUNS,11.02,11.85,10.81,11.68,147787
2024-07-24,SUNS,11.4,11.9262,11.4,11.64,143558
2024-07-25,SUNS,11.51,11.84,11.41,11.68,148133
2024-07-26,SUNS,11.65,11.745,11.36,11.52,145598
2024-07-29,SUNS,11.33,11.61,11.06,11.52,105742
2024-07-30,SUNS,11.52,11.6,11.1607,11.55,73255
2024-07-31,SUNS,11.49,12.24,11.35,12.0,98926
2024-08-01,SUNS,11.86,12.16,11.8219,12.12,103617
2024-08-02,SUNS,11.96,12.2,11.23,12.12,118723
2024-08-05,SUNS,11.5,12.13,10.88,12.04,138221
2024-08-06,SUNS,12.0,12.14,11.86,12.01,78393
2024-08-07,SUNS,12.0,12.21,11.51,11.51,110453
2024-08-08,SUNS,11.5,11.5,10.7728,10.94,71573
2024-08-09,SUNS,11.06,11.22,10.8,10.9,57052
2024-08-12,SUNS,10.87,11.23,10.69,10.75,68409
2024-08-13,SUNS,10.74,11.1,10.47,10.93,60949
2024-08-14,SUNS,11.03,11.5,10.92,11.21,127407
2024-08-15,SUNS,11.38,13.337,11.35,12.33,217822
2024-08-16,SUNS,12.38,13.0657,11.0619,11.26,302577
2024-08-19,SUNS,11.55,12.3933,11.55,12.08,78238
2024-08-20,SUNS,12.21,12.42,12.0,12.36,60123
2024-08-21,SUNS,12.49,13.2684,12.18,13.14,70542
2024-08-22,SUNS,13.05,13.31,12.55,12.58,39069
2024-08-23,SUNS,12.75,13.2876,12.75,13.28,29892
2024-08-26,SUNS,13.28,13.43,13.0,13.36,53196
2024-08-27,SUNS,13.28,13.7,13.02,13.68,42175
2024-08-28,SUNS,13.75,13.87,13.4,13.75,81119
2024-08-29,SUNS,13.95,14.4,13.8,14.34,56582
2024-08-30,SUNS,14.22,14.23,13.5,14.09,76001
2024-09-03,SUNS,14.14,14.73,14.09,14.65,34389
2024-09-04,SUNS,14.76,14.8999,14.3512,14.5,27104
2024-09-05,SUNS,14.4,14.505,13.66,13.81,31120
2024-09-06,SUNS,13.81,14.13,13.33,13.36,48048
2024-09-09,SUNS,13.37,13.52,13.1,13.39,36833
2024-09-10,SUNS,13.5783,13.9,13.28,13.89,15942
2024-09-11,SUNS,13.75,13.8262,13.4809,13.56,8954
2024-09-12,SUNS,13.6,14.42,13.6,14.37,16385
2024-09-13,SUNS,14.37,14.729,13.85,14.64,32574
2024-09-16,SUNS,14.64,14.64,14.03,14.2,36630
2024-09-17,SUNS,14.2,14.68,14.0,14.4,34239
2024-09-18,SUNS,14.365,14.54,14.05,14.3,16048
2024-09-19,SUNS,14.56,14.68,13.781,14.32,52624
2024-09-20,SUNS,13.96,14.9,13.85,14.9,113344
2024-09-23,SUNS,14.94,14.948,14.4289,14.89,40021
2024-09-24,SUNS,14.92,14.92,14.44,14.6,23171
2024-09-25,SUNS,14.6,14.9,14.37,14.38,17825
2024-09-26,SUNS,14.43,14.83,14.0351,14.27,32720
2024-09-27,SUNS,14.28,14.77,14.0,14.7,34211
2024-09-30,SUNS,14.56,14.75,14.3,14.39,20994
2024-10-01,SUNS,14.32,14.46,14.13,14.22,17189
2024-10-02,SUNS,14.23,14.35,13.75,13.99,16665
2024-10-03,SUNS,14.14,14.3096,13.46,13.5,61087
2024-10-04,SUNS,13.81,14.55,13.5,14.41,65549
2024-10-07,SUNS,14.19,14.51,14.1393,14.43,37945
2024-10-08,SUNS,14.33,14.95,14.14,14.82,29655
2024-10-09,SUNS,14.82,14.99,14.69,14.78,24693
2024-10-10,SUNS,14.72,14.94,14.64,14.72,22292
2024-10-11,SUNS,14.61,14.94,14.4846,14.92,32379
2024-10-14,SUNS,14.8,15.0,14.3625,14.84,38950
2024-10-15,SUNS,14.72,15.41,14.5101,15.33,45414
2024-10-16,SUNS,15.33,15.35,15.0,15.29,57191
2024-10-17,SUNS,15.14,15.4,15.0,15.22,23415
2024-10-18,SUNS,15.37,15.4957,15.04,15.43,25878
2024-10-21,SUNS,15.42,15.49,14.41,14.48,25110
2024-10-22,SUNS,14.43,14.7668,13.56,14.62,36580
2024-10-23,SUNS,14.2961,14.85,14.0501,14.58,19482
2024-10-24,SUNS,14.83,14.83,14.26,14.6,35574
2024-10-25,SUNS,14.56,14.68,14.0,14.06,21000
2024-10-28,SUNS,14.27,14.4,13.76,13.95,34185
2024-10-29,SUNS,13.85,14.35,13.09,13.73,56798
2024-10-30,SUNS,13.65,14.05,13.6,14.03,34440
2024-10-31,SUNS,13.96,14.4895,13.72,13.72,10795
2024-11-01,SUNS,13.72,14.24,13.72,13.99,27865
2024-11-04,SUNS,14.0,14.67,13.925,14.31,54601
2024-11-05,SUNS,14.43,14.98,14.31,14.89,32851
2024-11-06,SUNS,14.94,15.28,14.57,15.19,75713
2024-11-07,SUNS,15.19,15.74,15.07,15.21,38544
2024-11-08,SUNS,15.13,15.3,14.845,15.06,32904
