Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SUP,5.01,5.23,4.71,4.93,527846
2022-11-14,SUP,4.93,5.0,4.802,4.9,235651
2022-11-15,SUP,4.98,5.03,4.78,4.78,211876
2022-11-16,SUP,4.8,4.89,4.79,4.88,42939
2022-11-17,SUP,4.79,4.95,4.79,4.85,52056
2022-11-18,SUP,4.88,4.97,4.81,4.85,37916
2022-11-21,SUP,4.94,4.975,4.8,4.96,37342
2022-11-22,SUP,4.95,4.99,4.68,4.8,368500
2022-11-23,SUP,4.77,4.89,4.71,4.79,104019
2022-11-25,SUP,4.8,4.96,4.74,4.76,26519
2022-11-28,SUP,4.79,4.88,4.63,4.67,105451
2022-11-29,SUP,4.72,4.95,4.48,4.63,65704
2022-11-30,SUP,4.65,4.71,4.558,4.65,37015
2022-12-01,SUP,4.7,4.81,4.63,4.7,41941
2022-12-02,SUP,4.61,4.71,4.61,4.7,22487
2022-12-05,SUP,4.66,4.74,4.65,4.65,28106
2022-12-06,SUP,4.64,4.7,4.46,4.51,25563
2022-12-07,SUP,4.49,4.6,4.49,4.6,25153
2022-12-08,SUP,4.58,4.64,4.24,4.28,91097
2022-12-09,SUP,4.26,4.31,4.16,4.17,51569
2022-12-12,SUP,4.09,4.2489,4.06,4.08,60065
2022-12-13,SUP,4.19,4.38,4.17,4.36,43742
2022-12-14,SUP,4.39,4.76,4.27,4.53,129570
2022-12-15,SUP,4.37,4.58,4.37,4.44,25771
2022-12-16,SUP,4.44,4.52,4.4,4.44,78667
2022-12-19,SUP,4.51,4.81,4.4799,4.48,94205
2022-12-20,SUP,4.42,4.7,4.42,4.66,59154
2022-12-21,SUP,4.78,4.78,4.59,4.61,32504
2022-12-22,SUP,4.65,4.68,4.38,4.45,61217
2022-12-23,SUP,4.44,4.54,4.4,4.44,23024
2022-12-27,SUP,4.53,4.53,4.36,4.45,22991
2022-12-28,SUP,4.47,4.47,4.25,4.29,28535
2022-12-29,SUP,4.34,4.41,4.06,4.2,36382
2022-12-30,SUP,4.1771,4.2705,4.17,4.22,39442
2023-01-03,SUP,4.26,4.4256,4.0613,4.25,86904
