Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SUPV,1.82,1.83,1.78,1.83,56425.0
2022-11-14,SUPV,1.8,1.8427,1.78,1.79,63871.0
2022-11-15,SUPV,1.8,1.847,1.77,1.78,71182.0
2022-11-16,SUPV,1.78,1.8,1.72,1.72,121040.0
2022-11-17,SUPV,1.68,1.715,1.5502,1.63,598195.0
2022-11-18,SUPV,1.6,1.64,1.5762,1.61,156866.0
2022-11-21,SUPV,1.63,1.63,1.54,1.56,65006.0
2022-11-22,SUPV,1.55,1.65,1.55,1.62,109511.0
2022-11-23,SUPV,1.62,1.675,1.61,1.67,86461.0
2022-11-25,SUPV,1.651,1.79,1.61,1.78,185695.0
2022-11-28,SUPV,1.75,1.78,1.71,1.72,118078.0
2022-11-29,SUPV,1.72,1.79,1.7,1.72,206300.0
2022-11-30,SUPV,1.724,1.77,1.68,1.76,93983.0
2022-12-01,SUPV,1.75,1.84,1.7201,1.81,119251.0
2022-12-02,SUPV,1.76,1.7938,1.74,1.78,46195.0
2022-12-05,SUPV,1.77,1.7827,1.7273,1.74,334365.0
2022-12-06,SUPV,1.73,1.75,1.7017,1.75,31471.0
2022-12-07,SUPV,1.7579,1.83,1.745,1.82,89165.0
2022-12-08,SUPV,1.83,1.83,1.73,1.73,85101.0
2022-12-09,SUPV,1.7,1.76,1.7,1.7,11137.0
2022-12-12,SUPV,1.7,1.8396,1.69,1.72,267969.0
2022-12-13,SUPV,1.78,1.8,1.74,1.765,197289.0
2022-12-14,SUPV,1.72,1.8,1.7,1.8,80042.0
2022-12-15,SUPV,1.75,1.77,1.7262,1.75,113587.0
2022-12-16,SUPV,1.7327,1.76,1.73,1.75,37800.0
2022-12-19,SUPV,1.73,1.81,1.73,1.8,111354.0
2022-12-20,SUPV,1.76,1.9142,1.76,1.83,388935.0
2022-12-21,SUPV,1.8,1.95,1.8,1.92,264081.0
2022-12-22,SUPV,1.87,2.0673,1.87,2.06,504777.0
2022-12-23,SUPV,2.08,2.17,2.01,2.16,400695.0
2022-12-27,SUPV,2.19,2.28,2.16,2.18,531698.0
2022-12-28,SUPV,2.08,2.26,2.0,2.12,479579.0
2022-12-29,SUPV,2.1,2.2355,2.072,2.16,441662.0
2022-12-30,SUPV,2.18,2.24,2.11,2.16,402981.0
2023-01-03,SUPV,2.17,2.2273,2.13,2.16,294171.0
2023-01-04,SUPV,2.15,2.23,2.1491,2.2,208527.0
2023-01-05,SUPV,2.22,2.39,2.1815,2.39,786380.0
2023-01-06,SUPV,2.4,2.54,2.31,2.37,915781.0
2023-01-09,SUPV,2.41,2.5375,2.41,2.5,493323.0
2023-01-10,SUPV,2.55,2.55,2.47,2.55,290733.0
2023-01-11,SUPV,2.53,2.76,2.53,2.69,908276.0
2023-01-12,SUPV,2.75,2.87,2.67,2.87,728142.0
2023-01-13,SUPV,2.81,2.95,2.7303,2.93,673806.0
2023-01-17,SUPV,2.93,3.14,2.84,3.1,1925535.0
2023-01-18,SUPV,3.13,3.22,2.68,2.7,1826065.0
2023-01-19,SUPV,2.63,2.7,2.43,2.64,2059392.0
2023-01-20,SUPV,2.65,2.9,2.64,2.83,638737.0
2023-01-23,SUPV,2.77,2.88,2.7,2.71,858013.0
2023-01-24,SUPV,2.69,2.76,2.655,2.68,351847.0
2023-01-25,SUPV,2.65,2.91,2.64,2.89,535394.0
2023-01-26,SUPV,2.9,2.92,2.79,2.79,423106.0
2023-01-27,SUPV,2.79,2.81,2.69,2.69,231460.0
2023-01-30,SUPV,2.66,2.69,2.605,2.63,338949.0
2023-01-31,SUPV,2.65,2.79,2.65,2.77,363823.0
2023-02-01,SUPV,2.76,2.765,2.6415,2.66,266165.0
2023-02-02,SUPV,2.67,2.71,2.57,2.63,770285.0
2023-02-03,SUPV,2.61,2.665,2.49,2.56,692223.0
2023-02-06,SUPV,2.53,2.5784,2.4562,2.56,522350.0
2023-02-07,SUPV,2.56,2.7,2.52,2.6,630519.0
2023-02-08,SUPV,2.56,2.6499,2.5562,2.6,201998.0
2023-02-09,SUPV,2.6111,2.66,2.52,2.53,426251.0
2023-02-10,SUPV,2.51,2.6,2.48,2.6,215950.0
2023-02-13,SUPV,2.6,2.78,2.55,2.75,678375.0
2023-02-14,SUPV,2.7,2.895,2.69,2.86,523494.0
2023-02-15,SUPV,2.9,2.9,2.81,2.82,214839.0
2023-02-16,SUPV,2.87,3.0,2.83,2.97,855719.0
