Date,Ticker,Open,High,Low,Close,Volume
2023-12-11,SVMHW,0.0499,0.0499,0.015,0.0206,120342
2023-12-12,SVMHW,0.02,0.0299,0.0151,0.0299,24167
2023-12-13,SVMHW,0.021,0.021,0.015,0.016,12600
2023-12-14,SVMHW,0.03,0.03,0.0162,0.0201,188322
2023-12-15,SVMHW,0.029899,0.029899,0.025,0.025,1700
2023-12-18,SVMHW,0.0251,0.0251,0.021,0.021,300
2023-12-19,SVMHW,0.02,0.0294,0.015,0.02,81543
2023-12-20,SVMHW,0.0202,0.0202,0.015,0.0151,13606
2023-12-21,SVMHW,0.0155,0.0165,0.015,0.015,7833
2023-12-22,SVMHW,0.015,0.0151,0.015,0.015,9607
2023-12-26,SVMHW,0.0198,0.0223,0.0071,0.0073,143219
2023-12-27,SVMHW,0.0073,0.0112,0.0073,0.0112,2023
2023-12-29,SVMHW,0.0149,0.0149,0.0149,0.0149,100
2024-01-02,SVMHW,0.0076,0.0285,0.0076,0.025,10964
2024-01-03,SVMHW,0.0248,0.0248,0.0248,0.0248,133
2024-01-10,SVMHW,0.024,0.024,0.0081,0.01,15822
2024-01-11,SVMHW,0.019451,0.019451,0.015,0.015,3617
2024-01-12,SVMHW,0.0185,0.024,0.0185,0.0201,117738
2024-01-17,SVMHW,0.0202,0.0202,0.0105,0.019,981
2024-01-18,SVMHW,0.0189,0.019969,0.0168,0.0169,51298
2024-01-22,SVMHW,0.0138,0.0275,0.0138,0.0275,647
2024-01-23,SVMHW,0.0222,0.0222,0.0222,0.0222,536
2024-01-24,SVMHW,0.021501,0.024,0.0105,0.024,3558
2024-01-30,SVMHW,0.0222,0.0222,0.0222,0.0222,139
2024-01-31,SVMHW,0.0218,0.022,0.0218,0.0218,3280
2024-02-01,SVMHW,0.0212,0.0212,0.0184,0.0184,13408
2024-02-02,SVMHW,0.0111,0.0212,0.0111,0.0212,2216
2024-02-08,SVMHW,0.021,0.021,0.02,0.02,3045
2024-02-09,SVMHW,0.019953,0.019953,0.019953,0.019953,500
2024-02-12,SVMHW,0.02,0.025,0.0119,0.0121,45214
2024-02-13,SVMHW,0.0219,0.0219,0.0125,0.0125,2200
2024-02-14,SVMHW,0.0199,0.0199,0.0183,0.0183,778
2024-02-15,SVMHW,0.02,0.0248,0.0199,0.0247,91743
2024-02-16,SVMHW,0.02,0.0246,0.02,0.0246,4729
2024-02-20,SVMHW,0.024,0.03,0.0153,0.03,31011
2024-02-21,SVMHW,0.02,0.02,0.02,0.02,100
2024-02-22,SVMHW,0.028,0.028,0.028,0.028,4546
2024-02-23,SVMHW,0.0294,0.0294,0.0294,0.0294,2149
2024-02-28,SVMHW,0.0295,0.03,0.0213,0.03,22629
2024-02-29,SVMHW,0.03,0.03,0.0213,0.0277,4928
2024-03-01,SVMHW,0.0213,0.0213,0.0213,0.0213,118
2024-03-04,SVMHW,0.03,0.0453,0.03,0.04,45783
2024-03-05,SVMHW,0.0307,0.045,0.0307,0.0447,10222
2024-03-06,SVMHW,0.04,0.045,0.031,0.0449,42215
2024-03-08,SVMHW,0.0312,0.0312,0.03,0.03,23525
2024-03-11,SVMHW,0.025,0.025,0.0153,0.02,64625
2024-03-12,SVMHW,0.02,0.02,0.02,0.02,450
2024-03-14,SVMHW,0.0248,0.0248,0.0248,0.0248,111
2024-03-15,SVMHW,0.0248,0.0248,0.02,0.02,11545
2024-03-18,SVMHW,0.02,0.0219,0.0155,0.0156,206349
2024-03-20,SVMHW,0.02,0.02,0.02,0.02,300
2024-03-21,SVMHW,0.02,0.02,0.0157,0.02,22000
2024-03-22,SVMHW,0.02,0.02,0.02,0.02,300
2024-03-25,SVMHW,0.02,0.023,0.0183,0.0186,567268
2024-03-26,SVMHW,0.02,0.0209,0.0183,0.0184,29869
2024-03-28,SVMHW,0.02,0.02,0.0157,0.0158,52673
2024-04-01,SVMHW,0.02,0.021,0.0158,0.0158,84414
2024-04-03,SVMHW,0.02,0.02,0.02,0.02,64776
2024-04-09,SVMHW,0.0169,0.0209,0.0169,0.0169,76865
2024-04-10,SVMHW,0.019899,0.0208,0.019899,0.0205,71750
2024-04-11,SVMHW,0.018099,0.018099,0.018099,0.018099,500
2024-04-22,SVMHW,0.0184,0.0184,0.0184,0.0184,100
2024-04-23,SVMHW,0.0199,0.02,0.016,0.016,15676
2024-04-24,SVMHW,0.016,0.0183,0.0142,0.0142,174748
2024-04-26,SVMHW,0.0142,0.02,0.0142,0.0142,80383
2024-04-29,SVMHW,0.0189,0.02,0.014258,0.014258,45000
2024-05-01,SVMHW,0.0143,0.014605,0.0082,0.0085,302438
2024-05-02,SVMHW,0.01,0.013,0.0085,0.013,60000
2024-05-03,SVMHW,0.0199,0.0199,0.0091,0.0091,200
2024-05-06,SVMHW,0.0197,0.02,0.0099,0.01,417802
2024-05-07,SVMHW,0.0197,0.0199,0.0197,0.0198,26654
2024-05-09,SVMHW,0.0198,0.0198,0.018,0.018,3266
2024-05-10,SVMHW,0.0197,0.02,0.0197,0.02,25000
2024-05-13,SVMHW,0.02,0.02,0.0175,0.02,25547
2024-05-14,SVMHW,0.02,0.02,0.016605,0.0198,3217
2024-05-15,SVMHW,0.0197,0.0197,0.015,0.015,2600
2024-05-16,SVMHW,0.0198,0.02,0.0131,0.0131,11414
2024-05-17,SVMHW,0.019899,0.019899,0.013,0.0131,3166
2024-05-20,SVMHW,0.02,0.02,0.02,0.02,10000
2024-05-21,SVMHW,0.02,0.02,0.0133,0.0133,1112
2024-05-23,SVMHW,0.0188,0.0195,0.0165,0.0165,21393
2024-05-24,SVMHW,0.0131,0.0193,0.0131,0.0193,12700
2024-05-31,SVMHW,0.0181,0.0181,0.0181,0.0181,331
2024-06-04,SVMHW,0.0132,0.014,0.012,0.012,102285
2024-06-05,SVMHW,0.012,0.018899,0.0117,0.0188,53080
2024-06-06,SVMHW,0.0188,0.0189,0.0117,0.0117,1192
2024-06-10,SVMHW,0.012,0.012,0.0117,0.0117,18309
2024-06-11,SVMHW,0.0117,0.0117,0.0095,0.0095,39475
2024-06-12,SVMHW,0.0095,0.0095,0.0081,0.009,42994
2024-06-13,SVMHW,0.009,0.0104,0.0051,0.0056,834206
2024-06-14,SVMHW,0.012,0.02,0.0101,0.0162,430290
2024-06-17,SVMHW,0.012,0.0169,0.0103,0.0105,110795
2024-06-18,SVMHW,0.0169,0.0169,0.0106,0.016,21042
2024-06-20,SVMHW,0.012,0.0155,0.0102,0.0155,18022
2024-06-24,SVMHW,0.014,0.014,0.01,0.0101,15098
2024-06-25,SVMHW,0.0139,0.0185,0.0101,0.0185,159995
2024-06-26,SVMHW,0.0103,0.016899,0.0103,0.016899,17194
2024-06-27,SVMHW,0.0107,0.0147,0.0105,0.014,9894
2024-06-28,SVMHW,0.0103,0.012001,0.0103,0.0103,2825
2024-07-01,SVMHW,0.0103,0.0165,0.009,0.0164,65095
2024-07-02,SVMHW,0.016,0.0165,0.0145,0.0145,20577
2024-07-03,SVMHW,0.0164,0.0164,0.0164,0.0164,3048
2024-07-08,SVMHW,0.015,0.0162,0.0111,0.0162,15050
2024-07-09,SVMHW,0.0165,0.0165,0.0128,0.0165,24589
2024-07-10,SVMHW,0.0165,0.02,0.0112,0.012,199088
2024-07-11,SVMHW,0.0115,0.0186,0.0112,0.0185,25708
2024-07-12,SVMHW,0.0115,0.0184,0.0112,0.0184,43503
2024-07-15,SVMHW,0.015,0.015,0.015,0.015,1050
2024-07-16,SVMHW,0.012,0.01495,0.012,0.01495,12614
2024-07-17,SVMHW,0.0148,0.0148,0.0148,0.0148,486
2024-07-18,SVMHW,0.015029,0.015029,0.0118,0.0118,25511
2024-07-19,SVMHW,0.01,0.0129,0.0091,0.0091,16324
2024-07-23,SVMHW,0.0148,0.0148,0.0091,0.0091,3394
2024-07-24,SVMHW,0.009,0.0118,0.009,0.009,28218
2024-07-25,SVMHW,0.009,0.009,0.009,0.009,17216
2024-07-26,SVMHW,0.009,0.009,0.0081,0.0081,1676
2024-07-29,SVMHW,0.0082,0.0082,0.0082,0.0082,318
2024-07-30,SVMHW,0.009,0.009,0.0075,0.0075,8882
2024-07-31,SVMHW,0.0075,0.008,0.006,0.006,39713
2024-08-01,SVMHW,0.0056,0.006,0.0056,0.006,59519
2024-08-05,SVMHW,0.006,0.00604,0.006,0.006,22169
2024-08-07,SVMHW,0.0099,0.0099,0.0057,0.0057,114329
2024-08-08,SVMHW,0.0057,0.0057,0.0057,0.0057,150
2024-08-09,SVMHW,0.0057,0.0057,0.0056,0.0056,6342
2024-08-13,SVMHW,0.0056,0.0056,0.0056,0.0056,15250
2024-08-15,SVMHW,0.0055,0.0055,0.0055,0.0055,2900
2024-08-16,SVMHW,0.009,0.0098,0.0055,0.0098,167586
2024-08-19,SVMHW,0.0055,0.0097,0.0055,0.0096,48494
2024-08-22,SVMHW,0.0098,0.0098,0.0069,0.0098,55841
2024-08-23,SVMHW,0.01,0.01,0.007,0.007,23149
2024-08-27,SVMHW,0.0095,0.0099,0.0095,0.0095,1676
2024-09-03,SVMHW,0.0095,0.0095,0.0095,0.0095,100
2024-09-04,SVMHW,0.0063,0.009,0.0056,0.0089,211646
2024-09-05,SVMHW,0.0089,0.0089,0.0087,0.0087,22020
2024-09-06,SVMHW,0.0083,0.0099,0.0055,0.0095,397154
2024-09-10,SVMHW,0.006,0.01,0.006,0.01,101144
2024-09-11,SVMHW,0.01,0.01,0.006,0.0077,107847
2024-09-12,SVMHW,0.01,0.0125,0.007,0.0099,133185
2024-09-13,SVMHW,0.0146,0.016,0.0085,0.0158,26155
2024-09-16,SVMHW,0.0134,0.0134,0.010699,0.0133,55548
2024-09-18,SVMHW,0.0134,0.0134,0.008,0.0099,4800
2024-09-19,SVMHW,0.010749,0.0134,0.0084,0.0124,21744
2024-09-20,SVMHW,0.0158,0.0158,0.0061,0.008,65087
2024-09-23,SVMHW,0.0082,0.0133,0.008,0.0106,70707
2024-09-24,SVMHW,0.016,0.016,0.008,0.008,1500
2024-09-25,SVMHW,0.0088,0.015,0.008,0.0149,34111
2024-09-26,SVMHW,0.0065,0.0149,0.006,0.0101,12860
2024-09-27,SVMHW,0.0132,0.015,0.01,0.015,20444
2024-09-30,SVMHW,0.015,0.015,0.015,0.015,1353
2024-10-02,SVMHW,0.015,0.015,0.007,0.0072,111162
2024-10-03,SVMHW,0.0071,0.014,0.0071,0.0083,19663
2024-10-04,SVMHW,0.0128,0.0138,0.0074,0.0118,11739
2024-10-07,SVMHW,0.0118,0.0118,0.0118,0.0118,104
2024-10-08,SVMHW,0.008101,0.014,0.008,0.0081,9493
2024-10-09,SVMHW,0.0085,0.0133,0.0085,0.0085,9638
2024-10-10,SVMHW,0.011899,0.014,0.0097,0.0097,11112
2024-10-11,SVMHW,0.0138,0.0139,0.01,0.010101,3925
2024-10-14,SVMHW,0.007,0.014,0.007,0.0101,5552
2024-10-15,SVMHW,0.0101,0.013,0.007,0.0083,40257
2024-10-16,SVMHW,0.013,0.0131,0.0083,0.0083,9710
2024-10-17,SVMHW,0.0073,0.014,0.0073,0.0081,5454
2024-10-21,SVMHW,0.0138,0.0138,0.0138,0.0138,1083
2024-10-22,SVMHW,0.0139,0.0139,0.01,0.0119,3459
2024-10-23,SVMHW,0.0101,0.01195,0.0075,0.0075,41480
2024-10-24,SVMHW,0.0137,0.0138,0.0075,0.0075,9256
2024-10-25,SVMHW,0.01,0.0107,0.0078,0.0106,5484
2024-10-28,SVMHW,0.0125,0.0125,0.0077,0.0078,39627
2024-10-29,SVMHW,0.0135,0.0135,0.0078,0.0078,5600
2024-10-30,SVMHW,0.0078,0.013,0.0061,0.0061,93908
2024-10-31,SVMHW,0.0097,0.0099,0.0063,0.0067,21412
2024-11-01,SVMHW,0.0098,0.0099,0.0064,0.0098,6881
2024-11-04,SVMHW,0.013,0.013,0.006,0.0099,24848
2024-11-05,SVMHW,0.0099,0.01,0.0069,0.007,22961
2024-11-06,SVMHW,0.008449,0.0099,0.006,0.0061,38581
2024-11-07,SVMHW,0.0076,0.0076,0.0061,0.0061,30546
2024-11-08,SVMHW,0.01,0.01,0.005,0.006,133391
