Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SXTC,15.4725,17.5,15.0,15.9962,13703.84
2022-11-14,SXTC,17.0,17.0,14.65,15.75,5104.56
2022-11-15,SXTC,16.75,17.5,15.7825,16.75,8238.04
2022-11-16,SXTC,16.75,16.9125,15.625,16.495,3522.88
2022-11-17,SXTC,16.475,18.25,15.8,16.75,11519.2
2022-11-18,SXTC,17.46,17.7075,15.28,15.5025,4978.48
2022-11-21,SXTC,15.75,15.9825,14.875,15.25,3876.88
2022-11-22,SXTC,15.625,15.9975,14.275,15.1425,4494.16
2022-11-23,SXTC,15.25,16.0,14.875,15.3725,6235.84
2022-11-25,SXTC,16.14,16.14,14.255,15.145,13963.76
2022-11-28,SXTC,15.75,15.75,14.6325,15.3625,4966.92
2022-11-29,SXTC,15.625,17.25,14.9775,15.9575,10564.36
2022-11-30,SXTC,18.25,18.7475,16.5,17.4975,47634.44
2022-12-01,SXTC,16.5,17.475,15.775,17.12,17326.2
2022-12-02,SXTC,17.75,19.25,17.25,18.75,14843.68
2022-12-05,SXTC,22.5,23.0,16.505,17.5,334608.56
2022-12-06,SXTC,15.6625,16.1175,14.8,15.0,43766.12
2022-12-07,SXTC,14.5,15.0025,12.9,13.8725,27717.2
2022-12-08,SXTC,13.4575,13.845,11.9525,12.04,43792.56
2022-12-09,SXTC,13.0,16.1975,12.875,14.5,95037.6
2022-12-12,SXTC,13.91,24.5,13.91,22.1225,231265.04
2022-12-13,SXTC,22.25,22.4525,15.575,19.125,185992.6
2022-12-14,SXTC,18.6225,18.6225,16.0,17.0775,37579.4
2022-12-15,SXTC,15.75,16.75,15.0,15.085,19075.28
2022-12-16,SXTC,15.05,15.2975,13.2525,14.3425,11834.92
2022-12-19,SXTC,13.75,14.0025,12.76,13.495,11313.6
2022-12-20,SXTC,13.485,14.25,13.25,13.5,7317.0
2022-12-21,SXTC,13.4675,14.5,13.25,13.995,11476.28
2022-12-22,SXTC,13.2775,13.94,11.775,12.75,12614.08
2022-12-23,SXTC,13.2225,13.5,12.5525,13.0,5443.12
2022-12-27,SXTC,12.84,14.5575,12.75,14.485,8925.84
2022-12-28,SXTC,14.175,14.4975,12.5,12.75,6128.96
2022-12-29,SXTC,13.025,13.6775,12.78,12.9025,17206.04
2022-12-30,SXTC,14.6875,15.7475,13.25,13.55,46703.48
2023-01-03,SXTC,13.0725,13.7475,12.08,12.6012,17668.44
2023-01-04,SXTC,12.53,13.75,12.5275,12.9975,17838.0
2023-01-05,SXTC,12.945,14.975,12.525,14.125,64112.28
2023-01-06,SXTC,13.065,14.25,12.7575,13.15,14610.36
2023-01-09,SXTC,13.125,14.3725,13.125,13.5,17623.28
2023-01-10,SXTC,13.46,14.0,13.2025,13.3775,12585.6
2023-01-11,SXTC,13.6325,14.4975,13.5775,13.65,8062.4
2023-01-12,SXTC,14.225,15.25,13.025,13.8775,14657.56
2023-01-13,SXTC,13.5,16.8125,13.2575,14.75,50323.56
2023-01-17,SXTC,14.75,17.0,14.575,15.1325,31940.48
2023-01-18,SXTC,15.9225,16.25,14.25,14.975,20048.08
2023-01-19,SXTC,15.0025,16.8325,14.5,15.9875,70716.88
2023-01-20,SXTC,16.1575,16.1575,14.675,15.57,19947.84
2023-01-23,SXTC,15.125,16.25,14.25,14.725,18389.4
2023-01-24,SXTC,14.5,15.185,13.755,14.52,34270.0
2023-01-25,SXTC,14.2975,14.475,13.125,13.95,21275.68
2023-01-26,SXTC,13.925,14.75,13.0,13.5,20268.28
2023-01-27,SXTC,13.25,14.0,13.25,13.5925,6204.04
2023-01-30,SXTC,13.448,13.7425,12.75,13.1125,14303.88
2023-01-31,SXTC,12.7825,14.2975,12.7825,13.9975,18896.12
2023-02-01,SXTC,14.0,15.9925,13.025,14.87,36259.72
2023-02-02,SXTC,14.875,15.75,14.25,14.85,22561.08
2023-02-03,SXTC,15.0,15.625,14.375,14.745,11761.84
2023-02-06,SXTC,14.73,14.73,13.25,13.7525,11916.04
2023-02-07,SXTC,14.0025,14.0025,13.2575,13.305,3078.96
2023-02-08,SXTC,13.75,14.4975,13.1375,13.5,9475.96
