Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,SYM,10.79,10.8788,10.13,10.19,169571.0
2022-11-14,SYM,10.28,10.442,9.22,9.25,259063.0
2022-11-15,SYM,9.5,9.77,9.25,9.34,151318.0
2022-11-16,SYM,9.33,9.431,8.95,8.95,125399.0
2022-11-17,SYM,8.99,9.3199,8.75,8.81,148406.0
2022-11-18,SYM,8.99,9.85,8.81,9.39,209448.0
2022-11-21,SYM,9.79,10.13,9.58,9.98,320053.0
2022-11-22,SYM,10.05,11.22,10.05,10.77,442139.0
2022-11-23,SYM,11.11,12.6999,10.7,12.22,398968.0
2022-11-25,SYM,12.25,12.83,12.0215,12.81,155590.0
2022-11-28,SYM,12.47,12.74,11.73,12.15,201763.0
2022-11-29,SYM,11.8,12.14,11.1,11.16,242303.0
2022-11-30,SYM,11.08,11.32,10.75,11.05,191525.0
2022-12-01,SYM,11.09,11.2689,10.7473,10.87,163326.0
2022-12-02,SYM,10.65,11.25,10.64,11.21,159928.0
2022-12-05,SYM,11.21,11.28,10.76,11.17,108927.0
2022-12-06,SYM,11.37,11.75,10.9136,11.68,133360.0
2022-12-07,SYM,11.56,11.6,11.01,11.46,221066.0
2022-12-08,SYM,11.37,11.86,11.22,11.78,266484.0
2022-12-09,SYM,11.54,11.89,11.17,11.35,282330.0
2022-12-12,SYM,11.31,12.22,11.31,11.69,292767.0
2022-12-13,SYM,12.12,12.565,10.8,11.46,277252.0
2022-12-14,SYM,11.33,12.18,11.25,11.98,113604.0
2022-12-15,SYM,11.82,12.08,11.33,11.98,142188.0
2022-12-16,SYM,11.83,12.09,11.8247,12.01,198084.0
2022-12-19,SYM,11.81,12.28,11.67,12.23,157060.0
2022-12-20,SYM,12.01,12.55,11.91,12.32,168016.0
2022-12-21,SYM,12.3,12.42,11.67,11.91,150926.0
2022-12-22,SYM,11.56,11.9,11.41,11.73,77280.0
2022-12-23,SYM,11.55,11.84,10.69,11.02,193200.0
2022-12-27,SYM,10.92,11.05,10.49,10.5,87043.0
2022-12-28,SYM,10.47,10.86,10.2101,10.74,101342.0
2022-12-29,SYM,10.74,12.22,10.5694,11.87,157944.0
2022-12-30,SYM,11.87,11.97,11.4686,11.94,102573.0
2023-01-03,SYM,12.13,12.33,11.905,12.04,103063.0
2023-01-04,SYM,11.9,12.33,11.68,12.3,94038.0
2023-01-05,SYM,12.4,12.73,12.1,12.73,110505.0
2023-01-06,SYM,12.75,13.28,12.35,12.41,172147.0
2023-01-09,SYM,12.29,13.45,12.28,13.27,101650.0
2023-01-10,SYM,13.17,13.4,12.78,12.85,130266.0
2023-01-11,SYM,12.86,13.2899,12.85,13.28,70295.0
2023-01-12,SYM,13.2,14.15,13.01,14.14,243564.0
2023-01-13,SYM,14.15,14.15,13.3411,13.44,93208.0
2023-01-17,SYM,13.25,13.845,13.02,13.61,73012.0
2023-01-18,SYM,13.75,13.8739,13.5,13.78,84997.0
2023-01-19,SYM,13.54,14.0137,13.005,13.7,147671.0
2023-01-20,SYM,13.67,14.5,13.66,14.46,208297.0
2023-01-23,SYM,14.5,15.7199,14.2214,15.56,339917.0
2023-01-24,SYM,15.5,15.9299,15.001,15.735,342735.0
2023-01-25,SYM,15.31,15.91,14.68,15.45,316041.0
2023-01-26,SYM,15.61,15.84,14.5,14.7,111836.0
2023-01-27,SYM,14.53,15.13,13.74,13.77,243084.0
2023-01-30,SYM,13.59,14.425,13.2527,13.53,295461.0
2023-01-31,SYM,14.6,16.06,13.74,15.65,619160.0
2023-02-01,SYM,15.72,16.18,15.18,15.27,313958.0
2023-02-02,SYM,14.94,16.082,13.27,15.45,988144.0
2023-02-03,SYM,15.45,16.5,14.8,15.2,327015.0
2023-02-06,SYM,15.19,15.88,14.39,15.58,364630.0
2023-02-07,SYM,15.99,17.1,15.1097,16.63,1006748.0
2023-02-08,SYM,17.0,18.34,16.9,18.11,798398.0
2023-02-09,SYM,18.15,18.15,16.66,16.73,450487.0
2023-02-10,SYM,16.79,17.8,15.19,17.38,538189.0
2023-02-13,SYM,17.34,17.9132,16.7,17.35,265817.0
2023-02-14,SYM,17.11,18.15,16.86,17.88,318610.0
2023-02-15,SYM,18.11,18.11,17.62,17.85,189388.0
2023-02-16,SYM,17.53,18.025,16.83,17.53,254263.0
2023-02-17,SYM,17.26,17.4846,16.48,17.36,187269.0
2023-02-21,SYM,17.15,17.89,16.79,16.92,236573.0
2023-02-22,SYM,17.06,17.47,16.64,17.28,219649.0
2023-02-23,SYM,17.49,17.59,16.85,17.17,202019.0
2023-02-24,SYM,17.09,17.09,16.25,16.57,193737.0
2023-02-27,SYM,16.62,17.19,16.33,16.78,169513.0
2023-02-28,SYM,16.87,17.15,16.33,16.35,341950.0
2023-03-01,SYM,16.45,16.5886,15.69,16.02,216591.0
2023-03-02,SYM,15.87,15.995,14.14,14.97,1396058.0
2023-03-03,SYM,15.49,17.02,15.47,16.4,887674.0
2023-03-06,SYM,16.85,18.65,16.817,18.17,1500169.0
2023-03-07,SYM,18.26,18.29,16.71,16.87,532066.0
2023-03-08,SYM,17.21,17.62,16.91,17.4,359505.0
2023-03-09,SYM,17.1,19.21,17.1,17.87,593154.0
2023-03-10,SYM,17.86,18.06,16.91,17.65,1166625.0
2023-03-13,SYM,17.42,18.11,16.03,16.4,474367.0
2023-03-14,SYM,16.52,17.62,16.52,17.08,419426.0
2023-03-15,SYM,16.8,16.97,16.08,16.65,602910.0
2023-03-16,SYM,16.42,17.24,16.29,17.1,610536.0
2023-03-17,SYM,16.92,18.77,16.695,18.72,2671655.0
2023-03-20,SYM,18.36,20.6,18.36,20.44,1107417.0
2023-03-21,SYM,20.5,21.53,20.0055,21.44,864815.0
2023-03-22,SYM,21.44,23.1536,20.7721,22.79,671808.0
2023-03-23,SYM,23.41,23.41,21.55,22.33,687861.0
2023-03-24,SYM,22.4,23.05,21.2974,21.68,531718.0
2023-03-27,SYM,21.56,23.51,21.5301,22.97,532329.0
2023-03-28,SYM,22.55,23.125,20.7,20.94,433807.0
2023-03-29,SYM,20.97,21.86,20.82,21.82,204418.0
2023-03-30,SYM,22.0,22.82,21.66,22.17,334574.0
2023-03-31,SYM,22.43,23.09,22.3,22.84,352269.0
2023-04-03,SYM,22.6,24.0,22.5,23.89,488907.0
2023-04-04,SYM,23.88,23.9362,22.325,23.18,456059.0
2023-04-05,SYM,23.65,24.29,22.63,24.245,562911.0
2023-04-06,SYM,24.25,25.96,23.88,25.42,495353.0
2023-04-10,SYM,25.0,26.43,24.33,25.94,489246.0
2023-04-11,SYM,25.53,29.0,25.53,27.84,733030.0
2023-04-12,SYM,26.15,27.98,25.05,27.67,868663.0
2023-04-13,SYM,27.93,28.055,26.602,27.27,504483.0
2023-04-14,SYM,26.95,30.29,26.95,27.94,690034.0
2023-04-17,SYM,28.01,28.56,27.03,27.27,366428.0
2023-04-18,SYM,27.3,28.3994,26.49,28.25,390479.0
2023-04-19,SYM,28.02,28.81,27.62,28.68,358744.0
2023-04-20,SYM,28.89,30.42,28.315,30.26,815314.0
2023-04-21,SYM,30.26,31.43,29.06,30.56,681461.0
2023-04-24,SYM,31.18,32.1721,29.1,30.13,564375.0
2023-04-25,SYM,30.19,31.27,29.23,29.24,416830.0
2023-04-26,SYM,29.24,31.2499,29.04,29.41,411058.0
2023-04-27,SYM,29.61,29.9955,26.35,27.99,831907.0
2023-04-28,SYM,27.97,28.21,26.26,26.56,750515.0
2023-05-01,SYM,26.25,27.44,25.58,26.77,857087.0
2023-05-02,SYM,26.77,26.8,22.4,23.4,1957371.0
2023-05-03,SYM,23.84,25.67,22.8872,25.35,835471.0
2023-05-04,SYM,25.65,27.05,25.1079,26.51,756413.0
2023-05-05,SYM,26.68,28.0999,26.57,27.04,765137.0
2023-05-08,SYM,27.43,28.12,26.07,28.1,363948.0
2023-05-09,SYM,28.8,29.0,27.27,27.88,748846.0
2023-05-10,SYM,27.85,28.21,25.63,26.52,369869.0
2023-05-11,SYM,26.42,26.75,24.8886,25.07,337959.0
2023-05-12,SYM,25.02,25.995,24.41,24.44,465323.0
2023-05-15,SYM,24.55,25.1496,24.17,24.6,505827.0
2023-05-16,SYM,24.67,25.1,23.5801,24.5,391648.0
2023-05-17,SYM,25.57,28.24,25.2121,28.14,882898.0
2023-05-18,SYM,28.64,31.85,27.7601,31.34,1187262.0
2023-05-19,SYM,31.9,32.0,28.3801,29.03,809799.0
2023-05-22,SYM,29.34,31.55,28.72,31.13,661698.0
2023-05-23,SYM,31.35,32.4399,30.965,31.14,448356.0
2023-05-24,SYM,31.31,32.3,30.46,32.2,444481.0
2023-05-25,SYM,33.42,35.68,32.28,35.34,841964.0
2023-05-26,SYM,35.5,36.53,34.2,36.1,715310.0
2023-05-30,SYM,36.69,37.56,35.33,37.54,572493.0
2023-05-31,SYM,37.04,37.18,32.37,32.98,1095791.0
2023-06-01,SYM,32.9,36.12,32.8,35.86,622059.0
2023-06-02,SYM,36.3,36.4711,32.9,33.44,607928.0
2023-06-05,SYM,34.0,35.64,32.8,34.37,619221.0
2023-06-06,SYM,34.06,35.85,33.39,35.72,615490.0
2023-06-07,SYM,36.83,41.35,36.79,40.25,2072029.0
2023-06-08,SYM,40.0,42.92,39.0,41.19,992609.0
2023-06-09,SYM,41.5,43.75,41.37,43.09,711580.0
2023-06-12,SYM,44.31,44.5639,40.26,40.72,1211697.0
2023-06-13,SYM,42.73,47.81,40.02,46.93,1811329.0
2023-06-14,SYM,47.76,48.62,45.69,48.17,1230269.0
2023-06-15,SYM,48.0,53.83,46.26,48.64,2247329.0
2023-06-16,SYM,49.42,52.1,48.01,51.22,1931338.0
2023-06-20,SYM,51.15,52.94,45.24,50.84,1466117.0
2023-06-21,SYM,49.55,50.6733,45.45,45.79,1262357.0
2023-06-22,SYM,46.35,46.5,41.72,42.0,1424193.0
2023-06-23,SYM,41.06,42.9499,37.86,39.51,1632433.0
2023-06-26,SYM,39.5,41.24,36.86,37.08,1224027.0
2023-06-27,SYM,38.11,39.6499,37.14,39.0,1104955.0
2023-06-28,SYM,39.23,42.22,38.44,41.84,1117208.0
2023-06-29,SYM,40.16,43.68,38.9,41.45,1130903.0
2023-06-30,SYM,42.0,44.89,41.82,42.81,900241.0
2023-07-03,SYM,42.66,44.47,42.45,43.58,402348.0
2023-07-05,SYM,43.51,43.92,40.83,41.31,694738.0
2023-07-06,SYM,40.82,40.82,38.31,40.01,628047.0
2023-07-07,SYM,40.37,43.1,40.2993,41.17,502853.0
2023-07-10,SYM,42.32,46.14,40.9,45.71,867845.0
2023-07-11,SYM,47.16,47.26,44.63,46.95,603128.0
2023-07-12,SYM,47.85,48.17,42.0,43.37,1029622.0
2023-07-13,SYM,43.88,46.43,43.3,46.26,592005.0
2023-07-14,SYM,46.82,48.07,43.65,44.11,701957.0
2023-07-17,SYM,44.35,49.78,43.41,49.49,1417544.0
2023-07-18,SYM,49.49,53.0,48.7,52.08,1462658.0
2023-07-19,SYM,52.33,53.59,46.51,48.7,1425208.0
2023-07-20,SYM,48.09,48.09,43.908,45.67,917567.0
2023-07-21,SYM,46.06,46.2299,42.78,43.68,734749.0
2023-07-24,SYM,46.9,47.93,35.2,40.97,4321392.0
2023-07-25,SYM,41.36,41.4097,37.975,38.17,1448734.0
2023-07-26,SYM,39.39,42.1835,38.88,41.28,1050796.0
2023-07-27,SYM,42.41,42.87,39.0,39.46,723260.0
2023-07-28,SYM,39.79,43.2,38.85,42.18,1071475.0
2023-07-31,SYM,46.17,64.14,44.2768,63.54,5839390.0
2023-08-01,SYM,59.1,61.5455,53.8,57.61,2399542.0
2023-08-02,SYM,56.1,60.2,54.19,58.98,1229382.0
2023-08-03,SYM,58.5,62.37,57.52,57.98,1353482.0
2023-08-04,SYM,58.09,58.63,53.06,53.61,1343889.0
2023-08-07,SYM,53.61,54.7,50.81,52.48,735608.0
2023-08-08,SYM,51.28,52.44,49.55,49.99,852858.0
2023-08-09,SYM,48.99,49.22,43.36,44.88,1581440.0
2023-08-10,SYM,45.14,49.578,45.05,45.95,1002831.0
2023-08-11,SYM,45.65,45.94,42.77,43.53,1003186.0
2023-08-14,SYM,43.49,45.4499,43.245,44.45,1051975.0
2023-08-15,SYM,43.96,44.8,40.0,40.11,1123348.0
2023-08-16,SYM,40.11,40.66,38.32,39.32,1196625.0
2023-08-17,SYM,39.21,40.44,38.39,38.4,680751.0
2023-08-18,SYM,37.19,39.4699,37.0,37.64,960882.0
2023-08-21,SYM,37.8,38.487,35.92,36.41,1406160.0
2023-08-22,SYM,37.6,38.88,36.735,37.64,917700.0
2023-08-23,SYM,37.91,40.94,36.8001,40.22,868178.0
2023-08-24,SYM,41.15,41.15,38.35,39.16,840209.0
2023-08-25,SYM,39.18,39.86,36.23,37.26,912078.0
2023-08-28,SYM,37.5,40.4089,37.5,39.785,563226.0
2023-08-29,SYM,39.5,40.56,38.5639,39.33,1065138.0
2023-08-30,SYM,39.89,40.4,37.4,39.53,956464.0
2023-08-31,SYM,40.0,42.58,39.47,41.79,1132083.0
2023-09-01,SYM,42.5,43.0501,40.8701,41.92,623829.0
2023-09-05,SYM,41.5,42.005,39.18,40.07,748401.0
2023-09-06,SYM,40.34,41.634,39.14,39.6,547465.0
2023-09-07,SYM,38.75,38.8,36.24,36.69,1226359.0
2023-09-08,SYM,36.78,37.68,35.3,35.61,713801.0
2023-09-11,SYM,36.08,36.23,34.37,34.93,890383.0
2023-09-12,SYM,34.42,34.56,32.71,33.09,1408244.0
2023-09-13,SYM,33.92,34.48,31.97,32.4,971424.0
2023-09-14,SYM,33.0,33.625,32.16,32.63,815604.0
2023-09-15,SYM,32.32,32.57,30.88,31.85,1606269.0
2023-09-18,SYM,31.95,33.4,31.51,32.48,704966.0
2023-09-19,SYM,32.48,33.24,31.56,32.76,543936.0
2023-09-20,SYM,33.1,34.2,32.14,32.23,575599.0
2023-09-21,SYM,31.16,31.97,30.9,31.08,609881.0
2023-09-22,SYM,31.4,31.95,30.4572,31.06,406363.0
2023-09-25,SYM,30.37,31.075,30.01,30.27,513347.0
2023-09-26,SYM,30.0,31.52,29.62,30.73,686016.0
2023-09-27,SYM,31.18,32.66,31.18,32.5,510801.0
2023-09-28,SYM,32.77,33.49,32.11,32.62,582068.0
2023-09-29,SYM,33.23,34.2523,32.77,33.43,869812.0
2023-10-02,SYM,33.55,34.94,33.36,34.52,721988.0
2023-10-03,SYM,33.61,33.87,30.81,31.19,1142616.0
2023-10-04,SYM,31.5,32.11,30.845,31.84,474890.0
2023-10-05,SYM,31.6,32.2589,30.82,31.84,323726.0
2023-10-06,SYM,31.62,35.12,31.59,34.87,695445.0
2023-10-09,SYM,34.68,36.89,34.1,36.81,815572.0
2023-10-10,SYM,37.85,40.27,37.1,39.53,1394704.0
2023-10-11,SYM,40.31,42.8499,40.21,41.84,1869471.0
2023-10-12,SYM,42.06,42.74,39.86,40.68,1125616.0
2023-10-13,SYM,41.94,42.054,38.95,39.24,855564.0
2023-10-16,SYM,39.27,44.1,39.27,43.6,944417.0
2023-10-17,SYM,43.14,47.23,42.71,46.29,1882116.0
2023-10-18,SYM,45.32,46.55,42.011,42.14,1009905.0
2023-10-19,SYM,42.72,44.01,42.0442,42.72,726745.0
2023-10-20,SYM,42.35,43.3699,40.35,41.37,800819.0
2023-10-23,SYM,40.69,40.7462,37.86,38.64,1248566.0
2023-10-24,SYM,39.6,41.9881,39.27,41.11,961603.0
