Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,TALK,0.7474,0.8444,0.6921,0.8187,1153150.0
2022-11-14,TALK,0.8023,0.82,0.7604,0.7664,153485.0
2022-11-15,TALK,0.77,0.79,0.7201,0.7575,348040.0
2022-11-16,TALK,0.7534,0.7699,0.631,0.6715,607012.0
2022-11-17,TALK,0.6612,0.697,0.65,0.6521,196512.0
2022-11-18,TALK,0.65,0.6766,0.62,0.6222,211857.0
2022-11-21,TALK,0.6499,0.65,0.6015,0.6015,285439.0
2022-11-22,TALK,0.6,0.65,0.57,0.5896,931407.0
2022-11-23,TALK,0.595,0.65,0.59,0.62,419195.0
2022-11-25,TALK,0.6174,0.6505,0.59,0.6,63300.0
2022-11-28,TALK,0.7455,0.8724,0.7311,0.79,12186097.0
2022-11-29,TALK,0.79,0.8951,0.78,0.884,2883858.0
2022-11-30,TALK,0.81,0.95,0.81,0.88,1955632.0
2022-12-01,TALK,0.88,0.9213,0.824,0.8627,4370383.0
2022-12-02,TALK,0.83,0.88,0.82,0.85,454889.0
2022-12-05,TALK,0.85,0.88,0.8096,0.8373,418032.0
2022-12-06,TALK,0.8275,0.863,0.7675,0.784,456675.0
2022-12-07,TALK,0.78,0.7988,0.69,0.7,552365.0
2022-12-08,TALK,0.679,0.7771,0.6601,0.7283,586156.0
2022-12-09,TALK,0.7106,0.7615,0.7,0.7201,238458.0
2022-12-12,TALK,0.72,0.7716,0.7,0.7151,348039.0
2022-12-13,TALK,0.7621,0.793,0.7152,0.7577,360433.0
2022-12-14,TALK,0.73,0.7771,0.702,0.7073,343957.0
2022-12-15,TALK,0.69,0.8024,0.69,0.7702,577471.0
2022-12-16,TALK,0.775,0.8874,0.775,0.8551,1040674.0
2022-12-19,TALK,0.88,0.89,0.7392,0.7509,274819.0
2022-12-20,TALK,0.73,0.78,0.6901,0.7199,316296.0
2022-12-21,TALK,0.7,0.7669,0.7,0.7367,408801.0
2022-12-22,TALK,0.746,0.746,0.6781,0.6861,295304.0
2022-12-23,TALK,0.679,0.7,0.63,0.6677,329616.0
2022-12-27,TALK,0.676,0.676,0.5923,0.62,610328.0
2022-12-28,TALK,0.6368,0.6369,0.53,0.5865,1341892.0
2022-12-29,TALK,0.58,0.6515,0.565,0.601,805715.0
2022-12-30,TALK,0.601,0.63,0.575,0.6103,688498.0
2023-01-03,TALK,0.6163,0.6396,0.5584,0.6,310396.0
2023-01-04,TALK,0.5961,0.6258,0.57,0.6,258190.0
2023-01-05,TALK,0.6,0.6499,0.584,0.584,246639.0
2023-01-06,TALK,0.6699,0.67,0.59,0.66,525404.0
2023-01-09,TALK,0.6615,0.696,0.625,0.6394,183332.0
2023-01-10,TALK,0.6763,0.7359,0.65,0.7201,385891.0
2023-01-11,TALK,0.7343,0.747,0.64,0.6854,443236.0
2023-01-12,TALK,0.6854,0.7577,0.68,0.7398,411528.0
2023-01-13,TALK,0.7029,0.768,0.625,0.7502,515638.0
2023-01-17,TALK,0.76,0.77,0.7,0.765,311095.0
2023-01-18,TALK,0.7252,0.8091,0.7111,0.7427,489941.0
2023-01-19,TALK,0.73,0.7949,0.7126,0.7369,170175.0
2023-01-20,TALK,0.73,0.7493,0.7003,0.738,127679.0
2023-01-23,TALK,0.7289,0.7638,0.7002,0.7301,177746.0
2023-01-24,TALK,0.7499,0.8,0.7128,0.7503,164873.0
2023-01-25,TALK,0.7307,0.7939,0.7,0.7939,349121.0
2023-01-26,TALK,0.7939,0.8277,0.77,0.8129,203919.0
2023-01-27,TALK,0.8011,0.8447,0.8011,0.838,194273.0
2023-01-30,TALK,0.84,0.8466,0.813,0.82,445814.0
2023-01-31,TALK,0.82,0.8429,0.77,0.8173,131520.0
2023-02-01,TALK,0.8073,0.834899,0.7783,0.8195,299176.0
2023-02-02,TALK,0.82,0.8577,0.8,0.8488,289904.0
2023-02-03,TALK,0.83,0.834,0.79,0.82,201168.0
2023-02-06,TALK,0.8368,0.85,0.78,0.8132,241167.0
2023-02-07,TALK,0.81,0.85,0.81,0.85,187364.0
2023-02-08,TALK,0.85,0.88,0.82,0.85,512147.0
2023-02-09,TALK,0.85,0.92,0.7961,0.9099,1347853.0
2023-02-10,TALK,0.9294,0.97,0.899,0.9361,715156.0
2023-02-13,TALK,0.97,0.9767,0.8733,0.925,263442.0
2023-02-14,TALK,0.94,0.9666,0.9,0.9648,1353891.0
