Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,TBNK,20.783,20.9,20.57,20.7,4303
2022-11-14,TBNK,20.56,20.755,20.5,20.63,20420
2022-11-15,TBNK,20.51,20.74,20.45,20.54,29191
2022-11-16,TBNK,20.6398,20.65,20.04,20.63,18420
2022-11-17,TBNK,20.54,20.58,20.0289,20.37,13818
2022-11-18,TBNK,20.35,20.58,20.35,20.5,9805
2022-11-21,TBNK,20.6,20.8705,20.4617,20.5,11096
2022-11-22,TBNK,20.63,22.29,20.55,22.0,17766
2022-11-23,TBNK,22.12,22.8853,21.81,22.48,12692
2022-11-25,TBNK,22.5,22.95,22.08,22.72,13470
2022-11-28,TBNK,22.74,22.74,22.18,22.49,11892
2022-11-29,TBNK,22.57,22.915,22.51,22.67,4305
2022-11-30,TBNK,22.78,22.89,22.05,22.7,20909
2022-12-01,TBNK,22.8,22.8541,22.4,22.51,11610
2022-12-02,TBNK,22.52,22.8,22.3,22.78,5018
2022-12-05,TBNK,22.79,22.79,22.47,22.57,13031
2022-12-06,TBNK,22.67,22.719,22.61,22.69,10139
2022-12-07,TBNK,22.85,23.295,22.6,22.8,17621
2022-12-08,TBNK,22.92,22.95,22.74,22.89,12189
2022-12-09,TBNK,22.85,23.03,22.715,22.99,14090
2022-12-12,TBNK,23.12,23.42,22.93,23.2,21965
2022-12-13,TBNK,23.36,23.6068,22.71,22.71,26515
2022-12-14,TBNK,22.88,23.01,22.435,22.46,13709
2022-12-15,TBNK,22.46,22.7,22.415,22.53,7310
2022-12-16,TBNK,22.46,22.68,22.12,22.12,15009
2022-12-19,TBNK,22.33,22.78,21.93,22.37,13397
2022-12-20,TBNK,22.5,23.2599,22.5,22.61,11996
2022-12-21,TBNK,22.8,23.0,22.8,22.88,31344
2022-12-22,TBNK,22.94,23.13,22.79,22.83,44436
2022-12-23,TBNK,22.93,23.34,22.79,22.89,122698
2022-12-27,TBNK,22.89,23.3,22.89,22.96,45124
2022-12-28,TBNK,23.04,23.55,22.65,22.85,54968
2022-12-29,TBNK,22.98,23.95,22.98,23.86,18493
2022-12-30,TBNK,23.74,24.12,23.74,24.01,5984
2023-01-03,TBNK,24.13,24.39,23.9,24.27,11450
2023-01-04,TBNK,24.19,24.615,24.1,24.28,21614
2023-01-05,TBNK,24.192,24.5,24.02,24.38,19255
2023-01-06,TBNK,24.4999,25.0,24.4999,25.0,9242
2023-01-09,TBNK,24.93,25.2,24.64,25.11,13635
2023-01-10,TBNK,25.16,25.245,25.0,25.13,22192
2023-01-11,TBNK,25.3249,25.5,25.01,25.25,18427
2023-01-12,TBNK,25.27,25.28,24.96,25.28,24049
2023-01-13,TBNK,25.09,25.32,24.885,25.06,5427
2023-01-17,TBNK,24.6483,24.95,24.6483,24.9,8714
2023-01-18,TBNK,24.84,24.84,24.4701,24.62,9380
2023-01-19,TBNK,24.56,24.56,24.15,24.33,10206
2023-01-20,TBNK,24.26,24.91,24.26,24.64,22902
2023-01-23,TBNK,24.74,24.74,24.195,24.64,8914
2023-01-24,TBNK,24.5,24.65,24.09,24.19,4167
2023-01-25,TBNK,24.29,24.665,24.03,24.32,8883
2023-01-26,TBNK,24.46,24.46,23.92,24.02,10017
2023-01-27,TBNK,24.15,24.1699,23.76,23.8,6906
2023-01-30,TBNK,23.91,24.21,23.61,23.78,5429
2023-01-31,TBNK,23.5604,24.32,23.5604,24.02,19116
2023-02-01,TBNK,24.0,25.2,23.9,24.86,42647
2023-02-02,TBNK,24.86,25.155,24.68,25.0,12079
2023-02-03,TBNK,24.86,25.0,24.47,24.89,8296
2023-02-06,TBNK,24.77,24.8364,24.52,24.73,12568
2023-02-07,TBNK,24.7,24.86,24.7,24.82,16830
2023-02-08,TBNK,24.46,24.615,23.78,24.33,7066
2023-02-09,TBNK,24.133,24.42,24.11,24.24,6819
2023-02-10,TBNK,24.25,24.25,23.8521,24.0,9512
2023-02-13,TBNK,24.18,24.21,23.89,24.18,6059
2023-02-14,TBNK,24.17,24.17,23.9,23.91,7499
2023-02-15,TBNK,23.98,23.99,23.82,23.82,10525
2023-02-16,TBNK,23.49,23.85,23.49,23.68,4940
2023-02-17,TBNK,23.55,23.79,23.53,23.62,5073
2023-02-21,TBNK,23.35,23.6,23.295,23.33,7326
2023-02-22,TBNK,23.56,23.56,23.27,23.29,6517
2023-02-23,TBNK,23.4,23.66,23.015,23.66,11600
2023-02-24,TBNK,23.47,23.4977,23.085,23.285,8316
2023-02-27,TBNK,23.745,23.745,23.08,23.29,7491
2023-02-28,TBNK,23.1,23.29,22.95,22.98,8606
2023-03-01,TBNK,22.84,23.3,22.84,23.1,9553
2023-03-02,TBNK,23.16,23.16,22.82,22.85,11749
2023-03-03,TBNK,23.21,23.21,22.4,22.53,14328
2023-03-06,TBNK,22.49,22.6,22.415,22.5,12940
2023-03-07,TBNK,22.19,22.38,21.845,22.17,12519
2023-03-08,TBNK,22.13,22.13,21.86,22.06,18655
2023-03-09,TBNK,21.77,21.81,21.2109,21.35,21548
2023-03-10,TBNK,21.17,21.17,19.98,20.31,52011
2023-03-13,TBNK,19.82,19.82,18.4301,19.2,27860
2023-03-14,TBNK,19.8,20.3699,19.29,19.41,39466
2023-03-15,TBNK,19.31,19.5799,18.875,19.38,48436
2023-03-16,TBNK,19.0,20.64,18.91,20.37,53124
2023-03-17,TBNK,20.11,20.11,19.53,19.53,50869
2023-03-20,TBNK,19.74,19.96,19.36,19.58,36453
2023-03-21,TBNK,19.8,20.47,19.7,20.1,31153
2023-03-22,TBNK,20.06,20.1932,19.14,19.14,41011
2023-03-23,TBNK,19.33,19.45,18.37,18.79,36096
2023-03-24,TBNK,18.67,19.35,18.45,19.26,37385
2023-03-27,TBNK,19.46,19.86,19.26,19.36,12256
2023-03-28,TBNK,19.38,19.79,19.38,19.65,14861
2023-03-29,TBNK,19.6,19.74,19.27,19.63,35467
2023-03-30,TBNK,19.66,19.66,19.38,19.38,6328
2023-03-31,TBNK,19.33,19.47,19.18,19.31,20782
2023-04-03,TBNK,19.23,19.5,19.115,19.29,35093
2023-04-04,TBNK,19.31,19.31,19.02,19.03,16952
2023-04-05,TBNK,18.86,19.69,18.81,19.68,36675
2023-04-06,TBNK,19.35,20.27,19.3,19.88,21799
2023-04-10,TBNK,19.71,20.27,19.545,19.56,30164
2023-04-11,TBNK,19.59,20.2,19.59,20.03,28709
2023-04-12,TBNK,20.0,20.23,19.79,20.16,30839
2023-04-13,TBNK,20.2,20.37,20.015,20.23,18226
2023-04-14,TBNK,20.37,20.4379,19.74,19.74,21092
2023-04-17,TBNK,19.88,19.915,19.3,19.3,26307
2023-04-18,TBNK,19.3,19.51,18.71,18.71,22921
2023-04-19,TBNK,18.68,19.0515,18.37,18.5,28136
2023-04-20,TBNK,18.51,18.73,18.1,18.23,34497
2023-04-21,TBNK,18.16,18.42,17.85,18.02,30516
2023-04-24,TBNK,18.05,18.15,17.575,17.81,13473
2023-04-25,TBNK,17.81,17.81,17.07,17.15,37894
2023-04-26,TBNK,17.5,17.5,17.05,17.14,29402
2023-04-27,TBNK,17.15,17.47,16.815,16.9,23160
2023-04-28,TBNK,16.9,17.215,16.59,16.75,49640
2023-05-01,TBNK,16.79,16.79,16.56,16.56,19723
2023-05-02,TBNK,16.5,16.5,10.51,10.59,186367
2023-05-03,TBNK,11.15,12.3,10.705,11.9,128187
2023-05-04,TBNK,11.95,12.2057,10.84,11.21,82198
2023-05-05,TBNK,11.27,11.65,10.85,11.3,103292
2023-05-08,TBNK,11.38,11.4598,11.0,11.02,58841
2023-05-09,TBNK,11.28,11.28,10.78,10.98,80979
2023-05-10,TBNK,10.78,10.82,10.12,10.29,71690
2023-05-11,TBNK,10.26,10.58,10.06,10.54,47624
2023-05-12,TBNK,10.59,10.59,9.571,9.8,60581
2023-05-15,TBNK,9.94,10.2798,9.87,10.07,45973
2023-05-16,TBNK,10.1,10.34,10.02,10.02,37323
2023-05-17,TBNK,10.13,10.92,10.13,10.9,42607
2023-05-18,TBNK,10.92,10.96,10.73,10.95,40902
2023-05-19,TBNK,11.0,11.2397,11.0,11.15,28379
2023-05-22,TBNK,11.17,11.41,10.83,11.34,30677
2023-05-23,TBNK,11.31,11.64,11.17,11.3,22443
2023-05-24,TBNK,11.17,11.54,11.17,11.46,32751
2023-05-25,TBNK,11.37,11.64,11.17,11.5,81044
2023-05-26,TBNK,11.52,11.65,11.355,11.5,33496
