Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,TCI,41.93,41.93,40.89,41.1,12093
2022-11-14,TCI,40.89,41.44,39.6,39.72,6434
2022-11-15,TCI,40.42,41.5,40.16,40.59,2899
2022-11-16,TCI,40.5,40.5,39.7207,40.12,1639
2022-11-17,TCI,40.09,40.45,39.535,40.21,3260
2022-11-18,TCI,40.63,41.0,40.45,40.99,2812
2022-11-21,TCI,40.46,41.58,40.05,40.5,10048
2022-11-22,TCI,41.27,41.5765,41.27,41.54,1153
2022-11-23,TCI,41.0,41.25,41.0,41.25,1179
2022-11-25,TCI,41.433,41.433,41.433,41.433,454
2022-11-28,TCI,41.43,41.75,41.4,41.5,5301
2022-11-29,TCI,41.33,41.74,40.53,41.5,11224
2022-11-30,TCI,41.5,42.35,41.45,42.35,12241
2022-12-01,TCI,42.49,42.94,41.27,42.01,6616
2022-12-02,TCI,42.06,42.78,41.5,42.68,14167
2022-12-05,TCI,42.01,43.28,42.01,43.28,4611
2022-12-06,TCI,42.92,43.59,42.79,43.49,3856
2022-12-07,TCI,43.15,43.65,42.5073,42.92,8527
2022-12-08,TCI,43.14,44.515,42.94,44.0,8006
2022-12-09,TCI,47.2,47.2,43.75,44.87,18633
2022-12-12,TCI,46.46,46.49,44.75,45.21,15352
2022-12-13,TCI,45.83,47.25,45.403,45.72,12005
2022-12-14,TCI,45.44,46.02,45.44,45.5,10239
2022-12-15,TCI,45.76,46.0,44.44,44.9,13918
2022-12-16,TCI,44.68,44.68,42.12,42.12,33802
2022-12-19,TCI,42.59,42.75,41.22,41.22,10366
2022-12-20,TCI,41.71,43.1,41.5,41.64,18145
2022-12-21,TCI,42.16,42.98,42.16,42.97,1273
2022-12-22,TCI,42.23,42.23,42.23,42.23,1038
2022-12-23,TCI,42.98,43.57,42.98,43.57,735
2022-12-27,TCI,42.98,44.4899,42.98,44.32,7952
2022-12-28,TCI,44.37,44.61,44.06,44.06,5009
2022-12-29,TCI,44.07,44.07,43.744,43.88,2255
2022-12-30,TCI,43.87,44.18,43.575,44.18,2176
2023-01-03,TCI,44.0,44.45,43.4999,43.81,19361
2023-01-04,TCI,44.23,45.34,43.8,45.34,14538
2023-01-05,TCI,44.94,44.94,44.8,44.82,2964
2023-01-06,TCI,45.03,45.67,45.03,45.61,1083
2023-01-09,TCI,46.0,46.56,45.28,45.28,2559
2023-01-10,TCI,45.27,47.32,45.27,47.29,8111
2023-01-11,TCI,46.9,47.1999,46.2803,46.55,4135
2023-01-12,TCI,47.24,47.24,47.07,47.07,5223
2023-01-13,TCI,46.89,46.94,46.0,46.94,2492
2023-01-17,TCI,47.35,47.35,46.0009,46.65,3445
2023-01-18,TCI,46.05,46.25,44.6601,45.07,9782
2023-01-19,TCI,44.73,45.75,44.73,45.05,13982
2023-01-20,TCI,45.28,45.28,45.24,45.24,1501
2023-01-23,TCI,45.04,45.21,44.78,44.99,2216
2023-01-24,TCI,44.49,45.37,44.49,45.22,4710
2023-01-25,TCI,45.21,45.75,45.0,45.43,5816
2023-01-26,TCI,45.63,46.31,44.87,45.93,3572
2023-01-27,TCI,45.29,45.65,45.0,45.65,3797
2023-01-30,TCI,44.91,45.7899,44.55,44.55,13081
2023-01-31,TCI,44.8,45.97,44.8,45.5,13846
2023-02-01,TCI,45.285,46.13,45.1145,45.82,11475
2023-02-02,TCI,45.75,45.815,45.35,45.35,9836
2023-02-03,TCI,45.69,45.69,45.0,45.11,8397
2023-02-06,TCI,45.27,45.27,44.77,44.77,14576
2023-02-07,TCI,44.99,45.57,44.48,45.5,5513
2023-02-08,TCI,45.16,45.68,44.5,45.5,9860
2023-02-09,TCI,45.99,46.29,45.71,46.18,5908
2023-02-10,TCI,46.0,46.31,46.0,46.31,5999
2023-02-13,TCI,46.16,46.415,45.81,45.88,3362
2023-02-14,TCI,45.87,46.0,45.63,45.63,1125
2023-02-15,TCI,45.27,45.34,45.15,45.34,1331
2023-02-16,TCI,44.5,45.47,44.44,45.01,5378
2023-02-17,TCI,44.5,45.37,44.5,45.37,6815
2023-02-21,TCI,45.0,45.4,44.54,44.8,3124
2023-02-22,TCI,44.53,45.0,44.53,44.81,5434
2023-02-23,TCI,44.84,45.2,44.53,44.78,5440
2023-02-24,TCI,44.1582,44.63,44.1582,44.63,2233
2023-02-27,TCI,44.95,44.95,44.03,44.03,3540
2023-02-28,TCI,44.06,44.3209,43.61,43.61,2450
2023-03-01,TCI,43.86,44.2,43.48,43.48,2861
2023-03-02,TCI,44.232,44.232,43.24,43.24,3500
2023-03-03,TCI,43.37,43.64,43.08,43.63,4460
2023-03-06,TCI,43.93,44.12,43.59,44.12,2979
2023-03-07,TCI,43.8,44.42,43.75,43.87,3093
2023-03-08,TCI,44.07,44.46,44.05,44.46,2002
2023-03-09,TCI,44.35,44.5,43.29,43.29,2217
2023-03-10,TCI,43.63,43.63,42.3201,43.03,3876
2023-03-13,TCI,42.36,42.5,41.43,41.43,6337
2023-03-14,TCI,42.33,43.19,41.7,42.63,13307
2023-03-15,TCI,42.1,43.33,42.1,42.87,6311
2023-03-16,TCI,42.95,45.0699,42.39,44.8,17035
2023-03-17,TCI,44.0,44.33,42.4,43.72,11649
2023-03-20,TCI,44.85,45.44,44.0,45.2,7306
2023-03-21,TCI,45.41,45.75,43.26,44.03,13051
2023-03-22,TCI,43.99,43.99,42.55,42.55,9809
2023-03-23,TCI,42.7173,43.2343,42.21,42.21,2437
2023-03-24,TCI,41.75,42.25,41.75,42.25,1812
2023-03-27,TCI,42.83,42.83,41.82,41.91,3775
2023-03-28,TCI,41.11,41.3,41.11,41.25,2077
2023-03-29,TCI,41.25,41.44,41.02,41.02,1843
2023-03-30,TCI,40.12,41.85,40.12,41.61,1077
2023-03-31,TCI,42.39,42.39,42.39,42.39,958
2023-04-03,TCI,41.99,41.99,38.5,39.3,21060
2023-04-04,TCI,38.9,39.485,38.46,38.46,9378
