Date,Ticker,Open,High,Low,Close,Volume
2024-01-10,TCTM,1.2,1.37,0.9001,1.36,1059689.0
2024-01-11,TCTM,1.21,1.3,1.12,1.3,25608.0
2024-01-12,TCTM,1.2,1.3,1.15,1.18,6528.0
2024-01-16,TCTM,1.14,1.21,1.0657,1.18,10690.0
2024-01-17,TCTM,1.24,1.24,1.1,1.19,2685.0
2024-01-18,TCTM,1.2023,1.24,1.2,1.24,2033.0
2024-01-19,TCTM,1.24,1.24,1.11,1.195,3890.0
2024-01-22,TCTM,1.16,1.19,1.0336,1.0501,16943.0
2024-01-23,TCTM,1.08,1.09,1.01,1.01,10991.0
2024-01-24,TCTM,1.06,1.2007,1.0287,1.0287,4999.0
2024-01-25,TCTM,1.03,1.055,1.01,1.055,5008.0
2024-01-26,TCTM,1.05,1.09,1.05,1.09,1041.0
2024-01-29,TCTM,1.02,1.11,1.0,1.02,3311.0
2024-01-30,TCTM,1.02,1.0625,1.0,1.05,3176.0
2024-01-31,TCTM,1.0219,1.05,0.9271,0.9271,4896.0
2024-02-02,TCTM,0.93,0.93,0.93,0.93,1023.0
2024-02-05,TCTM,0.9302,1.01,0.93,0.9301,11461.0
2024-02-06,TCTM,0.9303,0.9359,0.93,0.93,1762.0
2024-02-07,TCTM,0.93,1.01,0.93,0.96495,15872.0
2024-02-08,TCTM,1.0,1.13,1.0,1.0,17027.0
2024-02-09,TCTM,1.0601,1.0601,1.0601,1.0601,1707.0
2024-02-12,TCTM,0.9304,1.0246,0.9304,1.0,1117.0
2024-02-13,TCTM,1.06,1.06,1.06,1.06,535.0
2024-02-14,TCTM,0.9303,1.02,0.9303,0.9624,6105.0
2024-02-15,TCTM,1.1,1.1099,1.045,1.06,1037095.0
2024-02-16,TCTM,1.94,2.4,1.401,1.8,12177944.0
2024-02-20,TCTM,1.47,1.9,1.47,1.82,636844.0
2024-02-21,TCTM,1.68,1.74,1.53,1.69,131021.0
2024-02-22,TCTM,1.58,1.75,1.54,1.6,91372.0
2024-02-23,TCTM,1.4,1.555,1.3419,1.4,116178.0
2024-02-26,TCTM,1.42,1.4846,1.34,1.35,39581.0
2024-02-27,TCTM,1.35,1.44,1.3,1.41,151881.0
