Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,TDG,646.52,646.52,623.0,626.25,325179.0
2022-11-14,TDG,621.51,626.23,615.24,616.14,270417.0
2022-11-15,TDG,627.81,628.69,611.88,618.01,401838.0
2022-11-16,TDG,617.0,617.69,606.92,612.57,299256.0
2022-11-17,TDG,602.57,612.485,598.0,602.08,186130.0
2022-11-18,TDG,610.62,621.545,609.12,620.61,223879.0
2022-11-21,TDG,615.42,621.75,614.52,616.39,194517.0
2022-11-22,TDG,619.62,631.98,616.92,629.36,274015.0
2022-11-23,TDG,629.8,643.2,625.51,639.04,216099.0
2022-11-25,TDG,639.61,639.61,632.27,636.54,74255.0
2022-11-28,TDG,619.23,620.94,602.73,606.09,312687.0
2022-11-29,TDG,606.09,612.79,604.93,609.88,214445.0
2022-11-30,TDG,610.15,629.23,602.04,628.5,464663.0
2022-12-01,TDG,630.22,637.995,626.89,634.64,244212.0
2022-12-02,TDG,609.02,626.49,607.63,621.82,475194.0
2022-12-05,TDG,615.49,622.015,611.92,616.85,216441.0
2022-12-06,TDG,618.98,618.98,601.91,607.45,166472.0
2022-12-07,TDG,607.61,614.98,604.44,609.69,305720.0
2022-12-08,TDG,618.25,631.44,611.58,614.47,328249.0
2022-12-09,TDG,611.79,618.68,609.7,609.7,181698.0
2022-12-12,TDG,612.06,618.08,609.17,618.02,261547.0
2022-12-13,TDG,635.0,636.815,623.05,626.59,434347.0
2022-12-14,TDG,624.81,635.665,623.26,628.01,447047.0
2022-12-15,TDG,621.18,621.18,608.28,612.15,264329.0
2022-12-16,TDG,604.89,614.855,599.42,605.73,424342.0
2022-12-19,TDG,605.08,611.5,599.515,602.05,217248.0
2022-12-20,TDG,602.72,611.18,602.35,610.16,266054.0
2022-12-21,TDG,614.85,627.66,614.85,627.64,241794.0
2022-12-22,TDG,620.69,621.955,604.84,619.05,296177.0
2022-12-23,TDG,619.07,623.47,615.565,620.32,153520.0
2022-12-27,TDG,624.02,630.825,620.4,626.45,184159.0
2022-12-28,TDG,624.86,629.25,618.824,621.7,245671.0
2022-12-29,TDG,625.88,632.75,625.27,628.4,190693.0
2022-12-30,TDG,622.57,629.85,622.51,629.65,164607.0
2023-01-03,TDG,633.04,633.93,623.575,625.77,216144.0
2023-01-04,TDG,627.15,638.42,627.15,633.56,275741.0
2023-01-05,TDG,629.61,637.22,627.39,636.46,272550.0
2023-01-06,TDG,640.0,652.51,638.78,649.03,282041.0
2023-01-09,TDG,653.63,658.13,648.33,650.82,248619.0
2023-01-10,TDG,647.25,658.81,645.06,658.8,268693.0
2023-01-11,TDG,660.0,673.94,659.91,673.83,535072.0
2023-01-12,TDG,674.96,682.495,669.86,680.2,432458.0
2023-01-13,TDG,676.96,685.705,673.105,683.88,347317.0
2023-01-17,TDG,685.0,691.0,678.72,680.35,384569.0
2023-01-18,TDG,685.35,689.55,671.48,672.11,329170.0
2023-01-19,TDG,666.92,671.17,659.59,660.24,292338.0
2023-01-20,TDG,664.75,673.33,661.08,672.65,427915.0
2023-01-23,TDG,673.03,686.7375,671.925,685.0,433213.0
2023-01-24,TDG,678.53,696.42,677.56,694.25,304264.0
2023-01-25,TDG,686.44,701.23,683.91,700.5,275833.0
2023-01-26,TDG,703.5,710.21,695.53,710.14,343108.0
2023-01-27,TDG,706.04,717.0,704.535,710.69,363298.0
2023-01-30,TDG,708.82,712.34,702.5,707.25,300557.0
2023-01-31,TDG,706.59,718.18,704.21,717.75,286124.0
2023-02-01,TDG,713.45,729.49,713.43,728.15,290606.0
2023-02-02,TDG,730.0,733.47,707.0,711.84,496042.0
2023-02-03,TDG,704.25,713.86,704.25,713.5,261078.0
2023-02-06,TDG,710.55,720.63,705.62,720.35,414334.0
2023-02-07,TDG,738.0,744.0,717.615,742.5,576991.0
2023-02-08,TDG,746.19,758.43,742.5575,754.3,460203.0
2023-02-09,TDG,757.61,766.71,746.37,746.98,636466.0
2023-02-10,TDG,745.15,751.0,729.78,730.47,719136.0
2023-02-13,TDG,731.0,741.6,726.895,740.51,723456.0
2023-02-14,TDG,737.14,758.31,737.14,755.68,339884.0
2023-02-15,TDG,749.32,768.63,749.32,768.16,428095.0
2023-02-16,TDG,740.0,756.16,738.91,748.67,497962.0
2023-02-17,TDG,743.35,745.74,734.07,743.97,316313.0
2023-02-21,TDG,741.04,741.84,734.63,737.2,268808.0
2023-02-22,TDG,739.86,746.18,736.82,740.99,212241.0
2023-02-23,TDG,741.69,747.1,736.0,746.3,314494.0
2023-02-24,TDG,736.46,742.25,729.44,741.85,181344.0
2023-02-27,TDG,745.74,748.73,741.35,747.4,429541.0
2023-02-28,TDG,748.6,755.14,743.22,743.87,376588.0
2023-03-01,TDG,743.07,756.7037,743.07,750.94,196865.0
2023-03-02,TDG,748.99,759.86,745.32,759.06,174910.0
2023-03-03,TDG,760.42,768.54,757.55,767.22,239811.0
2023-03-06,TDG,766.24,771.34,765.45,770.15,212788.0
2023-03-07,TDG,769.33,772.01,761.925,762.8,215392.0
2023-03-08,TDG,764.58,769.078,755.67,764.49,201393.0
2023-03-09,TDG,769.13,769.13,740.66,741.55,284229.0
2023-03-10,TDG,740.99,740.99,711.135,717.12,459462.0
2023-03-13,TDG,703.35,711.16,696.56,702.66,480371.0
2023-03-14,TDG,717.11,737.565,717.11,728.2,393122.0
2023-03-15,TDG,711.14,712.95,686.46,697.13,444156.0
2023-03-16,TDG,689.81,714.03,686.85,712.24,332223.0
2023-03-17,TDG,705.76,705.76,687.585,690.9,571049.0
2023-03-20,TDG,697.48,701.73,692.82,699.97,387473.0
2023-03-21,TDG,715.09,723.745,710.9939,716.46,315956.0
2023-03-22,TDG,717.3,722.02,704.62,704.88,208234.0
2023-03-23,TDG,708.07,714.43,698.41,701.25,202912.0
2023-03-24,TDG,692.03,707.48,689.655,703.89,304595.0
2023-03-27,TDG,712.69,718.65,707.4,713.67,212641.0
2023-03-28,TDG,711.69,720.365,711.69,719.79,160258.0
2023-03-29,TDG,721.33,732.98,721.33,732.25,233300.0
2023-03-30,TDG,736.04,738.06,731.34,734.87,179210.0
2023-03-31,TDG,739.22,742.0,732.255,737.05,290340.0
2023-04-03,TDG,739.505,749.205,738.3675,745.76,194691.0
2023-04-04,TDG,744.34,744.46,732.92,735.64,156428.0
2023-04-05,TDG,728.87,733.46,722.33,722.62,222823.0
2023-04-06,TDG,721.54,726.86,719.56,724.32,175877.0
2023-04-10,TDG,720.24,735.0475,714.98,733.91,180508.0
2023-04-11,TDG,737.04,740.48,733.65,738.82,182778.0
2023-04-12,TDG,744.84,749.85,740.055,745.43,157274.0
2023-04-13,TDG,748.21,755.23,742.24,753.72,251017.0
2023-04-14,TDG,748.06,755.945,748.06,751.83,234942.0
2023-04-17,TDG,752.13,757.665,749.44,754.44,133401.0
2023-04-18,TDG,757.43,763.3,757.16,762.43,240895.0
2023-04-19,TDG,761.11,766.61,758.37,760.64,200142.0
2023-04-20,TDG,756.89,765.76,754.02,763.0,207841.0
2023-04-21,TDG,767.95,767.95,759.4325,764.47,240518.0
2023-04-24,TDG,766.39,769.515,764.28,765.25,232800.0
2023-04-25,TDG,760.94,762.545,751.62,754.0,254737.0
2023-04-26,TDG,752.3,755.93,741.74,742.92,291280.0
2023-04-27,TDG,751.32,759.66,745.65,759.14,216402.0
2023-04-28,TDG,753.62,765.69,753.62,765.0,165276.0
2023-05-01,TDG,765.0,778.12,764.385,769.19,247660.0
2023-05-02,TDG,768.43,772.96,754.56,771.9,287406.0
2023-05-03,TDG,772.72,779.45,766.29,769.22,342599.0
2023-05-04,TDG,767.08,767.08,750.86,759.99,354970.0
2023-05-05,TDG,766.12,770.24,762.09,767.19,281741.0
2023-05-08,TDG,770.59,776.26,768.395,772.3,367731.0
2023-05-09,TDG,780.0,815.85,766.0,808.41,625917.0
2023-05-10,TDG,815.0,816.94,804.675,810.14,445145.0
2023-05-11,TDG,804.53,809.87,791.78,796.88,223011.0
2023-05-12,TDG,800.0,803.28,783.8,795.59,184707.0
2023-05-15,TDG,799.95,808.82,796.36,808.14,269002.0
2023-05-16,TDG,810.0,824.59,805.4,807.07,313424.0
2023-05-17,TDG,815.15,826.275,812.49,819.92,235076.0
2023-05-18,TDG,819.88,828.93,815.24,826.05,228641.0
2023-05-19,TDG,831.58,831.58,820.06,822.51,285883.0
2023-05-22,TDG,822.58,826.3,807.34,807.9,247542.0
2023-05-23,TDG,800.2,802.61,782.33,783.22,400011.0
2023-05-24,TDG,775.24,784.8,768.05,779.63,328705.0
2023-05-25,TDG,785.93,791.56,779.1727,786.71,341297.0
2023-05-26,TDG,787.5,799.05,787.5,792.49,206168.0
2023-05-30,TDG,790.0,793.895,778.47,780.46,202625.0
2023-05-31,TDG,777.9,779.795,768.23,773.65,507013.0
2023-06-01,TDG,775.63,782.89,775.375,778.15,239808.0
2023-06-02,TDG,783.77,802.08,779.34,793.82,284130.0
