Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,TDY,419.2,420.23,410.06,412.99,273288.0
2022-11-14,TDY,411.57,418.355,406.37,407.02,331276.0
2022-11-15,TDY,412.59,413.3,406.26,413.27,296644.0
2022-11-16,TDY,412.85,416.56,411.84,414.53,214692.0
2022-11-17,TDY,410.13,411.6114,403.9022,404.76,203929.0
2022-11-18,TDY,410.3,410.3,404.33,407.09,269350.0
2022-11-21,TDY,404.68,405.45,403.5921,404.86,304340.0
2022-11-22,TDY,408.46,415.415,406.05,415.2,211778.0
2022-11-23,TDY,414.84,420.92,412.19,419.94,173462.0
2022-11-25,TDY,421.0,421.44,417.94,420.17,59826.0
2022-11-28,TDY,417.59,418.988,412.0,413.33,156441.0
2022-11-29,TDY,412.9,415.215,407.8,408.78,200031.0
2022-11-30,TDY,407.99,420.12,406.8,420.1,257902.0
2022-12-01,TDY,420.5,428.47,419.28,424.45,219255.0
2022-12-02,TDY,420.0,428.18,420.0,427.19,155216.0
2022-12-05,TDY,423.4,424.96,421.13,423.53,231138.0
2022-12-06,TDY,424.79,424.79,412.84,413.26,178446.0
2022-12-07,TDY,412.29,418.0088,411.0,411.13,157236.0
2022-12-08,TDY,413.99,415.9504,409.42,411.23,136024.0
2022-12-09,TDY,409.86,410.65,405.48,405.69,125771.0
2022-12-12,TDY,411.09,420.14,407.095,419.8,275982.0
2022-12-13,TDY,430.71,430.71,417.752,420.91,234517.0
2022-12-14,TDY,420.51,425.05,417.485,421.07,223645.0
2022-12-15,TDY,415.92,415.92,404.41,405.21,182060.0
2022-12-16,TDY,400.86,403.48,394.9,396.46,331552.0
2022-12-19,TDY,396.06,398.25,389.86,390.28,193674.0
2022-12-20,TDY,391.0,394.24,389.43,392.15,203169.0
2022-12-21,TDY,394.37,399.71,392.345,399.66,157002.0
2022-12-22,TDY,397.14,397.14,388.25,393.31,132678.0
2022-12-23,TDY,393.74,395.91,391.32,393.75,94599.0
2022-12-27,TDY,395.75,398.255,391.62,397.03,97489.0
2022-12-28,TDY,396.95,400.68,390.01,390.69,124724.0
2022-12-29,TDY,393.76,399.505,392.13,398.15,115419.0
2022-12-30,TDY,395.73,401.265,392.7516,399.91,157810.0
2023-01-03,TDY,403.5,403.5,396.115,400.77,206802.0
2023-01-04,TDY,404.64,409.09,401.99,408.48,186695.0
2023-01-05,TDY,404.59,405.31,396.96,398.43,127186.0
2023-01-06,TDY,403.28,409.58,399.605,408.54,165668.0
2023-01-09,TDY,410.95,417.92,406.17,408.4,151010.0
