Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,TEAF,13.55,13.6727,13.5,13.5,65407
2022-11-14,TEAF,13.56,13.575,13.4513,13.52,7800
2022-11-15,TEAF,13.62,13.785,13.6,13.7,22588
2022-11-16,TEAF,13.66,13.696,13.43,13.55,49490
2022-11-17,TEAF,13.47,13.91,13.31,13.6,49155
2022-11-18,TEAF,13.68,13.72,13.59,13.72,24849
2022-11-21,TEAF,13.71,13.71,13.56,13.56,22489
2022-11-22,TEAF,13.61,13.88,13.61,13.76,14191
2022-11-23,TEAF,13.765,13.79,13.54,13.64,16303
2022-11-25,TEAF,13.68,13.7482,13.6582,13.68,4623
2022-11-28,TEAF,13.65,13.68,13.5501,13.67,32100
2022-11-29,TEAF,13.67,13.7867,13.65,13.73,39602
2022-11-30,TEAF,13.88,13.91,13.533,13.85,40719
2022-12-01,TEAF,13.89,13.91,13.8008,13.88,21628
2022-12-02,TEAF,13.79,13.9,13.75,13.75,21686
2022-12-05,TEAF,13.63,13.7522,13.52,13.53,18558
2022-12-06,TEAF,13.52,13.62,13.35,13.41,21519
2022-12-07,TEAF,13.48,13.525,13.4,13.46,23448
2022-12-08,TEAF,13.49,13.695,13.49,13.56,18169
2022-12-09,TEAF,13.57,13.61,13.47,13.51,35189
2022-12-12,TEAF,13.58,13.645,13.5,13.64,38102
2022-12-13,TEAF,13.81,13.94,13.72,13.75,29559
2022-12-14,TEAF,13.78,13.8934,13.62,13.85,25643
2022-12-15,TEAF,13.88,13.88,13.64,13.68,42925
2022-12-16,TEAF,13.58,13.58,13.4,13.42,22540
2022-12-19,TEAF,13.4,13.4433,13.17,13.18,26985
2022-12-20,TEAF,13.21,13.29,13.12,13.12,24926
2022-12-21,TEAF,13.18,13.2696,13.14,13.18,30859
2022-12-22,TEAF,13.06,13.06,12.91,13.04,24101
2022-12-23,TEAF,13.02,13.2,13.01,13.09,23321
2022-12-27,TEAF,13.08,13.08,12.96,12.96,29087
2022-12-28,TEAF,13.0,13.08,12.82,12.84,58773
2022-12-29,TEAF,12.88,13.0015,12.86,12.92,44736
2022-12-30,TEAF,12.89,12.9343,12.77,12.85,68622
2023-01-03,TEAF,12.95,12.99,12.845,12.91,24597
2023-01-04,TEAF,13.0,13.24,12.9101,13.2,23494
2023-01-05,TEAF,13.06,13.26,13.06,13.21,15979
2023-01-06,TEAF,13.26,13.405,13.21,13.36,5685
2023-01-09,TEAF,13.42,13.5,13.3801,13.42,24744
2023-01-10,TEAF,13.37,13.5385,13.3211,13.4,12626
2023-01-11,TEAF,13.39,13.4999,13.39,13.44,13752
2023-01-12,TEAF,13.46,13.51,13.4,13.46,32244
2023-01-13,TEAF,13.46,13.4899,13.42,13.465,23395
2023-01-17,TEAF,13.5,13.57,13.5,13.56,73786
2023-01-18,TEAF,13.6,13.625,13.465,13.47,42559
2023-01-19,TEAF,13.47,13.55,13.47,13.48,18643
2023-01-20,TEAF,13.51,13.557,13.48,13.52,37476
2023-01-23,TEAF,13.54,13.54,13.45,13.46,32507
2023-01-24,TEAF,13.46,13.54,13.33,13.38,30349
2023-01-25,TEAF,13.31,13.32,13.2,13.26,60166
2023-01-26,TEAF,13.3,13.3315,13.25,13.25,16963
2023-01-27,TEAF,13.25,13.33,13.25,13.28,28896
2023-01-30,TEAF,13.25,13.2989,13.17,13.19,29289
2023-01-31,TEAF,13.27,13.28,13.2,13.24,57122
2023-02-01,TEAF,13.32,13.3299,13.25,13.29,64034
2023-02-02,TEAF,13.36,13.45,13.31,13.35,47018
2023-02-03,TEAF,13.31,13.32,13.2,13.2,53669
2023-02-06,TEAF,13.24,13.25,13.1998,13.22,36540
2023-02-07,TEAF,13.25,13.25,13.17,13.19,89369
2023-02-08,TEAF,13.19,13.24,13.16,13.17,34787
2023-02-09,TEAF,13.2,13.23,13.09,13.11,25312
2023-02-10,TEAF,13.19,13.195,13.09,13.14,38638
2023-02-13,TEAF,13.14,13.24,13.14,13.17,25417
2023-02-14,TEAF,13.22,13.22,13.135,13.15,16683
2023-02-15,TEAF,13.16,13.16,13.11,13.13,54132
2023-02-16,TEAF,13.11,13.1595,13.05,13.15,30893
2023-02-17,TEAF,13.1,13.1,12.9891,13.03,29132
2023-02-21,TEAF,13.09,13.09,12.87,12.89,52481
2023-02-22,TEAF,12.96,13.0,12.8918,12.95,51468
2023-02-23,TEAF,13.03,13.04,12.9008,12.92,14005
