Date,Ticker,Open,High,Low,Close,Volume
2022-11-16,TETEW,0.0727,0.08,0.0718,0.08,1101
2022-11-18,TETEW,0.0329,0.075,0.0329,0.075,310
2022-11-21,TETEW,0.033,0.07,0.0201,0.07,18295
2022-11-23,TETEW,0.03,0.07,0.024,0.07,6000
2022-11-28,TETEW,0.031,0.07,0.03,0.07,1600
2022-11-29,TETEW,0.03,0.0698,0.0297,0.0297,1600
2022-11-30,TETEW,0.03,0.03,0.03,0.03,100
2022-12-05,TETEW,0.06,0.07,0.06,0.07,5601
2022-12-06,TETEW,0.055,0.055,0.03,0.055,1700
2022-12-08,TETEW,0.05,0.05,0.05,0.05,20000
2022-12-12,TETEW,0.045,0.05,0.0322,0.0322,1100
2022-12-13,TETEW,0.03,0.03,0.03,0.03,100
2022-12-21,TETEW,0.0402,0.0402,0.0402,0.0402,10000
2022-12-27,TETEW,0.035,0.035,0.035,0.035,103
2022-12-29,TETEW,0.030001,0.0301,0.030001,0.0301,9499
2023-01-09,TETEW,0.0351,0.1499,0.0351,0.0538,24736
2023-01-10,TETEW,0.0402,0.045,0.0401,0.0401,11801
2023-01-11,TETEW,0.040065,0.0585,0.040065,0.0585,900
2023-01-12,TETEW,0.045,0.045,0.035,0.0352,714
2023-01-13,TETEW,0.0302,0.04,0.03,0.04,4272
2023-01-18,TETEW,0.045,0.045,0.045,0.045,5000
2023-01-19,TETEW,0.045,0.045,0.045,0.045,2800
2023-01-20,TETEW,0.045,0.046,0.0425,0.0455,143385
2023-02-01,TETEW,0.0303,0.0303,0.03,0.03,4502
2023-02-06,TETEW,0.0448,0.045,0.0405,0.0405,1085
2023-02-08,TETEW,0.044,0.044,0.044,0.044,101
2023-02-10,TETEW,0.045,0.045,0.03,0.037501,390
2023-02-28,TETEW,0.03,0.03,0.03,0.03,693
2023-03-03,TETEW,0.0305,0.0305,0.0305,0.0305,1016
2023-03-06,TETEW,0.0449,0.0583,0.0449,0.0583,2936
2023-03-07,TETEW,0.0526,0.0526,0.0526,0.0526,100
2023-03-08,TETEW,0.0406,0.0449,0.0329,0.0447,127112
2023-03-13,TETEW,0.04,0.04,0.036,0.036,400
2023-03-28,TETEW,0.036,0.0361,0.036,0.0361,34600
2023-03-29,TETEW,0.036,0.036,0.0306,0.0306,1000
2023-04-03,TETEW,0.0306,0.0306,0.0306,0.0306,100
2023-04-12,TETEW,0.0306,0.0306,0.0306,0.0306,4525
2023-04-18,TETEW,0.045,0.045,0.0449,0.0449,200
2023-04-19,TETEW,0.0306,0.0306,0.0288,0.0299,98562
2023-04-24,TETEW,0.03,0.03,0.025,0.0291,128989
2023-04-28,TETEW,0.0266,0.0319,0.0217,0.025,52777
2023-05-02,TETEW,0.015,0.015,0.015,0.015,126
2023-05-03,TETEW,0.0192,0.02,0.0187,0.0192,27084
2023-05-04,TETEW,0.0233,0.0236,0.0228,0.0236,504
2023-05-08,TETEW,0.03,0.03,0.0239,0.03,1626
2023-05-09,TETEW,0.025,0.025,0.025,0.025,1000
2023-05-11,TETEW,0.03,0.03,0.02,0.02,500
2023-05-15,TETEW,0.02,0.02,0.02,0.02,14830
2023-05-16,TETEW,0.03,0.03,0.03,0.03,180
2023-05-17,TETEW,0.03,0.03,0.03,0.03,400
2023-05-18,TETEW,0.03,0.03,0.03,0.03,30000
2023-05-24,TETEW,0.0289,0.0289,0.0289,0.0289,5080
2023-06-02,TETEW,0.0201,0.0201,0.0201,0.0201,331
2023-06-05,TETEW,0.03,0.03,0.0225,0.0254,162414
2023-06-09,TETEW,0.0373,0.0373,0.0373,0.0373,303
2023-06-12,TETEW,0.03,0.03,0.0229,0.0251,16000
2023-06-20,TETEW,0.0202,0.0373,0.02,0.0201,103800
2023-06-30,TETEW,0.0256,0.05,0.0208,0.0209,8420
2023-07-07,TETEW,0.045,0.045,0.045,0.045,200
2023-07-17,TETEW,0.0404,0.0404,0.0243,0.038,15705
2023-07-21,TETEW,0.0399,0.0399,0.0399,0.0399,200
2023-08-07,TETEW,0.0358,0.0358,0.0348,0.0355,1700
2023-08-14,TETEW,0.028,0.028,0.0251,0.0252,3800
2023-08-21,TETEW,0.025,0.025,0.022,0.022,2393
2023-09-06,TETEW,0.0307,0.0307,0.02635,0.0264,1300
2023-09-19,TETEW,0.03,0.03,0.03,0.03,10000
2023-09-22,TETEW,0.031,0.032,0.03,0.032,65999
2023-09-25,TETEW,0.0399,0.0449,0.033,0.0449,2604
2023-09-26,TETEW,0.0449,0.045,0.042049,0.045,3500
2023-09-27,TETEW,0.045,0.045,0.045,0.045,998
2023-09-28,TETEW,0.044899,0.045,0.044899,0.045,1000
2023-10-02,TETEW,0.045,0.0672,0.045,0.0672,800
2023-10-03,TETEW,0.045,0.045,0.036,0.036,2000
2023-10-04,TETEW,0.0432,0.045,0.0432,0.045,800
2023-10-05,TETEW,0.045,0.045,0.045,0.045,500
2023-10-10,TETEW,0.045,0.045,0.045,0.045,400
2023-10-30,TETEW,0.031,0.045,0.031,0.045,300100
2023-11-06,TETEW,0.0338,0.0391,0.031,0.031,52322
2023-11-20,TETEW,0.029,0.029,0.029,0.029,101
2023-11-22,TETEW,0.029,0.029,0.025,0.025,36042
2023-11-27,TETEW,0.0282,0.0282,0.0241,0.0241,5857
2023-11-29,TETEW,0.024,0.0272,0.02,0.02,15169
2023-11-30,TETEW,0.0226,0.0226,0.0192,0.022,28000
2023-12-06,TETEW,0.0196,0.0235,0.0171,0.0235,17600
2023-12-11,TETEW,0.0253,0.0253,0.0253,0.0253,200
2023-12-12,TETEW,0.021,0.024,0.021,0.0231,91200
2023-12-13,TETEW,0.0226,0.0226,0.017,0.0203,6400
2023-12-15,TETEW,0.02,0.02,0.0101,0.0111,40000
2023-12-29,TETEW,0.0125,0.0125,0.01,0.0101,200000
2024-01-04,TETEW,0.019,0.02,0.019,0.019044,2250
2024-01-10,TETEW,0.02,0.02,0.019901,0.02,1378
2024-01-17,TETEW,0.0149,0.02,0.0137,0.02,50128
2024-01-25,TETEW,0.0219,0.0219,0.02,0.02,25592
2024-01-26,TETEW,0.0255,0.0255,0.025,0.025,300
2024-01-29,TETEW,0.0219,0.0219,0.02,0.02,30200
2024-01-30,TETEW,0.0162,0.0162,0.0151,0.0151,6700
2024-02-05,TETEW,0.0157,0.0157,0.0157,0.0157,4000
2024-02-08,TETEW,0.017,0.0199,0.017,0.0199,28800
2024-02-14,TETEW,0.0196,0.02,0.0178,0.0178,2000
2024-02-22,TETEW,0.02,0.02,0.02,0.02,1000
2024-02-28,TETEW,0.0181,0.0181,0.0158,0.0158,15201
2024-02-29,TETEW,0.0192,0.028,0.0192,0.0201,92232
2024-03-06,TETEW,0.0252,0.0275,0.0252,0.0275,2000
2024-03-11,TETEW,0.0214,0.0214,0.0213,0.0213,800
2024-03-14,TETEW,0.0167,0.0179,0.0166,0.0178,800
2024-04-01,TETEW,0.0135,0.0137,0.01349,0.0137,1200
2024-04-03,TETEW,0.0146,0.0146,0.0143,0.0143,250
2024-04-24,TETEW,0.0151,0.0151,0.0151,0.0151,1000
2024-04-30,TETEW,0.0246,0.0374,0.0246,0.0246,34800
2024-05-09,TETEW,0.0238,0.0238,0.0218,0.0224,63400
2024-05-29,TETEW,0.0274,0.028,0.0274,0.0275,1400
2024-05-30,TETEW,0.025,0.025,0.0225,0.0225,1000
2024-06-03,TETEW,0.0292,0.0292,0.0292,0.0292,101
2024-06-06,TETEW,0.0251,0.0252,0.0225,0.025,43939
2024-06-13,TETEW,0.03,0.0325,0.03,0.0325,1057
2024-06-17,TETEW,0.0313,0.033,0.031,0.033,2000
2024-06-20,TETEW,0.033,0.033,0.033,0.033,1000
2024-06-21,TETEW,0.0336,0.034,0.0331,0.034,916
2024-06-25,TETEW,0.031,0.031,0.0301,0.0301,1700
2024-06-26,TETEW,0.0305,0.0305,0.0299,0.03,4884
2024-07-01,TETEW,0.0367,0.0367,0.0367,0.0367,416
2024-07-09,TETEW,0.04,0.04,0.022,0.0296,103062
2024-07-11,TETEW,0.0299,0.0299,0.0299,0.0299,861
2024-07-12,TETEW,0.0298,0.0298,0.0298,0.0298,800
2024-07-15,TETEW,0.0399,0.0399,0.0359,0.0397,3712
2024-07-16,TETEW,0.0299,0.0396,0.0278,0.029,2670
2024-07-17,TETEW,0.0357,0.0358,0.0357,0.0357,820
2024-07-18,TETEW,0.0235,0.0236,0.0235,0.0236,1213
2024-07-19,TETEW,0.0367,0.0398,0.024,0.0397,4425
2024-07-22,TETEW,0.039,0.039879,0.027916,0.0349,6379
2024-07-23,TETEW,0.039,0.039,0.0377,0.039,874
2024-08-13,TETEW,0.039,0.0399,0.039,0.0399,500
2024-08-19,TETEW,0.028,0.028,0.028,0.028,515
2024-08-20,TETEW,0.0369,0.0369,0.0369,0.0369,100
2024-08-21,TETEW,0.0381,0.0392,0.0381,0.0392,200
2024-08-23,TETEW,0.0301,0.0301,0.0301,0.0301,100
2024-08-27,TETEW,0.03,0.03,0.0253,0.0253,10955
2024-09-19,TETEW,0.026,0.0274,0.025,0.0273,11192
2024-09-25,TETEW,0.0241,0.0241,0.0202,0.024,758
2024-10-01,TETEW,0.0289,0.0289,0.0235,0.0235,200
2024-10-08,TETEW,0.0215,0.0275,0.0201,0.0261,2101
2024-10-14,TETEW,0.02,0.02,0.015,0.015,132960
2024-10-15,TETEW,0.0151,0.0223,0.0103,0.0192,13591
2024-10-18,TETEW,0.0199,0.0199,0.0199,0.0199,300
2024-10-22,TETEW,0.0198,0.0198,0.0198,0.0198,1050
2024-10-23,TETEW,0.0199,0.02,0.0199,0.02,2000
2024-10-24,TETEW,0.0229,0.0229,0.0229,0.0229,100
2024-10-28,TETEW,0.0159,0.0249,0.0159,0.02,8358
2024-10-29,TETEW,0.0249,0.0249,0.02,0.02,1258
2024-11-07,TETEW,0.02,0.02,0.02,0.02,100
