Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,TKLF,1.18,1.22,1.16,1.19,82463.0
2022-11-14,TKLF,1.2057,1.2805,1.19,1.275,49093.0
2022-11-15,TKLF,1.3,1.3627,1.28,1.3489,140565.0
2022-11-16,TKLF,1.37,1.3735,1.2985,1.305,30838.0
2022-11-17,TKLF,1.32,1.4138,1.32,1.37,62650.0
2022-11-18,TKLF,1.37,1.41,1.37,1.39,27195.0
2022-11-21,TKLF,1.33,1.4,1.33,1.3411,24089.0
2022-11-22,TKLF,1.32,1.35,1.27,1.32,32354.0
2022-11-23,TKLF,1.35,1.35,1.26,1.3,46766.0
2022-11-25,TKLF,1.31,1.31,1.3,1.309,4597.0
2022-11-28,TKLF,1.31,1.34,1.2613,1.3299,17653.0
2022-11-29,TKLF,1.34,1.45,1.34,1.3729,52195.0
2022-11-30,TKLF,1.36,1.41,1.33,1.34,27983.0
2022-12-01,TKLF,1.34,1.38,1.29,1.38,79823.0
2022-12-02,TKLF,1.32,1.39,1.3,1.369,6050.0
2022-12-05,TKLF,1.4,1.4,1.34,1.3656,20968.0
2022-12-06,TKLF,1.36,1.3941,1.34,1.35,31457.0
2022-12-07,TKLF,1.32,1.38,1.23,1.3257,25485.0
2022-12-08,TKLF,1.33,1.39,1.275,1.39,28550.0
2022-12-09,TKLF,1.4,1.4,1.3,1.3736,42371.0
2022-12-12,TKLF,1.37,1.37,1.31,1.3488,9504.0
2022-12-13,TKLF,1.4,1.4,1.29,1.38,12512.0
2022-12-14,TKLF,1.3773,1.38,1.31,1.364,6037.0
2022-12-15,TKLF,1.345,1.3467,1.27,1.2825,15953.0
2022-12-16,TKLF,1.38,1.38,1.2411,1.28,12523.0
2022-12-19,TKLF,1.25,1.2841,1.18,1.18,70636.0
2022-12-20,TKLF,1.2,1.2,1.15,1.165,21415.0
2022-12-21,TKLF,1.18,1.24,1.16,1.2299,63423.0
2022-12-22,TKLF,1.16,1.22,1.16,1.1605,24419.0
2022-12-23,TKLF,1.2,1.26,1.2,1.23,19277.0
2022-12-27,TKLF,1.2,1.2502,1.17,1.21,21467.0
2022-12-28,TKLF,1.18,1.2288,1.0264,1.22,177431.0
2022-12-29,TKLF,1.2,1.22,1.14,1.2066,48898.0
2022-12-30,TKLF,1.25,1.25,1.1327,1.2299,74883.0
2023-01-03,TKLF,1.2,1.2099,1.13,1.16,44278.0
2023-01-04,TKLF,1.13,1.21,1.1,1.18,55371.0
2023-01-05,TKLF,1.185,1.2,1.14,1.17,70695.0
2023-01-06,TKLF,1.19,1.2,1.17,1.19,22073.0
2023-01-09,TKLF,1.2,1.2301,1.1809,1.2,47998.0
2023-01-10,TKLF,1.2,1.25,1.2,1.25,30886.0
2023-01-11,TKLF,1.26,1.34,1.25,1.31,27171.0
2023-01-12,TKLF,1.29,1.3235,1.25,1.25,36206.0
2023-01-13,TKLF,1.285,1.35,1.2827,1.3202,71031.0
2023-01-17,TKLF,1.35,1.38,1.31,1.38,38697.0
2023-01-18,TKLF,1.38,1.38,1.26,1.27,34977.0
2023-01-19,TKLF,1.29,1.295,1.2131,1.26,20594.0
2023-01-20,TKLF,1.24,1.3199,1.24,1.2832,23873.0
2023-01-23,TKLF,1.27,1.335,1.27,1.3275,20901.0
2023-01-24,TKLF,1.31,1.315,1.28,1.29,11600.0
2023-01-25,TKLF,1.25,1.2901,1.2442,1.28,29420.0
2023-01-26,TKLF,1.28,1.32,1.26,1.2685,31981.0
2023-01-27,TKLF,1.2653,1.2999,1.23,1.24,34655.0
2023-01-30,TKLF,1.25,1.285,1.24,1.25,9519.0
2023-01-31,TKLF,1.24,1.2666,1.21,1.23,28279.0
2023-02-01,TKLF,1.22,1.3001,1.22,1.27,49904.0
2023-02-02,TKLF,1.28,1.35,1.28,1.33,54245.0
2023-02-03,TKLF,1.35,1.39,1.27,1.34,77605.0
2023-02-06,TKLF,1.3205,1.3302,1.31,1.31,17791.0
2023-02-07,TKLF,1.29,1.31,1.27,1.28,18491.0
2023-02-08,TKLF,1.27,1.32,1.27,1.3099,13300.0
2023-02-09,TKLF,1.3099,1.31,1.28,1.28,12641.0
2023-02-10,TKLF,1.26,1.26,1.19,1.24,144537.0
2023-02-13,TKLF,1.24,1.2801,1.19,1.2129,25373.0
2023-02-14,TKLF,1.235,1.24,1.19,1.22,22088.0
