Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,TKR,73.15,74.99,72.48,73.71,750830.0
2022-11-14,TKR,73.31,74.825,72.875,73.84,553618.0
2022-11-15,TKR,74.84,75.8,73.87,74.37,534196.0
2022-11-16,TKR,73.67,74.1,72.96,73.25,392688.0
2022-11-17,TKR,72.03,72.73,71.581,72.64,448639.0
2022-11-18,TKR,73.56,73.57,72.52,73.13,332320.0
2022-11-21,TKR,73.66,74.96,73.28,74.17,343742.0
2022-11-22,TKR,74.9,75.37,74.2972,75.19,615042.0
2022-11-23,TKR,75.19,75.7,74.52,74.57,257343.0
2022-11-25,TKR,74.47,75.5,74.0,75.07,118911.0
2022-11-28,TKR,74.25,75.05,73.33,73.66,437754.0
2022-11-29,TKR,74.08,74.83,73.995,74.43,412089.0
2022-11-30,TKR,74.61,76.06,73.97,75.98,563755.0
2022-12-01,TKR,76.13,76.335,73.56,74.67,647515.0
2022-12-02,TKR,73.85,74.51,73.5401,73.83,459089.0
2022-12-05,TKR,73.07,73.07,71.16,71.36,681501.0
2022-12-06,TKR,71.32,71.58,69.56,70.48,731675.0
2022-12-07,TKR,70.06,70.43,69.26,69.61,628158.0
2022-12-08,TKR,70.3,71.53,69.99,71.33,824982.0
2022-12-09,TKR,71.33,71.75,70.48,70.59,578315.0
2022-12-12,TKR,70.54,71.36,69.78,71.05,538307.0
2022-12-13,TKR,72.94,73.01,70.65,71.62,501617.0
2022-12-14,TKR,72.24,73.088,71.12,71.47,420110.0
2022-12-15,TKR,70.3,70.44,69.21,69.82,550920.0
2022-12-16,TKR,68.89,69.83,68.35,69.54,1194681.0
2022-12-19,TKR,69.81,70.83,68.795,68.98,595074.0
2022-12-20,TKR,68.75,70.425,68.705,69.95,571299.0
2022-12-21,TKR,70.78,71.575,70.68,71.25,438375.0
2022-12-22,TKR,70.62,70.9595,68.6,70.13,367322.0
2022-12-23,TKR,70.13,70.84,69.8,70.66,306582.0
2022-12-27,TKR,70.99,72.03,70.44,71.35,266995.0
2022-12-28,TKR,71.52,71.92,69.75,69.77,273067.0
2022-12-29,TKR,70.0,71.58,70.0,70.96,225886.0
2022-12-30,TKR,70.44,70.88,70.21,70.67,206361.0
2023-01-03,TKR,70.97,71.2544,68.925,69.69,444689.0
2023-01-04,TKR,70.08,71.32,69.91,70.97,369484.0
2023-01-05,TKR,70.63,70.63,69.58,70.03,488099.0
2023-01-06,TKR,70.87,72.105,70.33,71.68,424721.0
2023-01-09,TKR,72.08,72.95,71.755,72.21,374344.0
2023-01-10,TKR,72.22,73.25,71.85,73.23,462575.0
2023-01-11,TKR,73.85,74.395,73.63,74.13,598489.0
2023-01-12,TKR,74.6,75.86,74.28,75.47,553089.0
2023-01-13,TKR,75.94,78.225,75.62,78.15,1027063.0
2023-01-17,TKR,78.24,78.59,77.16,77.21,560087.0
2023-01-18,TKR,77.34,78.09,75.54,75.91,352601.0
