Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,TSE,26.55,27.86,26.4766,27.49,627044.0
2022-11-14,TSE,27.14,27.41,25.89,27.12,604774.0
2022-11-15,TSE,27.73,28.17,25.25,25.39,607976.0
2022-11-16,TSE,25.12,25.59,24.53,24.79,569146.0
2022-11-17,TSE,24.16,24.27,23.7,24.21,482911.0
2022-11-18,TSE,24.77,24.77,23.62,23.83,412172.0
2022-11-21,TSE,23.25,24.04,22.54,23.65,474064.0
2022-11-22,TSE,24.01,24.85,23.81,24.75,260130.0
2022-11-23,TSE,24.53,24.87,24.07,24.66,198019.0
2022-11-25,TSE,24.65,25.12,24.55,24.59,146515.0
2022-11-28,TSE,24.01,24.14,23.23,23.37,286197.0
2022-11-29,TSE,23.84,24.39,23.605,24.31,262948.0
2022-11-30,TSE,24.09,24.7,23.39,24.65,449444.0
2022-12-01,TSE,24.61,25.44,24.52,24.67,410078.0
2022-12-02,TSE,24.2,24.845,24.1,24.24,319719.0
2022-12-05,TSE,24.08,24.35,23.63,23.75,251091.0
2022-12-06,TSE,23.79,24.035,22.95,23.19,302792.0
2022-12-07,TSE,23.02,23.3499,22.95,23.25,349686.0
2022-12-08,TSE,23.67,24.48,23.24,23.45,340109.0
2022-12-09,TSE,23.35,24.175,23.35,23.61,410691.0
2022-12-12,TSE,23.64,24.84,23.2975,24.8,400936.0
2022-12-13,TSE,25.76,26.195,24.6,25.01,414094.0
2022-12-14,TSE,24.69,25.15,24.27,24.44,329173.0
2022-12-15,TSE,23.59,23.865,22.69,23.01,554689.0
2022-12-16,TSE,22.82,23.48,22.59,23.02,1047623.0
2022-12-19,TSE,22.84,23.41,22.14,22.22,346328.0
2022-12-20,TSE,22.25,22.74,22.15,22.31,309989.0
2022-12-21,TSE,22.59,23.795,22.59,23.61,411248.0
2022-12-22,TSE,23.17,23.17,22.27,22.99,303534.0
2022-12-23,TSE,23.07,23.375,22.87,23.33,189975.0
2022-12-27,TSE,23.22,23.45,22.92,23.22,162181.0
2022-12-28,TSE,23.36,23.36,22.02,22.07,323574.0
2022-12-29,TSE,22.22,22.92,22.22,22.57,270452.0
2022-12-30,TSE,22.26,22.79,22.23,22.71,293351.0
2023-01-03,TSE,23.15,24.1,23.05,23.49,348604.0
2023-01-04,TSE,23.62,24.82,23.42,24.48,391898.0
2023-01-05,TSE,24.17,25.5,23.84,25.44,329058.0
2023-01-06,TSE,25.74,26.28,25.49,26.08,321009.0
2023-01-09,TSE,26.24,26.79,25.66,25.72,333221.0
2023-01-10,TSE,25.67,26.17,25.37,26.15,178112.0
2023-01-11,TSE,26.5,26.67,25.77,26.0,268430.0
2023-01-12,TSE,26.31,27.03,26.185,27.0,275031.0
2023-01-13,TSE,26.49,26.83,26.35,26.6,224735.0
2023-01-17,TSE,26.49,26.49,25.94,26.37,411917.0
2023-01-18,TSE,26.5,27.04,25.95,25.97,177428.0
2023-01-19,TSE,25.6,25.74,24.98,25.36,314177.0
2023-01-20,TSE,25.61,26.0,25.2,25.74,251642.0
2023-01-23,TSE,25.71,26.66,25.6,26.59,301358.0
2023-01-24,TSE,26.6,26.6,25.84,26.21,149972.0
2023-01-25,TSE,25.81,26.28,25.5,25.74,210369.0
2023-01-26,TSE,25.72,26.78,25.015,26.76,435368.0
2023-01-27,TSE,26.59,26.795,26.2,26.47,360528.0
2023-01-30,TSE,26.17,27.1,26.17,26.82,239992.0
2023-01-31,TSE,26.82,27.86,26.77,27.75,380587.0
2023-02-01,TSE,27.44,29.5,27.44,28.99,422341.0
2023-02-02,TSE,29.0,30.01,28.78,29.8,400382.0
2023-02-03,TSE,29.21,30.535,29.21,30.4,371950.0
2023-02-06,TSE,30.22,30.22,28.535,29.25,425041.0
2023-02-07,TSE,28.92,29.77,28.73,29.55,304484.0
2023-02-08,TSE,29.3,29.61,28.86,29.16,288150.0
2023-02-09,TSE,29.3,29.3,25.71,25.8,896020.0
2023-02-10,TSE,25.25,26.55,24.95,26.45,652035.0
2023-02-13,TSE,26.2,26.45,25.2259,26.11,475915.0
2023-02-14,TSE,25.88,26.595,25.36,26.33,469176.0
2023-02-15,TSE,25.99,27.79,25.99,27.41,536670.0
2023-02-16,TSE,26.67,27.515,26.3714,26.9,452177.0
2023-02-17,TSE,26.92,26.92,25.94,26.35,233232.0
2023-02-21,TSE,25.83,25.83,23.8501,24.33,373153.0
2023-02-22,TSE,24.38,24.925,23.85,24.08,394200.0
2023-02-23,TSE,24.26,24.73,23.53,24.52,342251.0
2023-02-24,TSE,23.41,24.53,23.33,24.3,601942.0
2023-02-27,TSE,24.6,24.93,23.74,23.76,410270.0
2023-02-28,TSE,23.9,23.945,23.16,23.18,461113.0
2023-03-01,TSE,23.04,24.17,23.03,24.0,636859.0
2023-03-02,TSE,23.68,24.33,23.46,24.28,194250.0
2023-03-03,TSE,24.49,25.01,24.15,24.89,335712.0
2023-03-06,TSE,24.83,24.93,23.425,23.94,353760.0
2023-03-07,TSE,24.02,24.02,22.5425,22.74,330572.0
2023-03-08,TSE,22.86,22.96,22.46,22.67,192045.0
2023-03-09,TSE,22.77,22.9,22.13,22.2,362431.0
2023-03-10,TSE,22.02,22.02,20.73,21.03,427437.0
2023-03-13,TSE,20.43,20.69,19.85,20.1,499283.0
2023-03-14,TSE,21.12,21.62,20.6,20.99,334866.0
2023-03-15,TSE,19.96,20.29,19.12,19.77,530137.0
2023-03-16,TSE,19.37,20.15,18.87,20.03,289850.0
