Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,TTSH,4.11,4.35,4.0,4.24,678377
2022-11-14,TTSH,4.22,4.25,4.1,4.15,137470
2022-11-15,TTSH,4.11,4.47,4.09,4.32,273565
2022-11-16,TTSH,4.27,4.275,4.135,4.23,227894
2022-11-17,TTSH,4.16,4.28,4.08,4.24,146955
2022-11-18,TTSH,4.34,4.34,4.16,4.25,105319
2022-11-21,TTSH,4.25,4.25,4.0,4.07,244299
2022-11-22,TTSH,4.09,4.16,3.97,4.1,258580
2022-11-23,TTSH,4.11,4.19,4.08,4.14,128441
2022-11-25,TTSH,4.17,4.315,4.12,4.22,115374
2022-11-28,TTSH,4.22,4.36,4.2075,4.26,151371
2022-11-29,TTSH,4.23,4.265,4.04,4.12,310890
2022-11-30,TTSH,4.16,4.2725,4.04,4.2,269486
2022-12-01,TTSH,4.25,4.34,4.2,4.33,191432
2022-12-02,TTSH,4.28,4.41,4.26,4.31,172407
2022-12-05,TTSH,4.23,4.28,4.1,4.16,167830
2022-12-06,TTSH,4.14,4.22,4.01,4.12,244778
2022-12-07,TTSH,4.14,4.235,4.095,4.13,140737
2022-12-08,TTSH,4.14,4.21,4.07,4.17,111616
2022-12-09,TTSH,4.14,4.2,4.08,4.14,136568
2022-12-12,TTSH,4.12,4.26,3.91,4.15,385599
2022-12-13,TTSH,4.32,4.38,4.15,4.22,184502
2022-12-14,TTSH,4.19,4.275,4.15,4.22,300918
2022-12-15,TTSH,4.12,4.2,3.9727,4.18,235309
2022-12-16,TTSH,4.07,4.37,4.07,4.32,801426
2022-12-19,TTSH,4.28,4.28,4.02,4.21,349593
2022-12-20,TTSH,4.13,4.4,4.02,4.29,179834
2022-12-21,TTSH,4.21,4.38,4.21,4.37,102238
2022-12-22,TTSH,4.36,4.375,4.22,4.37,160968
2022-12-23,TTSH,4.37,4.395,4.28,4.37,110767
2022-12-27,TTSH,4.41,4.41,4.235,4.32,107894
2022-12-28,TTSH,4.32,4.37,4.155,4.19,150008
2022-12-29,TTSH,4.285,4.4,4.25,4.39,148119
2022-12-30,TTSH,4.38,4.54,4.34,4.38,141236
2023-01-03,TTSH,4.41,4.5163,4.19,4.31,157529
2023-01-04,TTSH,4.28,4.44,4.2,4.32,101631
2023-01-05,TTSH,4.32,4.32,4.14,4.2,121484
2023-01-06,TTSH,4.28,4.46,4.21,4.45,146412
2023-01-09,TTSH,4.5,4.64,4.49,4.6,86291
2023-01-10,TTSH,4.61,4.68,4.56,4.67,99722
2023-01-11,TTSH,4.66,4.85,4.66,4.81,92410
2023-01-12,TTSH,4.885,5.1,4.875,4.96,158919
2023-01-13,TTSH,4.96,5.125,4.8,5.03,91338
2023-01-17,TTSH,4.94,5.02,4.84,4.94,99389
2023-01-18,TTSH,4.99,5.025,4.77,4.86,95932
2023-01-19,TTSH,4.86,4.935,4.72,4.89,79500
2023-01-20,TTSH,4.95,5.11,4.78,5.01,107883
2023-01-23,TTSH,5.06,5.1,5.0,5.06,70822
2023-01-24,TTSH,5.0,5.085,4.93,5.05,54984
2023-01-25,TTSH,5.05,5.05,4.87,4.9,189310
2023-01-26,TTSH,4.98,4.98,4.81,4.97,59033
