Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,TX,31.0,32.48,30.97,32.19,547622.0
2022-11-14,TX,30.94,32.83,30.8153,32.6,467492.0
2022-11-15,TX,32.76,32.835,32.09,32.21,269230.0
2022-11-16,TX,31.9,32.04,31.395,31.71,302743.0
2022-11-17,TX,31.31,31.49,31.04,31.41,272781.0
2022-11-18,TX,31.62,31.62,30.61,30.63,120678.0
2022-11-21,TX,30.6,30.6,29.38,30.13,449711.0
2022-11-22,TX,30.44,31.03,30.21,30.57,283620.0
2022-11-23,TX,30.4,31.015,30.1,30.92,132086.0
2022-11-25,TX,31.04,31.3,30.5854,31.21,94540.0
2022-11-28,TX,30.58,31.08,30.06,30.06,209945.0
2022-11-29,TX,30.64,31.2244,30.64,31.0,122530.0
2022-11-30,TX,31.3,31.53,30.78,31.49,144098.0
2022-12-01,TX,31.29,31.48,30.75,30.83,161563.0
2022-12-02,TX,30.59,31.67,30.59,31.55,143358.0
2022-12-05,TX,31.43,31.43,30.61,30.76,205780.0
2022-12-06,TX,30.99,31.7579,30.79,31.09,215608.0
2022-12-07,TX,30.99,31.24,30.655,30.72,108789.0
2022-12-08,TX,31.32,31.9,30.79,31.24,181924.0
2022-12-09,TX,31.33,31.69,31.022,31.26,117951.0
2022-12-12,TX,31.01,31.11,30.01,30.65,165196.0
2022-12-13,TX,31.29,31.66,30.58,30.64,174589.0
2022-12-14,TX,30.46,30.64,29.6882,30.31,287923.0
2022-12-15,TX,29.95,30.04,28.88,29.02,331114.0
2022-12-16,TX,28.64,29.16,28.47,28.79,340095.0
2022-12-19,TX,28.96,29.45,28.5393,29.32,273000.0
2022-12-20,TX,29.49,30.34,29.36,30.04,348270.0
2022-12-21,TX,30.39,30.72,30.23,30.58,189260.0
2022-12-22,TX,30.44,30.96,30.0,30.96,227805.0
2022-12-23,TX,31.0,31.36,30.69,30.93,156758.0
2022-12-27,TX,31.01,31.63,31.01,31.4,186502.0
2022-12-28,TX,31.35,31.55,30.66,30.96,193587.0
2022-12-29,TX,31.06,31.37,30.67,30.91,354300.0
2022-12-30,TX,30.77,31.03,30.44,30.56,252355.0
2023-01-03,TX,30.59,31.03,29.6,29.93,226569.0
2023-01-04,TX,30.2,30.53,29.86,30.27,161203.0
2023-01-05,TX,30.21,31.39,30.09,31.38,157001.0
2023-01-06,TX,31.8,32.38,31.69,32.08,163492.0
2023-01-09,TX,32.42,32.8,32.13,32.3,249200.0
2023-01-10,TX,32.66,33.845,32.6,33.83,278095.0
2023-01-11,TX,34.0,34.84,34.0,34.79,317257.0
2023-01-12,TX,35.1,35.63,34.38,35.35,205045.0
