Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,TXT,71.19,72.05,70.755,70.88,1184783.0
2022-11-14,TXT,70.43,71.14,69.38,69.38,1225839.0
2022-11-15,TXT,70.31,70.64,69.69,70.2,1582432.0
2022-11-16,TXT,69.99,70.73,69.48,69.65,945215.0
2022-11-17,TXT,68.49,69.59,68.25,69.39,905481.0
2022-11-18,TXT,70.4,70.66,69.7,70.07,1038052.0
2022-11-21,TXT,69.8,70.66,69.52,70.53,810058.0
2022-11-22,TXT,71.05,71.44,70.595,71.07,888469.0
2022-11-23,TXT,71.18,71.5,70.78,71.15,705038.0
2022-11-25,TXT,71.34,71.5,70.875,71.48,298948.0
2022-11-28,TXT,70.59,70.85,69.355,69.64,1501178.0
2022-11-29,TXT,69.59,70.6,69.59,70.33,891187.0
2022-11-30,TXT,70.27,72.5,69.06,71.38,2289558.0
2022-12-01,TXT,71.74,72.2,70.8,70.86,888013.0
2022-12-02,TXT,69.73,71.34,69.67,71.3,1105210.0
2022-12-05,TXT,70.63,70.95,69.62,69.9,1594308.0
2022-12-06,TXT,75.01,75.97,72.75,73.57,4541619.0
2022-12-07,TXT,73.36,73.845,72.55,72.57,1758287.0
2022-12-08,TXT,73.02,73.79,72.66,73.0,1450670.0
2022-12-09,TXT,72.96,73.26,71.59,71.71,1700881.0
2022-12-12,TXT,71.51,72.48,71.23,72.21,2034637.0
2022-12-13,TXT,73.83,73.83,71.47,71.93,1493373.0
2022-12-14,TXT,72.05,73.24,71.7602,72.02,1520386.0
2022-12-15,TXT,71.26,71.4899,69.67,69.73,1482026.0
2022-12-16,TXT,68.96,70.3,68.69,70.0,3002506.0
2022-12-19,TXT,70.06,70.67,68.99,69.28,1227756.0
2022-12-20,TXT,69.41,70.18,69.07,69.54,1522414.0
2022-12-21,TXT,70.12,71.33,69.91,71.09,1285775.0
2022-12-22,TXT,70.33,70.7999,69.02,70.07,1289063.0
2022-12-23,TXT,69.89,70.61,69.72,70.41,657811.0
2022-12-27,TXT,70.55,71.045,70.1,70.75,792381.0
2022-12-28,TXT,70.99,71.105,69.86,69.94,908160.0
2022-12-29,TXT,70.43,71.49,70.1366,71.22,944287.0
2022-12-30,TXT,70.83,71.14,70.02,70.8,1009236.0
2023-01-03,TXT,70.91,71.1,69.85,70.26,860278.0
2023-01-04,TXT,70.32,71.4,70.135,71.06,862679.0
2023-01-05,TXT,70.48,70.915,69.915,70.07,1053947.0
2023-01-06,TXT,70.62,72.05,70.62,71.85,1095320.0
2023-01-09,TXT,72.15,72.34,70.3,70.51,896908.0
