Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,TZOO,5.5,6.02,5.4,5.75,53958
2022-11-14,TZOO,5.93,6.01,5.77,5.96,28896
2022-11-15,TZOO,6.02,6.46,5.9601,6.2692,36612
2022-11-16,TZOO,6.13,6.46,6.12,6.32,30897
2022-11-17,TZOO,6.33,6.33,5.99,6.005,22786
2022-11-18,TZOO,6.31,6.31,5.8414,5.91,11384
2022-11-21,TZOO,5.921,6.05,5.9,5.9,4862
2022-11-22,TZOO,5.878,6.2,5.878,6.12,24021
2022-11-23,TZOO,6.0,6.3,5.95,6.29,17445
2022-11-25,TZOO,6.3,6.7,6.19,6.35,19420
2022-11-28,TZOO,5.68,5.68,5.48,5.5,92804
2022-11-29,TZOO,5.58,5.655,5.5,5.52,7706
2022-11-30,TZOO,5.585,5.585,5.23,5.35,38179
2022-12-01,TZOO,5.33,5.49,5.13,5.2,21919
2022-12-02,TZOO,5.22,5.45,5.22,5.37,29668
2022-12-05,TZOO,5.385,5.385,5.1,5.1,14674
2022-12-06,TZOO,5.18,5.29,4.87,4.96,61633
2022-12-07,TZOO,4.9,5.0,4.7,4.71,40853
2022-12-08,TZOO,4.79,4.87,4.65,4.695,12513
2022-12-09,TZOO,4.63,4.68,4.58,4.64,7555
2022-12-12,TZOO,4.56,4.7399,4.38,4.4412,36112
2022-12-13,TZOO,4.53,4.59,4.4,4.4,36813
2022-12-14,TZOO,4.43,4.52,4.235,4.26,30623
2022-12-15,TZOO,4.21,4.3845,4.15,4.2,27132
2022-12-16,TZOO,4.21,4.47,4.21,4.38,98385
2022-12-19,TZOO,4.4,4.42,4.25,4.35,28357
2022-12-20,TZOO,4.21,4.45,4.21,4.34,45980
2022-12-21,TZOO,4.38,4.44,4.3401,4.35,37791
2022-12-22,TZOO,4.34,4.415,4.2,4.22,25933
2022-12-23,TZOO,4.24,4.39,4.24,4.335,17401
2022-12-27,TZOO,4.26,4.45,4.26,4.4499,24447
2022-12-28,TZOO,4.46,4.46,4.1,4.11,21779
2022-12-29,TZOO,4.12,4.44,4.12,4.44,27133
2022-12-30,TZOO,4.31,4.542,4.31,4.45,23831
2023-01-03,TZOO,4.49,4.7999,4.49,4.66,29121
2023-01-04,TZOO,4.4103,5.38,4.4103,5.13,521956
2023-01-05,TZOO,5.1,5.609,4.8,5.39,322406
2023-01-06,TZOO,5.06,5.25,4.87,4.97,184747
2023-01-09,TZOO,5.0,5.1736,4.8019,4.96,106266
2023-01-10,TZOO,5.0,5.18,4.81,5.09,67213
2023-01-11,TZOO,5.15,5.388,5.11,5.3,66532
2023-01-12,TZOO,5.27,5.4,4.982,5.24,40388
2023-01-13,TZOO,5.16,5.3444,5.15,5.27,37224
2023-01-17,TZOO,5.2,5.31,5.01,5.2,45955
2023-01-18,TZOO,5.2,5.24,5.16,5.18,19137
2023-01-19,TZOO,5.24,5.29,5.19,5.28,33512
2023-01-20,TZOO,5.5,5.5,5.29,5.34,97181
2023-01-23,TZOO,5.48,5.52,5.33,5.42,64380
2023-01-24,TZOO,5.41,5.45,5.265,5.32,44816
2023-01-25,TZOO,5.23,5.332,5.1,5.29,40345
2023-01-26,TZOO,5.29,5.41,5.25,5.36,25449
2023-01-27,TZOO,5.33,5.4,5.3,5.32,20428
2023-01-30,TZOO,5.39,5.39,5.29,5.34,18213
2023-01-31,TZOO,5.31,5.362,5.26,5.34,22549
2023-02-01,TZOO,5.3,5.33,5.24,5.24,17951
2023-02-02,TZOO,5.23,5.4295,5.14,5.24,45256
2023-02-03,TZOO,5.16,5.2899,4.78,4.91,37441
2023-02-06,TZOO,4.91,5.2,4.8,4.92,27727
2023-02-07,TZOO,5.0,5.22,5.0,5.18,26115
2023-02-08,TZOO,5.27,5.27,5.0594,5.22,17261
2023-02-09,TZOO,5.23,5.23,5.06,5.15,18307
2023-02-10,TZOO,5.06,5.06,4.91,4.94,10794
2023-02-13,TZOO,5.0,5.1,4.94,4.98,15316
2023-02-14,TZOO,5.085,5.0999,5.03,5.09,12390
2023-02-15,TZOO,5.08,5.3499,5.05,5.25,35017
2023-02-16,TZOO,5.1935,5.26,5.0,5.02,35087
2023-02-17,TZOO,5.01,5.11,4.98,5.07,19993
2023-02-21,TZOO,5.1,5.1,4.98,4.99,13031
2023-02-22,TZOO,5.0,5.07,4.95,4.95,11218
2023-02-23,TZOO,5.1,5.1,4.99,5.0,16270
2023-02-24,TZOO,4.93,5.0508,4.93,4.95,26080
2023-02-27,TZOO,5.002,5.0719,4.91,4.91,8023
2023-02-28,TZOO,4.93,4.98,4.89,4.98,12040
