Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,UBFO,6.9,7.04,6.9,6.95,11697
2022-11-14,UBFO,6.95,7.06,6.95,7.0,5797
2022-11-15,UBFO,6.97,7.0,6.96,6.96,5641
2022-11-16,UBFO,7.03,7.1,6.98,7.03,12653
2022-11-17,UBFO,7.03,7.07,6.96,7.01,4582
2022-11-18,UBFO,6.97,7.0342,6.97,7.0,14246
2022-11-21,UBFO,6.97,7.105,6.97,7.02,5048
2022-11-22,UBFO,7.03,7.13,7.03,7.08,9748
2022-11-23,UBFO,7.02,7.0825,7.02,7.02,7855
2022-11-25,UBFO,7.01,7.13,7.01,7.1,3375
2022-11-28,UBFO,7.08,7.13,7.03,7.05,11955
2022-11-29,UBFO,7.03,7.07,7.03,7.03,1722
2022-11-30,UBFO,7.01,7.06,7.01,7.05,4637
2022-12-01,UBFO,7.05,7.13,7.05,7.05,8606
2022-12-02,UBFO,7.05,7.12,7.05,7.06,1466
2022-12-05,UBFO,7.06,7.095,7.01,7.05,49244
2022-12-06,UBFO,7.02,7.055,7.02,7.05,4888
2022-12-07,UBFO,7.03,7.04,7.03,7.04,2524
2022-12-08,UBFO,7.04,7.12,7.04,7.05,6548
2022-12-09,UBFO,7.05,7.1099,7.05,7.06,2677
2022-12-12,UBFO,7.07,7.13,7.06,7.11,5394
2022-12-13,UBFO,7.13,7.135,7.03,7.03,71315
2022-12-14,UBFO,7.04,7.09,7.01,7.01,10257
2022-12-15,UBFO,7.01,7.073,6.97,6.97,39450
2022-12-16,UBFO,6.97,7.078,6.97,7.05,12763
2022-12-19,UBFO,7.065,7.13,7.065,7.07,8073
2022-12-20,UBFO,7.0727,7.1199,7.07,7.07,3982
2022-12-21,UBFO,7.07,7.12,7.07,7.07,4089
2022-12-22,UBFO,7.07,7.08,7.07,7.08,6212
2022-12-23,UBFO,7.07,7.1399,7.07,7.13,3279
2022-12-27,UBFO,7.14,7.23,7.13,7.17,5456
2022-12-28,UBFO,7.15,7.22,7.15,7.18,7083
2022-12-29,UBFO,7.24,7.38,7.24,7.26,8861
2022-12-30,UBFO,7.39,7.4,7.14,7.31,15930
2023-01-03,UBFO,7.3,7.3999,7.14,7.17,44726
2023-01-04,UBFO,7.2021,7.36,7.2021,7.22,2997
2023-01-05,UBFO,7.17,7.25,7.16,7.21,6474
2023-01-06,UBFO,7.27,7.39,7.27,7.32,35612
2023-01-09,UBFO,7.42,7.52,7.3601,7.42,28499
2023-01-10,UBFO,7.41,7.65,7.41,7.55,12515
2023-01-11,UBFO,7.55,7.69,7.55,7.6,4360
2023-01-12,UBFO,7.7263,8.07,7.71,8.07,20184
2023-01-13,UBFO,8.0,8.07,7.875,8.01,12789
2023-01-17,UBFO,8.01,8.04,8.01,8.01,4690
2023-01-18,UBFO,8.01,8.01,7.9,7.9,4138
2023-01-19,UBFO,8.14,8.17,7.85,8.17,53458
2023-01-20,UBFO,8.06,8.13,7.995,8.01,19789
2023-01-23,UBFO,8.1,8.1,7.93,8.02,33940
2023-01-24,UBFO,7.97,7.97,7.9,7.91,31188
2023-01-25,UBFO,7.91,7.94,7.85,7.88,20273
2023-01-26,UBFO,7.85,7.98,7.84,7.98,20467
2023-01-27,UBFO,8.0,8.01,7.87,7.9,18709
2023-01-30,UBFO,7.87,7.96,7.81,7.88,33213
2023-01-31,UBFO,7.94,7.94,7.84,7.9,22022
2023-02-01,UBFO,7.85,7.99,7.83,7.9,299666
2023-02-02,UBFO,7.9,8.14,7.9,8.1,22842
2023-02-03,UBFO,8.12,8.28,8.05,8.21,14522
2023-02-06,UBFO,8.26,8.3799,8.26,8.32,20804
2023-02-07,UBFO,8.03,8.15,8.03,8.11,44377
2023-02-08,UBFO,8.15,8.24,8.07,8.12,39844
2023-02-09,UBFO,8.11,8.11,8.0301,8.09,14802
2023-02-10,UBFO,8.01,8.13,7.96,8.01,72080
2023-02-13,UBFO,8.01,8.275,7.94,7.94,20595
2023-02-14,UBFO,7.9,7.91,7.85,7.85,14455
2023-02-15,UBFO,7.86,8.0,7.8,7.93,10442
2023-02-16,UBFO,7.86,7.9,7.79,7.82,12223
2023-02-17,UBFO,7.8,7.8499,7.79,7.82,8142
2023-02-21,UBFO,7.78,7.88,7.78,7.81,20436
2023-02-22,UBFO,7.815,7.84,7.7986,7.84,5848
2023-02-23,UBFO,7.82,7.85,7.745,7.8,36785
2023-02-24,UBFO,7.75,7.7699,7.66,7.66,57910
2023-02-27,UBFO,7.7,7.97,7.7,7.78,119970
2023-02-28,UBFO,7.78,7.835,7.7,7.7,57988
2023-03-01,UBFO,7.6766,7.74,7.61,7.67,25424
2023-03-02,UBFO,7.73,7.73,7.63,7.7,28428
2023-03-03,UBFO,7.74,7.8,7.69,7.69,13385
2023-03-06,UBFO,7.76,7.81,7.68,7.69,27878
2023-03-07,UBFO,7.69,7.71,7.54,7.54,8721
2023-03-08,UBFO,7.54,7.56,7.4601,7.53,16258
2023-03-09,UBFO,7.47,7.5,7.2,7.21,31723
2023-03-10,UBFO,7.14,7.32,6.76,6.86,65307
2023-03-13,UBFO,6.89,7.095,6.385,6.47,44460
2023-03-14,UBFO,6.58,7.075,6.55,6.7,47313
2023-03-15,UBFO,6.7,6.7,6.42,6.44,49210
2023-03-16,UBFO,6.49,6.63,6.44,6.46,16601
2023-03-17,UBFO,6.44,6.44,6.1872,6.21,48086
2023-03-20,UBFO,6.295,6.405,6.15,6.16,45128
2023-03-21,UBFO,6.22,6.54,6.17,6.46,15956
2023-03-22,UBFO,6.44,6.46,6.25,6.26,24779
2023-03-23,UBFO,6.27,6.33,6.2,6.22,19791
2023-03-24,UBFO,6.27,6.32,6.23,6.26,4937
2023-03-27,UBFO,6.26,6.4,6.18,6.35,15394
2023-03-28,UBFO,6.4024,6.4024,6.31,6.31,6474
2023-03-29,UBFO,6.2198,6.36,6.2198,6.34,6380
2023-03-30,UBFO,6.34,6.49,6.2801,6.4,44756
2023-03-31,UBFO,6.3917,6.48,6.301,6.38,48046
2023-04-03,UBFO,6.36,6.54,6.36,6.39,58855
2023-04-04,UBFO,6.4001,6.43,6.26,6.26,29947
2023-04-05,UBFO,6.205,6.2641,6.07,6.14,29776
2023-04-06,UBFO,6.15,6.25,6.115,6.17,8534
2023-04-10,UBFO,6.18,6.2083,6.08,6.11,7961
2023-04-11,UBFO,6.0898,6.4,6.0898,6.18,19669
2023-04-12,UBFO,6.21,6.32,6.0801,6.16,29878
2023-04-13,UBFO,6.26,6.26,6.06,6.11,13193
2023-04-14,UBFO,6.0789,6.1435,6.0,6.02,23084
2023-04-17,UBFO,6.0,6.01,5.85,5.99,27264
2023-04-18,UBFO,5.93,5.98,5.92,5.95,14365
2023-04-19,UBFO,5.935,6.12,5.92,6.1,7368
2023-04-20,UBFO,6.0,6.15,5.94,5.99,42838
2023-04-21,UBFO,6.09,6.19,6.06,6.11,57049
2023-04-24,UBFO,6.05,6.18,5.9782,6.09,24327
2023-04-25,UBFO,6.0307,6.0307,5.88,5.89,23855
2023-04-26,UBFO,6.04,6.1108,5.91,6.02,6494
2023-04-27,UBFO,6.1065,6.15,5.93,6.09,13559
2023-04-28,UBFO,5.9628,6.06,5.9628,6.02,7025
2023-05-01,UBFO,6.02,6.02,5.85,5.85,20636
