Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,UGI,36.81,37.46,36.57,37.29,1000172.0
2022-11-14,UGI,37.23,37.67,36.9,37.32,1117201.0
2022-11-15,UGI,37.72,38.32,37.5,38.07,1062469.0
2022-11-16,UGI,37.87,38.09,36.77,36.93,1196516.0
2022-11-17,UGI,36.54,36.93,36.17,36.64,1262928.0
2022-11-18,UGI,38.08,38.81,36.765,38.61,2232400.0
2022-11-21,UGI,38.81,40.97,38.71,40.84,3054720.0
2022-11-22,UGI,40.84,41.52,40.41,40.43,2149676.0
2022-11-23,UGI,39.59,39.8,38.68,38.94,1841667.0
2022-11-25,UGI,38.97,39.81,38.83,39.71,760437.0
2022-11-28,UGI,39.11,39.61,38.39,38.43,1459133.0
2022-11-29,UGI,38.2,38.38,37.58,37.84,1408038.0
2022-11-30,UGI,37.87,39.0,37.77,38.65,5846270.0
2022-12-01,UGI,38.78,39.06,38.43,38.6,1399287.0
2022-12-02,UGI,38.26,38.81,37.8767,38.72,1356497.0
2022-12-05,UGI,38.7,39.11,38.22,38.6,1198576.0
2022-12-06,UGI,38.86,38.9,37.803,38.54,1842235.0
2022-12-07,UGI,38.5,38.8,38.235,38.73,957273.0
2022-12-08,UGI,38.8,38.95,38.23,38.34,823448.0
2022-12-09,UGI,38.18,38.65,38.06,38.36,1065395.0
2022-12-12,UGI,38.39,38.99,38.31,38.98,1032905.0
2022-12-13,UGI,39.58,40.17,38.98,39.08,1362978.0
2022-12-14,UGI,38.8,39.26,38.5,38.84,1050694.0
2022-12-15,UGI,38.56,38.67,37.99,38.05,1036478.0
2022-12-16,UGI,37.59,37.73,36.23,36.69,3306483.0
2022-12-19,UGI,36.67,37.11,36.47,36.79,1097923.0
2022-12-20,UGI,36.68,37.07,36.27,36.36,1076076.0
2022-12-21,UGI,36.63,37.6,36.625,37.58,1260640.0
2022-12-22,UGI,37.34,37.34,36.12,36.84,865010.0
2022-12-23,UGI,36.93,37.46,36.65,37.33,726390.0
2022-12-27,UGI,37.33,37.875,37.11,37.82,566252.0
2022-12-28,UGI,38.01,38.01,37.08,37.08,700079.0
2022-12-29,UGI,37.22,37.83,37.14,37.64,958172.0
2022-12-30,UGI,37.36,37.62,36.86,37.07,828524.0
2023-01-03,UGI,37.44,38.11,37.07,38.05,1474859.0
2023-01-04,UGI,38.37,38.9,38.31,38.63,985569.0
2023-01-05,UGI,38.23,38.44,37.75,38.12,874473.0
2023-01-06,UGI,38.65,39.545,38.415,39.46,875345.0
2023-01-09,UGI,39.46,40.17,39.03,39.95,1182965.0
2023-01-10,UGI,39.92,40.61,39.87,40.45,910089.0
2023-01-11,UGI,40.66,41.125,40.652,41.01,1038196.0
2023-01-12,UGI,41.2,41.5,40.9469,41.45,909289.0
2023-01-13,UGI,41.21,41.3,40.42,40.72,736066.0
2023-01-17,UGI,40.41,40.79,40.195,40.49,747894.0
2023-01-18,UGI,39.75,40.15,38.93,39.16,1036656.0
2023-01-19,UGI,38.86,39.245,38.7,38.9,782587.0
2023-01-20,UGI,39.08,39.42,38.6,39.41,836434.0
2023-01-23,UGI,39.49,39.86,39.201,39.75,620730.0
2023-01-24,UGI,39.86,39.86,39.13,39.48,645017.0
2023-01-25,UGI,39.21,40.02,39.18,39.77,1021264.0
2023-01-26,UGI,39.93,39.99,39.47,39.66,783167.0
2023-01-27,UGI,39.67,40.08,39.53,39.81,863192.0
2023-01-30,UGI,39.5,39.82,39.055,39.1,803148.0
2023-01-31,UGI,39.27,40.07,38.88,39.83,4202250.0
2023-02-01,UGI,39.56,40.84,39.56,40.48,1102668.0
2023-02-02,UGI,40.89,43.19,40.33,42.62,2201483.0
2023-02-03,UGI,42.46,42.52,40.94,41.98,1445971.0
2023-02-06,UGI,41.84,42.25,39.92,40.14,1428863.0
2023-02-07,UGI,39.97,40.83,39.77,40.65,905747.0
2023-02-08,UGI,40.16,40.365,39.435,39.7,840544.0
2023-02-09,UGI,39.8,39.99,38.18,38.52,846916.0
2023-02-10,UGI,38.48,39.44,38.12,39.37,1240132.0
2023-02-13,UGI,39.32,39.98,39.215,39.95,1134143.0
2023-02-14,UGI,39.76,39.96,39.29,39.45,1083309.0
2023-02-15,UGI,39.02,39.92,38.7,39.62,873198.0
2023-02-16,UGI,39.16,39.27,38.68,38.7,931265.0
2023-02-17,UGI,38.5,39.23,38.34,39.15,1143918.0
2023-02-21,UGI,38.74,38.93,38.14,38.15,617808.0
2023-02-22,UGI,38.14,38.56,37.97,38.0,921462.0
2023-02-23,UGI,38.27,38.47,37.86,38.06,853234.0
2023-02-24,UGI,37.74,38.12,37.33,37.71,746600.0
2023-02-27,UGI,38.13,38.44,37.56,37.7,868984.0
2023-02-28,UGI,37.52,37.855,37.205,37.23,3609370.0
2023-03-01,UGI,37.0,37.18,36.495,37.06,1158883.0
2023-03-02,UGI,36.93,37.32,36.69,37.3,597916.0
2023-03-03,UGI,37.46,37.605,37.1891,37.6,677627.0
2023-03-06,UGI,37.56,37.57,36.97,37.11,1330759.0
2023-03-07,UGI,37.14,37.6721,36.79,36.87,976840.0
2023-03-08,UGI,36.78,36.865,36.47,36.76,813146.0
2023-03-09,UGI,36.8,37.02,36.23,36.24,749652.0
2023-03-10,UGI,36.2,36.24,34.87,35.12,953762.0
2023-03-13,UGI,34.68,36.1,34.68,35.03,1960680.0
2023-03-14,UGI,35.46,35.85,35.07,35.46,1316355.0
2023-03-15,UGI,34.98,35.13,34.3,34.66,1446027.0
2023-03-16,UGI,34.41,35.42,34.19,35.15,1592974.0
2023-03-17,UGI,35.57,35.57,34.51,35.03,4384055.0
2023-03-20,UGI,35.3,35.87,35.229,35.49,1479285.0
2023-03-21,UGI,35.67,35.87,35.17,35.42,1625090.0
2023-03-22,UGI,35.22,35.325,34.205,34.27,1321276.0
2023-03-23,UGI,34.2,34.42,32.67,32.68,1883496.0
2023-03-24,UGI,32.29,33.17,32.1,33.17,1160437.0
2023-03-27,UGI,33.5,33.71,33.12,33.56,1444651.0
2023-03-28,UGI,33.52,33.7016,33.25,33.5,1008498.0
2023-03-29,UGI,33.84,33.84,33.49,33.69,1263209.0
2023-03-30,UGI,33.94,34.19,33.69,33.96,823954.0
2023-03-31,UGI,34.22,34.865,34.035,34.76,1689597.0
2023-04-03,UGI,34.72,34.97,34.1,34.18,1203858.0
2023-04-04,UGI,34.3,34.345,33.84,34.09,965283.0
