Date,Ticker,Open,High,Low,Close,Volume
2023-03-31,UHGWW,0.3001,0.33,0.27,0.2836,40605
2023-04-03,UHGWW,0.234,0.2824,0.234,0.2516,13706
2023-04-04,UHGWW,0.2875,0.4,0.2875,0.4,62684
2023-04-05,UHGWW,0.35,0.4,0.33,0.3941,32837
2023-04-06,UHGWW,0.37,0.38,0.2575,0.2575,1966
2023-04-10,UHGWW,0.3247,0.3247,0.2125,0.2125,4422
2023-04-11,UHGWW,0.3553,0.3877,0.3,0.3,17452
2023-04-12,UHGWW,0.2225,0.39,0.2225,0.37,15064
2023-04-13,UHGWW,0.322499,0.39,0.271,0.3,7832
2023-04-14,UHGWW,0.387,0.387,0.3201,0.3201,5056
2023-04-17,UHGWW,0.302601,0.35825,0.3,0.3004,63646
2023-04-18,UHGWW,0.384944,0.384944,0.384944,0.384944,100
2023-04-19,UHGWW,0.324999,0.3849,0.324999,0.3826,4000
2023-04-20,UHGWW,0.39,0.39,0.34,0.36,47409
2023-04-21,UHGWW,0.4,0.647399,0.3778,0.5273,69222
2023-04-24,UHGWW,0.51,0.6035,0.404,0.51,120712
2023-04-25,UHGWW,0.5875,0.59,0.2541,0.434649,87084
2023-04-26,UHGWW,0.5025,0.5151,0.365,0.46,38406
2023-04-27,UHGWW,0.5767,0.5767,0.402,0.475599,20136
2023-04-28,UHGWW,0.51,0.6171,0.4051,0.5553,177724
2023-05-01,UHGWW,0.5247,0.6275,0.44,0.55,187602
2023-05-02,UHGWW,0.6312,0.68,0.37,0.529999,77785
2023-05-03,UHGWW,0.4913,0.63,0.4525,0.5075,135757
2023-05-04,UHGWW,0.5,0.5,0.4525,0.49,91893
2023-05-05,UHGWW,0.53,0.96,0.4001,0.47,82116
2023-05-08,UHGWW,0.5382,0.5382,0.46,0.474988,99215
2023-05-09,UHGWW,0.488,0.5198,0.4455,0.51,220851
2023-05-10,UHGWW,0.6675,0.6675,0.4501,0.546,112051
2023-05-11,UHGWW,0.5788,0.707399,0.4501,0.4703,34786
2023-05-12,UHGWW,0.51,0.54,0.4851,0.5002,224860
2023-05-15,UHGWW,0.5008,0.53685,0.4971,0.5056,30966
2023-05-16,UHGWW,0.478049,0.6024,0.478049,0.5118,210431
2023-05-17,UHGWW,0.5441,0.74,0.51,0.5495,128461
2023-05-18,UHGWW,0.5191,0.5406,0.5025,0.5118,73068
2023-05-19,UHGWW,0.5106,0.602299,0.5106,0.5395,83828
2023-05-22,UHGWW,0.5101,0.5238,0.5001,0.5071,26487
2023-05-23,UHGWW,0.5052,0.5147,0.5,0.5,58315
2023-05-24,UHGWW,0.566,0.566,0.4471,0.4645,89135
2023-05-25,UHGWW,0.4552,0.5319,0.4351,0.4626,38478
2023-05-26,UHGWW,0.5089,0.5296,0.435,0.4829,21674
2023-05-30,UHGWW,0.4899,0.5975,0.45841,0.4922,32845
2023-05-31,UHGWW,0.563399,0.5635,0.5,0.5022,75428
2023-06-01,UHGWW,0.53,0.575,0.5,0.52,77755
2023-06-02,UHGWW,0.53,0.6627,0.5022,0.5184,84648
2023-06-05,UHGWW,0.550201,0.550201,0.4601,0.4811,43371
2023-06-06,UHGWW,0.4899,0.501,0.4702,0.4751,20318
2023-06-07,UHGWW,0.5439,0.5439,0.4852,0.489,11214
2023-06-08,UHGWW,0.5199,0.58,0.5,0.5041,36246
2023-06-09,UHGWW,0.5472,0.6594,0.5348,0.55,36964
2023-06-12,UHGWW,0.5922,0.6249,0.48,0.54585,97203
2023-06-13,UHGWW,0.535,0.535,0.425,0.4793,134278
2023-06-14,UHGWW,0.5021,0.571955,0.4801,0.5349,52480
2023-06-15,UHGWW,0.52,0.55,0.51,0.52,46700
2023-06-16,UHGWW,0.55,0.67,0.5254,0.5306,16470
2023-06-20,UHGWW,0.5974,0.6025,0.5222,0.57,20573
2023-06-21,UHGWW,0.56535,0.6,0.52,0.6,9710
2023-06-22,UHGWW,0.6,0.6,0.51,0.511,10213
2023-06-23,UHGWW,0.5,0.8634,0.5,0.67,82071
2023-06-26,UHGWW,0.7302,0.762399,0.59,0.74,77359
2023-06-27,UHGWW,0.8,0.8,0.6775,0.69,22958
2023-06-28,UHGWW,0.7,0.845,0.7,0.7,23415
2023-06-29,UHGWW,0.7,0.75,0.6901,0.6994,67151
2023-06-30,UHGWW,0.677999,0.75,0.65,0.65,7009
