Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,USLM,27.4,27.4,26.931,27.1,16100
2022-11-14,USLM,26.0,26.278,25.686,25.82,26610
2022-11-15,USLM,26.0,26.004,25.834,25.834,10870
2022-11-16,USLM,25.628,26.598,25.628,26.46,15140
2022-11-17,USLM,25.8,27.072,25.8,26.878,20480
2022-11-18,USLM,27.188,27.188,26.5,26.78,19655
2022-11-21,USLM,26.99,26.99,26.76,26.76,9685
2022-11-22,USLM,27.0,27.422,26.78,27.382,16195
2022-11-23,USLM,26.858,27.38,26.858,26.948,8195
2022-11-25,USLM,26.952,27.43,26.952,27.43,6740
2022-11-28,USLM,27.58,27.58,27.37,27.46,14550
2022-11-29,USLM,27.46,27.6,27.46,27.6,7840
2022-11-30,USLM,27.264,27.94,27.086,27.796,26830
2022-12-01,USLM,27.6,28.558,27.6,28.558,34120
2022-12-02,USLM,28.484,29.248,28.0256,28.44,29140
2022-12-05,USLM,27.472,28.728,27.472,28.728,28045
2022-12-06,USLM,28.934,29.356,28.934,29.356,20310
2022-12-07,USLM,29.41,30.554,29.3,30.356,64775
2022-12-08,USLM,30.112,30.8,29.962,29.962,48600
2022-12-09,USLM,30.1,30.246,30.0,30.022,23550
2022-12-12,USLM,30.19,30.2,28.808,29.302,59255
2022-12-13,USLM,29.312,29.752,28.688,29.196,124120
2022-12-14,USLM,29.3872,29.3872,29.002,29.002,11440
2022-12-15,USLM,28.662,28.662,28.18,28.18,6400
2022-12-16,USLM,27.84,27.938,27.794,27.794,37825
2022-12-19,USLM,27.992,28.28,27.826,28.0,28685
2022-12-20,USLM,27.884,28.66,27.884,28.5,18040
2022-12-21,USLM,28.458,29.282,28.4092,28.77,41980
2022-12-22,USLM,28.194,28.194,25.858,27.206,44770
2022-12-23,USLM,27.538,27.8,27.4,27.4,26120
2022-12-27,USLM,27.261,27.99,27.19,27.2,40725
2022-12-28,USLM,27.064,27.474,26.418,26.418,22680
2022-12-29,USLM,26.546,27.588,26.546,27.588,35125
2022-12-30,USLM,27.988,28.152,27.4123,28.152,58990
2023-01-03,USLM,28.152,28.152,27.404,27.404,18015
2023-01-04,USLM,26.94,26.94,26.94,26.94,4095
2023-01-05,USLM,27.072,28.254,27.072,27.894,20750
2023-01-06,USLM,28.76,28.76,28.76,28.76,13595
2023-01-09,USLM,28.404,28.67,28.4,28.67,22000
2023-01-10,USLM,28.994,28.994,28.994,28.994,9960
2023-01-11,USLM,28.822,29.8,28.822,29.666,8065
2023-01-12,USLM,29.6,29.81,29.402,29.81,14130
2023-01-13,USLM,29.88,29.88,28.798,29.24,28250
2023-01-17,USLM,28.24,28.684,28.24,28.36,16150
2023-01-18,USLM,28.4,28.4,28.02,28.02,6200
2023-01-19,USLM,28.142,28.654,28.142,28.654,11770
2023-01-20,USLM,28.788,29.4838,28.788,29.476,13260
2023-01-23,USLM,29.1065,29.1065,29.098,29.098,10255
2023-01-24,USLM,29.118,29.476,29.118,29.476,19785
2023-01-25,USLM,29.4379,30.0,29.4379,30.0,9310
2023-01-26,USLM,30.0,30.392,29.8156,30.392,9845
2023-01-27,USLM,30.49,30.504,30.26,30.504,23665
2023-01-30,USLM,30.156,30.42,30.156,30.308,7505
2023-01-31,USLM,30.551,30.551,30.01,30.36,29500
2023-02-01,USLM,29.64,29.64,29.64,29.64,12045
2023-02-02,USLM,29.4,30.218,29.0,30.218,25265
2023-02-03,USLM,30.56,30.56,30.56,30.56,9590
2023-02-06,USLM,30.56,31.138,30.28,31.138,31490
2023-02-07,USLM,30.722,31.3,30.63,31.3,25475
2023-02-08,USLM,30.834,31.35,30.818,30.818,60835
2023-02-09,USLM,30.6,31.374,30.428,30.428,35995
2023-02-10,USLM,30.4,31.46,30.317,31.222,89175
2023-02-13,USLM,30.812,32.74,30.812,32.3,67165
2023-02-14,USLM,32.29,32.292,32.24,32.24,11870
2023-02-15,USLM,31.98,32.404,31.98,32.204,7515
2023-02-16,USLM,31.865,31.865,31.698,31.698,11655
2023-02-17,USLM,31.962,32.636,31.962,32.636,13630
2023-02-21,USLM,32.67,33.7513,31.818,32.63,49125
2023-02-22,USLM,32.7,33.0,32.012,32.012,47515
2023-02-23,USLM,32.64,32.96,31.64,32.696,36185
2023-02-24,USLM,32.454,32.558,32.0494,32.55,17405
2023-02-27,USLM,32.408,33.008,31.91,32.08,49050
2023-02-28,USLM,32.08,32.761,32.08,32.26,45885
2023-03-01,USLM,32.58,33.0,32.451,32.822,25610
2023-03-02,USLM,32.741,32.806,32.292,32.292,25730
2023-03-03,USLM,32.0686,32.73,32.0686,32.73,13150
2023-03-06,USLM,32.136,32.136,31.248,31.248,15425
2023-03-07,USLM,31.387,31.6,31.387,31.6,7065
2023-03-08,USLM,31.6,32.0,31.46,31.894,8650
2023-03-09,USLM,31.998,31.998,30.654,30.654,13315
2023-03-10,USLM,30.274,30.274,30.008,30.02,11370
2023-03-13,USLM,28.68,28.68,28.68,28.68,7130
2023-03-14,USLM,29.174,29.8,28.318,29.602,31905
2023-03-15,USLM,29.438,29.802,29.098,29.802,16520
2023-03-16,USLM,30.486,30.838,30.44,30.838,15745
2023-03-17,USLM,30.556,30.7,30.556,30.7,38050
2023-03-20,USLM,31.5,31.5,30.48,30.566,31105
2023-03-21,USLM,30.4,30.4,30.4,30.4,8400
2023-03-22,USLM,30.096,30.096,30.024,30.024,8545
2023-03-23,USLM,29.49,29.49,29.49,29.49,11805
2023-03-24,USLM,29.49,29.998,29.49,29.998,21360
2023-03-27,USLM,30.382,30.382,30.382,30.382,7760
2023-03-28,USLM,30.791,31.394,30.791,30.94,14180
2023-03-29,USLM,31.538,31.538,30.25,30.25,46805
2023-03-30,USLM,30.48,30.48,29.746,30.4,12730
2023-03-31,USLM,30.4,30.538,30.4,30.538,21130
2023-04-03,USLM,30.5,31.002,30.5,31.002,12915
2023-04-04,USLM,31.102,31.658,31.102,31.3,32155
2023-04-05,USLM,30.598,30.598,29.796,29.796,24025
2023-04-06,USLM,29.456,29.456,29.226,29.226,11515
2023-04-10,USLM,29.394,31.91,29.068,30.04,64285
2023-04-11,USLM,31.106,31.106,30.04,30.04,11675
2023-04-12,USLM,30.04,31.032,30.04,31.032,26185
2023-04-13,USLM,31.0,31.0,30.992,30.992,10860
2023-04-14,USLM,30.738,30.99,30.71,30.71,8330
2023-04-17,USLM,30.23,31.156,30.048,30.82,20600
2023-04-18,USLM,31.28,31.28,30.87,30.87,5175
2023-04-19,USLM,31.436,31.64,31.436,31.64,9400
2023-04-20,USLM,32.198,32.198,32.172,32.196,9130
2023-04-21,USLM,31.94,32.132,31.94,32.1,12890
2023-04-24,USLM,31.83,31.83,31.83,31.83,5185
2023-04-25,USLM,31.944,31.944,31.8,31.9,10205
2023-04-26,USLM,31.64,31.988,31.64,31.988,7535
2023-04-27,USLM,31.736,32.374,31.736,32.338,14175
2023-04-28,USLM,32.39,32.39,31.72,32.18,13140
2023-05-01,USLM,32.356,32.36,32.28,32.28,7570
2023-05-02,USLM,32.154,32.326,31.908,32.326,14920
2023-05-03,USLM,32.3,32.522,31.71,31.71,14535
2023-05-04,USLM,31.462,32.07,31.462,32.07,15530
2023-05-05,USLM,32.996,33.768,32.7,33.196,22785
2023-05-08,USLM,33.518,33.77,32.85,32.85,30655
2023-05-09,USLM,33.186,33.508,30.306,32.592,31215
2023-05-10,USLM,32.6,32.964,32.6,32.964,26645
2023-05-11,USLM,33.062,33.062,32.85,32.85,12580
2023-05-12,USLM,33.722,33.722,33.598,33.598,8125
2023-05-15,USLM,33.688,35.58,33.688,35.58,19800
2023-05-16,USLM,36.168,36.95,35.844,36.19,17610
2023-05-17,USLM,35.764,36.84,35.432,36.84,48395
2023-05-18,USLM,36.412,37.8,36.412,37.8,32710
2023-05-19,USLM,38.038,38.4,37.248,37.28,40560
2023-05-22,USLM,37.52,38.134,37.202,37.282,65875
2023-05-23,USLM,37.6,37.838,37.102,37.102,27305
2023-05-24,USLM,36.492,36.492,36.492,36.492,7150
2023-05-25,USLM,36.996,36.996,36.11,36.11,22330
2023-05-26,USLM,36.454,36.454,36.4,36.4,10815
2023-05-30,USLM,36.731,37.2,36.72,37.2,20065
2023-05-31,USLM,37.272,37.272,35.592,36.284,62125
2023-06-01,USLM,35.982,36.3,35.982,36.042,13040
2023-06-02,USLM,36.604,37.24,36.596,37.24,33100
2023-06-05,USLM,37.096,37.096,36.735,37.012,19070
2023-06-06,USLM,37.772,38.178,37.624,37.68,32005
2023-06-07,USLM,37.896,38.64,37.896,38.2,29405
2023-06-08,USLM,38.176,38.496,37.496,38.39,29705
2023-06-09,USLM,38.0074,38.5,37.988,38.136,19940
2023-06-12,USLM,37.932,38.57,37.772,38.57,11000
2023-06-13,USLM,38.55,39.36,38.4618,38.8,54815
2023-06-14,USLM,39.12,39.35,38.412,38.724,17310
2023-06-15,USLM,38.7,39.082,38.1742,39.082,49280
2023-06-16,USLM,39.172,39.172,38.8,38.8,43870
2023-06-20,USLM,38.954,38.954,38.484,38.638,30910
2023-06-21,USLM,38.6,38.87,38.402,38.402,22405
2023-06-22,USLM,38.664,38.76,38.18,38.18,32815
2023-06-23,USLM,37.888,38.478,37.888,38.458,143455
2023-06-26,USLM,38.8,39.082,38.706,39.0,23715
2023-06-27,USLM,39.2,39.84,38.7,39.794,48685
2023-06-28,USLM,39.692,40.094,39.692,40.094,36665
2023-06-29,USLM,40.366,41.166,40.366,41.166,42245
2023-06-30,USLM,41.4,42.08,41.06,41.778,63115
