Date,Ticker,Open,High,Low,Close,Volume
2022-11-11,VEEE,2.14,2.2068,2.0501,2.135,10718.0
2022-11-14,VEEE,2.09,2.22,1.91,2.16,33894.0
2022-11-15,VEEE,2.23,2.23,1.94,2.22,41854.0
2022-11-16,VEEE,2.16,2.16,2.0636,2.08,9909.0
2022-11-17,VEEE,2.0727,2.09,2.0017,2.07,6503.0
2022-11-18,VEEE,2.0257,2.05,1.94,1.96,21766.0
2022-11-21,VEEE,1.93,2.05,1.9152,2.02,23061.0
2022-11-22,VEEE,2.02,2.08,1.95,1.99,22340.0
2022-11-23,VEEE,1.951,1.98,1.9,1.97,99769.0
2022-11-25,VEEE,1.97,2.075,1.92,2.01,41634.0
2022-11-28,VEEE,2.0368,2.0368,1.93,2.0,18679.0
2022-11-29,VEEE,1.9601,2.04,1.9601,1.9921,4271.0
2022-11-30,VEEE,1.96,2.17,1.95,2.08,56541.0
2022-12-01,VEEE,2.05,2.154,2.0101,2.13,18053.0
2022-12-02,VEEE,2.078,2.15,2.07,2.15,22888.0
2022-12-05,VEEE,2.15,2.15,2.06,2.15,9052.0
2022-12-06,VEEE,2.1147,2.15,1.98,2.08,20502.0
2022-12-07,VEEE,2.045,2.14,2.0,2.09,7967.0
2022-12-08,VEEE,2.13,2.13,1.95,2.02,8466.0
2022-12-09,VEEE,2.02,2.02,1.92,2.0,44530.0
2022-12-12,VEEE,2.0,2.0,1.92,1.93,7595.0
2022-12-13,VEEE,1.93,1.96,1.83,1.86,66687.0
2022-12-14,VEEE,1.86,1.9,1.699,1.87,108213.0
2022-12-15,VEEE,1.8,1.84,1.7702,1.81,29322.0
2022-12-16,VEEE,1.82,1.82,1.7,1.7,50484.0
2022-12-19,VEEE,1.72,1.72,1.62,1.67,22190.0
2022-12-20,VEEE,1.63,1.78,1.63,1.77,17179.0
2022-12-21,VEEE,1.78,1.82,1.74,1.79,10514.0
2022-12-22,VEEE,1.74,1.79,1.74,1.79,8692.0
2022-12-23,VEEE,1.6819,1.82,1.6819,1.8,40694.0
2022-12-27,VEEE,1.75,1.89,1.68,1.7,76324.0
2022-12-28,VEEE,1.7,1.85,1.7,1.75,54734.0
2022-12-29,VEEE,1.7499,1.8199,1.6901,1.78,29453.0
2022-12-30,VEEE,1.78,1.83,1.6871,1.83,44806.0
2023-01-03,VEEE,1.83,1.88,1.68,1.755,23028.0
2023-01-04,VEEE,1.7773,1.82,1.725,1.79,8258.0
2023-01-05,VEEE,1.7012,1.8699,1.7,1.86,15531.0
2023-01-06,VEEE,1.88,1.94,1.8418,1.9,19839.0
2023-01-09,VEEE,1.87,2.04,1.75,1.8088,39105.0
2023-01-10,VEEE,1.83,1.8761,1.8165,1.85,8685.0
2023-01-11,VEEE,1.895,2.19,1.895,2.101,120620.0
2023-01-12,VEEE,2.1,2.35,2.05,2.2,78334.0
2023-01-13,VEEE,2.22,2.4,2.22,2.23,40350.0
2023-01-17,VEEE,2.29,2.3,2.24,2.29,86288.0
2023-01-18,VEEE,2.22,2.3199,2.11,2.11,64465.0
2023-01-19,VEEE,2.1767,2.2999,2.16,2.2999,4446.0
2023-01-20,VEEE,2.25,2.39,2.1194,2.33,56891.0
2023-01-23,VEEE,2.41,2.41,2.18,2.27,67971.0
2023-01-24,VEEE,2.2899,2.3,2.26,2.28,7419.0
2023-01-25,VEEE,2.2067,2.278,2.2,2.25,17239.0
2023-01-26,VEEE,2.1801,2.2444,2.15,2.18,25736.0
2023-01-27,VEEE,2.15,2.27,2.15,2.25,17396.0
